real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3789235476,388.9820793,6.483034654,0.108050578,0.599598913,9.59E-05,193,314,11,39,0,29.09162496,34.36058638,29.16656437,-2.906001494,-2.817348983,-2.861675238,29.12909466,25.02361687
3789235479,392.2751508,6.53791918,0.10896532,1.917242239,-4.95E-05,172,290,7,40,0,29.39693199,34.57243415,29.22133291,-2.83375262,-3.070946438,-2.952349529,29.30913245,25.17827998
3789235487,400.3517854,6.672529757,0.111208829,0.837227004,-3.77E-05,193,320,11,41,0,29.23973887,34.52086434,29.18626584,-2.863651932,-3.023328303,-2.943490117,29.21300235,25.09569854
3789235490,403.6316707,6.727194512,0.112119909,2.10956991,-1.23E-05,170,283,7,42,0,29.34862364,34.40493154,29.46780445,-2.960007946,-3.194950497,-3.077479222,29.40821405,25.26339694
3789235498,411.5865624,6.85977604,0.114329601,0.832500131,-2.14E-05,199,327,11,43,0,29.18423506,34.47124886,29.35714662,-2.962355748,-3.177736631,-3.07004619,29.27069084,25.14525637
3789235502,414.8614211,6.914357018,0.115239284,2.129112225,-9.98E-06,168,288,7,44,0,29.06723716,34.45568185,29.23470979,-3.001312619,-2.99290374,-2.997108179,29.15097348,25.04241206
3789235510,422.9202309,7.048670514,0.117477842,0.846760769,-3.82E-05,191,320,11,45,0,29.27889373,34.44647687,29.0768804,-2.836440902,-3.034777024,-2.935608963,29.17788706,25.06553243
3789235513,426.2835937,7.104726561,0.118412109,2.103597018,-4.25E-05,163,276,7,46,0,29.1479761,34.64233324,29.27797875,-3.073107759,-3.288535227,-3.180821493,29.21297742,25.09567712
3789235522,434.809284,7.2468214,0.120780357,0.926841702,-1.97E-05,183,306,11,47,0,29.12886925,34.69863167,29.1531556,-3.028066185,-3.158602785,-3.093334485,29.14101242,25.03385493
3789235525,438.3354592,7.305590987,0.12175985,2.209298415,0.000105887,158,269,7,48,0,29.27481806,34.78215747,29.14259223,-2.952056614,-3.169999664,-3.061028139,29.20870515,25.09200698
