real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3781615033,1281.063132,21.3510522,0.35585087,36.82660487,-2.26E-05,222,358,0,23,0,15.32626733,17.83604367,15.2567156,-0.918652608,-0.879347914,-0.899000261,15.29149146,13.43124792
3781615038,1286.258684,21.43764473,0.357294079,38.38228878,-1.05E-05,216,344,0,24,0,15.23439863,18.12244395,15.31614384,-1.152842017,-1.027115556,-1.089978786,15.27527123,13.41700092
3781615044,1291.774159,21.52956931,0.358826155,36.72954809,-1.08E-05,258,393,0,25,0,15.15634883,18.78129464,15.32441386,-1.126786409,-1.145849537,-1.136317973,15.24038135,13.38635546
3781615049,1297.035376,21.61725627,0.360287605,38.36967444,-4.21E-05,196,313,0,26,0,15.40662045,17.89730532,15.29872653,-0.997057928,-1.064837298,-1.030947613,15.35267349,13.48498702
3781615055,1302.686481,21.71144136,0.361857356,36.6826438,-1.20E-05,257,398,0,27,0,15.340048,18.98725725,15.28466669,-1.056073357,-1.141844956,-1.098959157,15.31235735,13.44957542
3781615060,1308.150837,21.80251395,0.363375233,38.35176919,3.29E-05,195,315,0,28,0,15.15363116,17.86787978,15.29378081,-1.18245596,-1.188963479,-1.18570972,15.22370598,13.37170869
3781615068,1316.011796,21.93352994,0.365558832,36.36757647,3.98E-05,255,389,0,29,0,15.36649009,18.66104653,15.23748735,-1.102386595,-1.227048359,-1.164717477,15.30198872,13.44046816
3781615074,1321.462718,22.02437863,0.367072977,38.22033759,-1.70E-05,195,317,0,30,0,15.23854765,17.94150891,15.14924138,-1.03600495,-1.158156672,-1.097080811,15.19389452,13.34552385
3781615079,1326.953072,22.11588453,0.368598075,36.5941178,-1.85E-05,253,386,0,31,0,15.17858423,18.77214817,15.28795246,-1.164000851,-1.28850839,-1.22625462,15.23326834,13.38010777
3781615085,1332.352475,22.20587459,0.37009791,38.38864061,-2.60E-05,195,316,0,32,0,15.10555525,17.95081895,15.2075189,-1.077725818,-1.162489273,-1.120107545,15.15653708,13.31271103
3781615090,1337.804882,22.29674803,0.371612467,36.776087,-3.33E-05,258,399,0,33,0,15.15163316,18.75727446,15.1744455,-1.132743839,-1.227054101,-1.17989897,15.16303933,13.31842227
3781615095,1343.287196,22.38811994,0.373135332,38.49927653,-1.48E-05,196,313,0,34,0,15.21885248,18.06397534,15.29396887,-0.984284787,-1.051109678,-1.017697232,15.25641068,13.40043479
3781615101,1349.004468,22.4834078,0.374723463,36.7007597,-2.48E-05,259,393,0,35,0,15.10603295,18.78414703,15.28918691,-1.174476672,-1.285728458,-1.230102565,15.19760993,13.34878728
3781615107,1354.353465,22.57255775,0.376209296,38.56289633,3.91E-05,193,322,0,36,0,15.17742409,17.87320513,15.20996322,-1.096607754,-1.026634286,-1.06162102,15.19369365,13.34534742
3781615112,1359.965703,22.66609505,0.377768251,36.68101855,-2.13E-05,259,391,0,37,0,15.14860837,18.76254928,15.30391276,-1.086491709,-1.216250729,-1.151371219,15.22626057,13.3739525
3781615123,1371.228186,22.85380311,0.380896718,36.73451684,4.74E-05,256,394,0,39,0,15.20307002,18.78053012,15.07741336,-1.150779576,-1.24978547,-1.200282523,15.14024169,13.29839801
3781615129,1376.601004,22.94335006,0.382389168,38.52604868,-2.77E-05,195,327,0,40,0,15.2715539,17.87258557,15.23266021,-1.115330297,-1.130515825,-1.122923061,15.25210706,13.39665471
3781615134,1382.174628,23.0362438,0.383937397,36.6216304,1.94E-05,260,406,0,41,0,15.19896631,18.81876057,15.17207117,-1.132397553,-1.241020712,-1.186709133,15.18551874,13.33816701
3781615139,1387.313729,23.12189548,0.385364925,38.59429111,-8.06E-05,194,318,0,42,0,15.3431709,17.64266318,15.25752129,-1.077974234,-1.262799906,-1.17038707,15.3003461,13.43902537
3781615145,1393.18915,23.21981916,0.386996986,36.6786439,5.72E-06,257,396,0,43,0,15.32145167,18.80082231,15.27806443,-1.034502197,-1.142767206,-1.088634701,15.29975805,13.43850886
3781615151,1398.585472,23.30975786,0.388495964,38.41772633,9.43E-05,195,318,0,44,0,15.18066981,17.74346994,15.31761035,-1.093986079,-1.090192588,-1.092089333,15.24914008,13.39404867
3781615156,1404.010449,23.40017415,0.390002903,36.66587592,-1.48E-05,259,393,0,45,0,15.18539556,18.67626513,15.24552937,-1.196309841,-1.265587963,-1.230948902,15.21546246,13.36446801
3781615161,1409.26393,23.48773216,0.391462203,38.62745065,-5.67E-05,194,322,0,46,0,15.19127318,17.86586123,15.37331418,-1.105206124,-1.028118324,-1.066662224,15.28229368,13.42316906
3781615167,1415.128253,23.58547088,0.393091181,36.71254904,5.12E-06,260,402,0,47,0,15.15322032,18.82681411,15.37564288,-1.119524775,-1.215098536,-1.167311655,15.2644316,13.40747995
3781615175,1422.481148,23.70801913,0.395133652,38.47351084,-6.42E-06,194,312,0,48,0,15.26649683,17.89288182,15.24226866,-1.233196503,-1.093818235,-1.163507369,15.25438274,13.39865356
3781615180,1428.240862,23.80401437,0.396733573,36.67263315,8.86E-06,258,400,0,49,0,15.25544113,18.9041591,15.14829799,-1.051064136,-1.147410486,-1.099237311,15.20186956,13.35252872
3781615186,1434.094563,23.90157606,0.398359601,38.56573535,5.34E-06,195,315,0,50,0,15.13994901,18.01374291,15.17883795,-1.094709575,-1.116032728,-1.105371151,15.15939348,13.31521995
