real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3788940735.94944,0.770650148391724,0.0128441691398621,0.000214069485664368,-0.0666599470310081,3.70256405391386e-05,285,434,0,1,0,15.1270599710576,16.309150339087,15.2284332112128,0.0495693703835881,0.0575148844185102,0.0535421274010492,15.1777465911352,13.2046395342876
3788940737.44859,2.26979994773865,0.0378299991289775,0.000630499985482958,0.0218110600417356,1.5109971571657e-05,273,414,0,2,0,15.2183781504433,16.3873311442522,15.1641648761376,-0.015574546996093,-0.0529061653631058,-0.0342403561795994,15.1912715132904,13.2164062165627
3788940738.94994,3.77114987373352,0.0628524978955587,0.00104754163159264,0.0291950612884693,1.35669624191065e-05,290,440,0,3,0,15.2275568649913,16.2530166098097,15.2329420093005,-0.0367107010409245,-0.062743488366484,-0.0497270947037043,15.2302494371459,13.2503170103169
3788940740.44869,5.26990008354187,0.0878316680590312,0.00146386113431719,0.0189777275832189,-1.07938299874994e-05,273,421,0,4,0,15.2709517913078,16.4750879379095,15.1721752006061,-0.0815180922665256,0.0742125379786158,-0.00365277714395489,15.2215634959569,13.2427602414825
3788940741.94874,6.76995015144348,0.112832502524058,0.0018805417087343,-0.0540239869381172,-2.74886448348997e-05,273,410,0,5,0,15.3494391768925,16.3417156085049,15.2512166862464,0.0833727269700491,-0.0478280218052876,0.0177723525823807,15.3003279315695,13.3112853004654
3788940743.45009,8.27130007743835,0.137855001290639,0.00229758335484399,-0.0683256302129514,2.71117379944326e-05,291,441,0,6,0,15.1628706967469,16.3761935246233,15.2853068202538,0.0194414438352571,-0.0974546931954284,-0.0390066246800856,15.2240887585004,13.2449572198953
3788940744.95004,9.77125000953674,0.162854166825612,0.00271423611376021,-0.0579873190753353,1.05736334042096e-05,290,441,0,7,0,15.2298547313991,16.2976330243055,15.1858025466323,-0.0288198445769995,-0.108618067173619,-0.0687189558753094,15.2078286390157,13.2308109159437
3788940746.44869,11.2699000835419,0.187831668059031,0.00313052780098385,-0.0415910594089142,-1.59130536872775e-05,272,425,0,8,0,15.3485234493378,16.3911821190747,15.0600044471499,-0.0893659868047182,0.0851370451006671,-0.00211447085202551,15.2042639482438,13.2277096349721
3788940747.94994,12.7711498737335,0.212852497895559,0.00354754163159264,-0.0232392869577154,-3.97751590623491e-05,291,439,0,9,0,15.2276911725239,16.3466530060149,15.0771275168032,-0.0776094266469519,-0.112061802371732,-0.0948356145093419,15.1524093446636,13.1825961298573
3788940749.44994,14.2711498737335,0.237852497895559,0.00396420829825931,-0.0316077229764876,-2.7029032666611e-05,290,452,0,10,0,15.1779321400351,16.2429086307198,15.1561457235467,0.0722800094442921,0.0755102927848769,0.0738951511145845,15.1670389317909,13.1953238706581
