real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3791831838.23735,36.9456465244293,0.615760775407155,0.0102626795901193,96.1264081790577,-7.15170899128211e-05,92,185,10,1,0,73.9111284861395,81.9612040250676,73.1292145667443,-3.53647722520021,-2.29201161658669,-2.91424442089345,73.5201715264419,57.4904198935539
3791831840.92583,39.6341254711151,0.660568757851918,0.011009479297532,96.4319221366151,0.00021984200784528,93,190,10,2,0,110.618259897678,110.762478181245,109.26941182182,-3.03902089636324,-2.30635013095825,-2.67268551366074,109.943835859749,85.9725590549209
3791831849.16055,47.8688395023346,0.797813991705577,0.0132968998617596,101.155862954961,0.00208411563740789,94,186,2,7,0,96.4565081536539,110.374284603986,97.1164939407807,-1.11312654475408,-1.23148106441102,-1.17230380458255,96.7865010472173,75.6839445516145
3791831849.55326,48.2615480422974,0.804359134038289,0.0134059855673048,101.159675569717,0.000786383204050006,66,151,2,10,0,88.3943113682432,99.8178092887486,88.4283107500653,-2.04344564425753,-1.72939873347397,-1.88642218886575,88.4113110591543,69.1348141686847
3791831856.04985,54.7581467628479,0.912635779380798,0.0152105963230133,101.339168426327,-0.00247205477614172,55,134,2,20,0,105.545442165387,103.457363938724,105.445225049309,-3.04392259520195,-2.93139082850396,-2.98765671185295,105.495333607348,82.4939727421024
3791831856.71976,55.4280481338501,0.923800802230835,0.0153966800371806,101.44826688982,-0.000610487375099421,56,139,2,23,0,171.093867991182,175.449885625875,172.496699110236,-2.45448753064265,-2.837058066404,-2.64577279852332,171.795283550709,134.338410561382
3791831856.95522,55.6635162830353,0.927725271383921,0.0154620878563987,101.077062791274,0.000857508724585533,65,149,2,24,0,110.864404672604,118.71318227712,108.421835139189,-3.23658703540691,-3.11228406812919,-3.17443555176805,109.643119905896,85.7374088084411
3791831863.87559,62.5838837623596,1.04306472937266,0.017384412156211,101.58799543876,-3.33659104869188e-05,108,202,10,30,0,87.1693763733488,90.7776238777138,98.9455894468122,-1.35473148769133,-19.3701619607409,-10.3624467242161,93.0574829100805,72.7679717778354
3791831864.06287,62.7711672782898,1.04618612130483,0.0174364353550805,101.60984871068,-0.000122127329746101,117,218,10,31,0,112.304437905572,126.218907611267,111.444869106225,-1.69516379487241,-1.93153304432447,-1.81334841959844,111.874653505898,87.482396626166
3791831864.71452,63.4228162765503,1.0570469379425,0.0176174489657084,101.262872652519,0.00044726211432079,129,233,10,32,0,107.567777483396,123.5513259214,106.847996140606,-1.44367054461565,-1.61253057810807,-1.52810056136186,107.207886812001,83.8331345092934
3791831865.26807,63.9763622283936,1.06627270380656,0.0177712117301093,101.707771686644,-0.000101915380329886,106,205,10,36,0,95.0152484832906,100.417812297668,94.7430036731227,-0.872485925125808,-0.566723365370248,-0.719604645248028,94.8791260782066,74.1924384032177
3791831869.12443,67.8327233791351,1.13054538965225,0.0188424231608709,101.462212255477,9.25606316766153e-05,110,209,10,40,0,103.773655133443,115.805847767483,104.159477693435,-3.02127429802977,-2.6853221580088,-2.85329822801928,103.966566413439,81.2985257501744
3791831869.36336,68.0716483592987,1.13452747265498,0.0189087912109163,101.439575723042,5.60800752126548e-05,125,228,10,41,0,129.909965598725,146.989213282688,130.688339442524,-2.844597655638,-2.99185250957183,-2.91822508260491,130.299152520624,101.88976487209
3791831870.45389,69.1621873378754,1.15270312229792,0.0192117187049654,101.484097652917,-2.6907026740202e-05,115,217,10,43,0,74.6864550931106,84.0317532663767,74.9849341558872,-1.65812638192103,-1.59886298091381,-1.62849468141742,74.8356946244989,58.5191168309619
3791831871.10962,69.8179154396057,1.16363192399343,0.0193938653998905,101.471058032943,-0.000172879775801489,103,200,10,45,0,125.378732773573,134.009342181911,124.919189703639,-1.64052416767673,-1.65897023833961,-1.64974720300817,125.148961238606,97.8624802073794
3791831875.84347,74.5517661571503,1.2425294359525,0.0207088239325417,101.137797204407,7.31867824192498e-05,116,217,10,48,0,88.4409049929313,99.9420797500344,88.9845122086977,-2.17593630044256,-1.84990983738127,-2.01292306891191,88.7127086008145,69.3704973950044
3791831876.42298,75.1312720775604,1.25218786795934,0.0208697977993223,100.993899162523,-0.00106252726611527,119,219,10,50,0,101.504704681116,114.803352684588,100.676264122683,-1.79003227187258,-1.62060158623837,-1.70531692905548,101.0904844019,79.0495217141564
3791831878.03509,76.7433841228485,1.27905640204748,0.0213176067007913,100.985078643165,8.18350399204393e-05,120,221,10,51,0,124.909125723898,143.286236056524,126.986748443942,-2.50274928226669,-2.57483272498504,-2.53879100362587,125.94793708392,98.4872537338583
3791831878.60155,77.3098402023315,1.28849733670553,0.0214749556117588,100.816821195557,-0.00118435441686155,128,231,10,53,0,73.055725374105,83.4863951372567,72.2409480981422,-1.47300423438483,-1.36173613603822,-1.41737018521153,72.6483367361236,56.8086730051482
3791831879.41119,78.1194832324982,1.3019913872083,0.0216998564534717,101.005387841306,1.62472973851031e-06,117,216,10,54,0,113.710832681421,126.468703507226,114.081655299725,-1.76895128014055,-1.73429570208308,-1.75162349111181,113.896243990573,89.0632156504382
3791831879.69019,78.3984861373901,1.30664143562317,0.0217773572603862,100.58649332263,-0.00353977966910889,92,188,10,55,0,86.0028729446993,95.0525644806099,86.4804937176039,-1.96294990370189,-1.89012062122619,-1.92653526246404,86.2416833311516,67.4382347605326
3791831879.78017,78.4884648323059,1.30814108053843,0.0218023513423072,100.829113573887,-0.000892283573727182,130,237,10,56,0,146.936301150982,167.167246542762,148.419540835186,-2.84813607138224,-3.8272679422985,-3.33770200684037,147.677920993084,115.479405320021
3791831892.09088,90.7991690635681,1.5133194843928,0.0252219914065467,100.506379023579,0.00122797950413357,112,215,10,72,0,96.7512722646188,96.3438987570893,97.2770917161641,-2.04986290201938,-3.34908952473383,-2.6994762133766,97.0141819903914,75.8619837584481
3791831896.00602,94.7143096923828,1.57857182820638,0.0263095304701063,100.606814744535,0.00030795961563404,98,196,10,77,0,61.7025620752915,66.7166755804952,61.7211510903317,-0.51677456136508,-1.03648689350175,-0.776630727433413,61.7118565828116,48.2566957298327
3791831900.36357,99.0718674659729,1.65119779109955,0.0275199631849925,100.437686179986,-8.1192652028129e-05,114,213,10,86,0,115.083664909736,128.493850291261,116.394835629143,-2.73866753796086,-2.3504825519846,-2.54457504497273,115.739250269439,90.5043875443365
3791831906.39302,105.101308584213,1.75168847640355,0.0291948079400592,100.166694731049,0.00160067441067778,105,204,10,94,0,58.0948284727664,63.9191314978573,57.3425851550627,-4.49963837808814,-5.40903180423992,-4.95433509116403,57.7187068139146,45.1341804779583
3791831912.49658,111.204876184464,1.85341460307439,0.0308902433845732,100.477179726813,-4.48379263544619e-05,134,236,10,98,0,102.060399684983,110.519152856465,98.6242175939896,-1.9492347615522,-1.74529361791025,-1.84726418973122,100.342308639486,78.4644722258013
3791831931.08254,129.790828227997,2.16318047046661,0.0360530078411102,99.9437735281925,0.00251595980768311,103,202,10,114,0,82.5331410025673,93.85478552465,83.8769455498691,-1.26627925809588,-1.74782271728981,-1.50705098769285,83.2050432762182,65.0636794759204
3791831931.26748,129.975772619247,2.16626287698746,0.0361043812831243,100.29720441783,0.000124919917302914,103,203,10,115,0,89.5914033218016,88.9963117880233,91.1710787562251,-1.32073562297746,-2.05185838667172,-1.68629700482459,90.3812410390133,70.6752363324478
3791831932.15166,130.859949350357,2.18099915583928,0.0363499859306547,100.326893158078,-0.000340782571823206,90,183,10,116,0,98.7851284504981,107.512092868278,99.6883093184522,-1.40600627552965,-0.938165880549468,-1.17208607803956,99.2367188844752,77.5999364402347
3791831935.31999,134.028278589249,2.23380464315414,0.0372300773859024,100.355576473908,-0.000168865857198364,98,194,10,119,0,99.8147666435109,105.549897644777,101.059909318625,-2.25614227280334,-1.80978188658179,-2.03296207969257,100.437337981068,78.5387821279181
3791831937.72075,136.429043292999,2.27381738821665,0.0378969564702776,100.359303797359,8.47240190395262e-05,110,208,10,121,0,142.131787126641,154.281478971095,140.245872063568,-3.61803974523676,-2.91249331839199,-3.26526653181438,141.188829595104,110.405143638473
3791831938.78735,137.495641708374,2.2915940284729,0.0381932338078817,100.346577412664,-4.32841120331762e-05,107,206,10,122,0,91.4381982888708,101.641821160168,91.8276794368595,-2.34925516916309,-3.45301627464095,-2.90113572190202,91.6329388628652,71.6540239492205
3791831938.88352,137.591811418533,2.29319685697556,0.0382199476162593,100.293211987656,8.65980676393419e-05,104,201,10,123,0,145.214219507247,158.559617480508,145.922924385767,-2.83869031907465,-1.75335850434199,-2.29602441170832,145.568571946507,113.829961910519
3791831939.1219,137.830190420151,2.29716984033585,0.0382861640055974,100.381490327272,-7.28672732061597e-05,109,206,10,124,0,101.812083461704,113.885332244193,102.699999919667,-2.36519772717221,-2.58860657999996,-2.47690215358609,102.256041690685,79.9609501908729
3791831939.3869,138.095194101334,2.30158656835556,0.0383597761392593,100.357634500375,0.00036932504148949,91,185,10,125,0,106.096143881488,111.282703680245,107.737128623348,-1.39727296995499,-1.76921651217629,-1.58324474106564,106.916636252418,83.6053858980348
3791831940.08131,138.789604187012,2.31316006978353,0.0385526678297255,100.343582147397,9.74511993167883e-06,99,194,10,127,0,130.595924391045,141.02349702571,130.060184925137,-3.28559901197309,-3.31034980813491,-3.297974410054,130.328054658091,101.912365418094
3791831940.33922,139.047517776489,2.31745862960815,0.0386243104934692,100.362770169721,-0.000137916223262035,111,212,10,128,0,91.6398311636173,96.6533712378765,93.5153911586683,-2.06865155236399,-2.52313670935973,-2.29589413086186,92.5776111611428,72.3927274364704
3791831940.4952,139.203495025635,2.32005825042725,0.0386676375071208,100.358697973679,6.72350810432766e-05,129,239,10,129,0,117.416626464818,118.775016761237,117.919588104166,-3.01327437602564,-1.84378770742264,-2.42853104172414,117.668107284492,92.012691964847
3791831940.58577,139.294062137604,2.3215677022934,0.0386927950382233,100.39068030108,3.07954055559737e-05,103,202,10,130,0,135.449269493958,139.287783692203,138.390849856482,-2.52682573760651,-3.25035598097221,-2.88859085928936,136.92005967522,107.067102254349
3791831942.63129,141.33957862854,2.355659643809,0.0392609940634833,100.158163597075,0.000431024313266514,129,236,10,132,0,96.255827397648,100.60638592028,95.6558268530788,-2.12701422813089,-2.57057862231403,-2.34879642522246,95.9558271253634,75.0343841443074
3791831947.51882,146.227113246918,2.4371185541153,0.0406186425685883,100.283985387006,-4.0505254363714e-07,96,190,10,136,0,127.252395785872,135.50193378679,128.256910285746,-2.78848972501723,-2.96284131092215,-2.87566551796969,127.754653035809,99.9000477541379
