real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3793626560.77930,57.2190289497375,0.953650482495626,0.0158941747082604,-100.828890382232,0.00026271288386919,109,210,4,2,0,84.8099510778131,86.7774595314872,85.2149987188736,-1.36656312280499,-2.45925616274367,-1.91290964277433,85.0124748983434,67.8713618948172
3793626561.11383,57.5535521507263,0.959225869178772,0.0159870978196462,-100.810745328706,-7.45181558811101e-05,99,199,4,3,0,89.7698858776847,93.295560979711,90.2601269723837,-2.25987903986444,-2.14061386343753,-2.20024645165099,90.0150064250342,71.8652301834922
3793626561.97088,58.4106097221375,0.973510162035624,0.0162251693672604,-100.882810363672,-0.00083229770697734,110,211,4,4,0,71.4878435700154,71.1906500788215,71.8873816399181,-1.14197902542225,-1.23559768905019,-1.18878835723622,71.6876126049667,57.2331990605531
3793626562.32245,58.7621772289276,0.979369620482127,0.0163228270080354,-101.00114719289,-0.0016539249018516,110,214,4,5,0,106.199647553743,105.256691380453,105.32151140198,-2.29339722196733,-2.21952840424343,-2.25646281310538,105.760579477861,84.4360145088234
3793626562.36645,58.8061716556549,0.980102860927582,0.0163350476821264,-100.742583525384,0.000199282354620774,100,197,4,6,0,113.864305231738,114.598569553903,113.738110624616,-2.48181809726152,-2.47823904822617,-2.48002857274384,113.801207928177,90.8554065341197
3793626563.56929,60.0090191364288,1.00015031894048,0.0166691719823413,-100.805418819673,0.00012982089519149,101,200,4,7,0,81.2881137453737,81.180238169801,80.6929845357166,-1.51117405881317,-1.12670822763583,-1.3189411432245,80.9905491405451,64.6603792837589
3793626563.60829,60.0480144023895,1.00080024003983,0.0166800040006638,-100.668160132903,-6.19323242722901e-05,109,210,4,8,0,81.8730810233899,81.6373213154774,83.0352070868777,-1.49496368374341,-1.86655818345718,-1.6807609336003,82.4541440551338,65.8288687346807
3793626563.79693,60.2366533279419,1.00394422213236,0.0167324037022061,-100.724429785206,0.000403036712063074,113,214,4,9,0,124.097209124133,124.306730447709,123.831897263031,-3.43553000845751,-2.82537110169312,-3.13045055507531,123.964553193582,98.9695107922905
3793626564.66898,61.1087021827698,1.01847836971283,0.0169746394952138,-100.633336799759,-2.38221017969238e-05,106,204,4,10,0,155.479042340257,162.618808390861,155.999288126038,-3.9595804188313,-3.74100931981117,-3.85029486932124,155.739165233148,124.337389981593
3793626564.73108,61.1708056926727,1.01951342821121,0.0169918904701869,-100.620263555808,9.25667522117517e-06,124,232,4,11,0,86.8225045475327,89.3011596327339,88.0582456248843,-2.21104464114169,-1.50870879414856,-1.85987671764513,87.4403750862085,69.8097232058147
3793626566.01578,62.4555032253265,1.04092505375544,0.017348750895924,-100.644157210756,0.000174134856675179,117,220,4,12,0,91.855508684727,95.5800878228008,92.4427803333719,-0.962194419399161,-1.84208646212113,-1.40214044076015,92.1491445090494,73.5690608084318
3793626566.23261,62.6723351478577,1.04453891913096,0.017408981985516,-100.650142147977,0.000288020229269217,126,233,4,13,0,84.2179216027439,90.5099740366901,84.5567413024205,-1.34512017136568,-1.28554699830688,-1.31533358483628,84.3873314525822,67.372266472714
