real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3794321940.68919,181.079339742661,3.01798899571101,0.0502998165951835,-85.6683171874283,6.57125508023958e-05,88,183,4,2,0,16.2783790657714,16.8811166263102,16.2805718048626,-0.524116212878407,-0.445909593821659,-0.485012903350033,16.279475435317,12.9970356709344
3794321940.82452,181.214676618576,3.0202446103096,0.0503374101718267,-85.6682745323121,6.09797311472129e-05,108,202,4,3,0,15.3203979245423,15.3596165575669,15.2191642129752,-0.44716919633151,-0.655077129668283,-0.551123162999897,15.2697810687588,12.1909265459175
3794321941.14322,181.533367872238,3.02555613120397,0.0504259355200662,-85.6549395298692,-0.000332537719529009,115,216,4,4,0,20.9126613072133,22.3552572241261,20.8891532820588,-0.586529909441889,-0.680736130699566,-0.633633020070727,20.9009072946361,16.6866456319567
3794321941.37217,181.762327671051,3.02937212785085,0.0504895354641808,-85.6027360657958,5.92009928210836e-05,117,218,4,5,0,29.6896439509357,33.6305053828677,29.605185325595,-0.774723193972265,-0.673835963201006,-0.724279578586636,29.6474146382653,23.6695897933283
3794321941.44523,181.835384845734,3.03058974742889,0.0505098291238149,-85.7249299788577,0.000545283176647169,137,243,4,6,0,33.7023528698825,38.8572178288603,33.7498748412894,-1.01160247435224,-0.945022485588106,-0.978312479970172,33.7261138555859,26.9258985994171
3794321941.8225,182.212652206421,3.03687753677368,0.0506146256128947,-85.6519507357151,-0.000141060863728624,104,199,4,7,0,10.6395721761049,11.763584336363,10.4920000428175,-0.278757576161549,-0.242075319328704,-0.260416447745126,10.5657861094612,8.4354007290811
3794321941.94475,182.334900856018,3.03891501426697,0.0506485835711161,-85.7493897596621,-0.000377995468872094,108,204,4,8,0,31.0401791348713,33.824925640581,30.9954639860006,-1.19356706688564,-1.03171384482892,-1.11264045585728,31.017821560436,24.7636807990193
3794321942.46322,182.853372573853,3.04755620956421,0.0507926034927368,-85.5986962279706,-1.53913861114935e-05,106,200,4,9,0,27.529348726326,29.096759548601,27.4326693078823,-1.15085718594051,-1.06184805322664,-1.10635261958357,27.4810090171041,21.9399977528587
3794321942.99319,183.383338212967,3.05638897021612,0.0509398161702686,-85.8654924336183,0.00155302107600302,106,206,4,10,0,14.0430140178632,15.4196944516717,14.18836034406,-0.112981863847169,-0.281390334934947,-0.197186099391058,14.1156871809616,11.2695332561333
3794321943.12214,183.512294530869,3.05853824218114,0.0509756373696857,-85.6396310181982,-8.79255171030326e-05,129,229,4,11,0,20.9974954136542,24.2723433237459,20.852275340938,-0.693198841221027,-0.694000993114962,-0.693599917167995,20.9248853772961,16.7057890003589
3794321943.16813,183.558286190033,3.05930476983388,0.0509884128305647,-85.6196766285266,-1.73988335869807e-06,116,213,4,12,0,17.1709575587592,19.1194399930798,17.2700506562348,-1.03695576354568,-0.969947306186746,-1.00345153486621,17.220504107497,13.7483242040503
3794321943.26872,183.658868789673,3.06098114649455,0.0510163524415758,-85.6505898974104,-0.000159961341675382,108,206,4,13,0,27.507213532254,29.8288821084744,27.5892846374807,-0.809051989485435,-1.00766220269636,-0.908357096090899,27.5482490848674,21.9936801680389
3794321943.30124,183.691395998001,3.06152326663335,0.0510253877772225,-85.6546534846073,0.000428156538107296,98,194,4,14,0,14.9407168987719,14.5189999205239,14.8095683034118,-0.350843258319882,-0.482196305082414,-0.416519781701148,14.8751426010919,11.8758592538681
3794321943.47385,183.864005565643,3.06440009276072,0.0510733348793454,-85.5979900480015,4.04509601856557e-05,91,181,4,15,0,25.24824632453,26.0515407133294,25.4362553443386,-0.778080460022695,-0.81493138976438,-0.796505924893538,25.3422508344343,20.2324785823479
3794321943.52156,183.91171503067,3.06519525051117,0.0510865875085195,-85.6058760322337,-6.44369633858119e-05,115,218,4,16,0,18.3670658506991,18.624966021613,18.4041147067087,-0.695895968932207,-0.401350441664047,-0.548623205298127,18.3855902787039,14.6784933969739
3794321943.60156,183.991711378098,3.06652852296829,0.0511088087161382,-85.5953055343817,6.8638241111199e-05,100,198,4,17,0,28.3128357207146,31.0748660992659,27.8600929229432,-0.941638815038431,-1.08257230643341,-1.01210556073592,28.0864643218289,22.4233747648472
3794321943.96707,184.357224225998,3.07262040376663,0.0512103400627772,-86.0744186902633,0.0022816543776237,100,190,4,18,0,17.0523175360545,19.2104640724371,17.1767458622085,0.0288312391581922,-0.279284048657975,-0.125226404749891,17.1145316991315,13.6637190718313
3794321944.11042,184.500568151474,3.07500946919123,0.0512501578198539,-85.6617226569548,0.000571716028559277,103,194,4,20,0,11.8148456530561,13.4861310396399,11.9626597694287,-0.192639355825971,-0.359438323421066,-0.276038839623518,11.8887527112424,9.49161683279551
3794321944.28969,184.679843902588,3.07799739837647,0.0512999566396077,-85.5666363337363,6.5488740988947e-05,123,222,4,21,0,24.1631796598199,24.4516872680476,24.0316571571627,-0.927181516569969,-0.634503541763131,-0.78084252916655,24.0974184084913,19.2386424167663
3794321944.44003,184.830187797546,3.08050312995911,0.0513417188326518,-85.5520007006224,-2.91354771612138e-05,107,202,4,23,0,16.0350990091804,17.8250484119797,16.0807310921334,-0.346842979386984,-0.407503963447166,-0.377173471417075,16.0579150506569,12.8201486309229
3794321944.7529,185.143056154251,3.08571760257085,0.0514286267095142,-85.5067826077249,-6.47891371264344e-05,106,199,4,26,0,15.4498686099837,17.7196339933403,15.5481215806021,-0.605510356666088,-0.443938364982428,-0.524724360824258,15.4989950952929,12.3739240196984
3794321944.85543,185.245587348938,3.08742645581563,0.0514571075969272,-85.8375283168708,-0.00205596851786863,152,250,4,27,0,18.0742507027864,32.5358858133593,12.4253920217112,-2.85288470801675,-4.38891984497819,-3.62090227649747,15.2498213622488,12.174991326228
3794321944.96347,185.353627681732,3.08922712802887,0.0514871188004812,-85.5014932312286,-0.000117255909922241,92,185,4,30,0,11.7685330625216,11.9477629528848,11.9343441927528,-0.380446852359364,-0.159764865019068,-0.270105858689216,11.8514386276372,9.46182640879985
3794321945.18249,185.572641849518,3.09287736415863,0.0515479560693105,-85.4879539372421,5.53554874335909e-05,253,364,4,31,0,24.2173654197745,26.2858691403295,17.3247133194019,-0.642668687493144,-0.497900257324161,-0.570284472408652,20.7710393695882,16.5829630494888
3794321945.3095,185.699649095535,3.09499415159225,0.0515832358598709,-85.4529908581087,-5.65236429464528e-07,90,181,4,33,0,22.3623860418161,23.8567515043596,22.3726905566396,-0.450995646929403,-0.402891053015856,-0.42694334997263,22.3675382992278,17.857559004351
3794321945.41344,185.803592443466,3.09672654072444,0.0516121090120739,-85.6900986884784,-0.000357130982400068,133,237,4,34,0,13.7521860307993,15.5584344818397,13.5926648532859,-0.186225419829333,-0.137602587443367,-0.16191400363635,13.6724254420426,10.9156466302908
3794321945.52435,185.91450381279,3.0985750635465,0.051642917725775,-85.4621888007202,7.45353751773441e-05,134,234,4,35,0,13.770372154066,13.1812693870112,13.6923752829499,-0.385144854377,-0.259283805043539,-0.32221432971027,13.731373718508,10.962709132704
3794321945.61747,186.007622480392,3.10012704133987,0.0516687840223312,-85.4728980366482,7.59754024972983e-05,87,174,4,36,0,8.48760133947911,8.74140805787571,8.50915943742476,0.0140795083885788,-0.148199152830657,-0.0670598222210392,8.49838038845193,6.78484718335942
3794321945.68812,186.078268527985,3.10130447546641,0.0516884079244402,-85.6241829568742,0.00118086818310319,101,195,4,38,0,19.2226497941982,21.2228958720361,19.3789236491881,-0.447102131732455,-0.845043061353863,-0.646072596543159,19.3007867216932,15.409158267762
3794321945.7783,186.168457269669,3.10280762116114,0.0517134603526857,-85.4490318764105,2.51995889242672e-05,103,197,4,39,0,15.8063042105355,17.7986323180729,15.9793908556483,-0.722894641869531,-0.582806025451754,-0.652850333660643,15.8928475330919,12.6883637695231
3794321945.88297,186.273124933243,3.10455208222071,0.0517425347036786,-85.4987876048661,4.271991595746e-05,133,238,4,40,0,19.27022963597,20.2277426867452,19.9855340324486,-0.785638273956974,-0.921801095037944,-0.853719684497459,19.6278818342093,15.6703010092497
3794321946.10795,186.498107671738,3.10830179452896,0.051805029908816,-85.4523579986386,-2.92802363738424e-05,129,232,4,42,0,28.2794829869608,28.5732930965782,28.3938160832066,-0.937909642428477,-0.883141870570864,-0.910525756499671,28.3366495350837,22.6231149932061
3794321946.34788,186.738034486771,3.11230057477951,0.0518716762463252,-85.5015816788352,0.000214039946333245,120,220,4,43,0,22.3935656072158,25.2957095500879,22.4602073792419,-0.73282766131532,-0.846739819290866,-0.789783740303093,22.4268864932289,17.9049407887028
3794321946.42737,186.817524194717,3.11362540324529,0.0518937567207548,-85.4287472760942,6.24312196811052e-06,114,215,4,44,0,40.6392701598221,45.5264685601663,40.669679832994,-1.32141955913624,-1.42331726307948,-1.37236841110786,40.6544749964081,32.457290396786
3794321946.69964,187.089790344238,3.11816317240397,0.0519693862067329,-85.4446132313534,6.87167174326028e-05,111,212,4,45,0,20.4268830087045,23.3381727672674,20.5077293141728,-0.711255989644809,-0.646284270282995,-0.678770129963902,20.4673061614386,16.3404717384847
3794321946.7472,187.137355327606,3.11895592212677,0.0519825987021128,-85.4139751627661,0.000212574269744239,99,192,4,46,0,28.1789809300623,30.4362320663114,28.2570921070971,-1.15038320519632,-1.11575006281435,-1.13306663400534,28.2180365185797,22.5284179857586
3794321947.04346,187.433610200882,3.12389350334803,0.0520648917224672,-85.3906651796512,0.000131057272826483,94,186,4,48,0,16.3560689805928,16.5653773828264,16.4027003478809,-0.453615209231965,-0.758415772077309,-0.606015490654637,16.3793846642369,13.0768001459807
3794321947.10872,187.498876571655,3.12498127619425,0.0520830212699042,-85.3894048451959,2.08984812846901e-05,299,421,4,49,0,12.0374005797882,13.3329913084356,16.8225857607564,-0.333193785647017,-0.1685918887913,-0.250892837219158,14.4299931702723,11.5204655525018
3794321947.46562,187.855777740479,3.13092962900798,0.0521821604834663,-85.4989181207842,-0.00100387534295683,92,185,4,50,0,18.431041860412,19.614094461182,18.0846625060002,-0.457298231100482,-0.336316671355819,-0.39680745122815,18.2578521832061,14.5765112053291
3794321947.47959,187.869744300842,3.13116240501404,0.0521860400835673,-85.3538526085086,-3.06984895572365e-05,107,204,4,51,0,16.6902484596759,17.7044272975271,16.5008238394655,-0.572284538939958,-0.397509434520034,-0.484896986729996,16.5955361495707,13.2493688860714
3794321947.96609,188.356243848801,3.13927073081334,0.0523211788468891,-85.3635530906222,7.08165690853907e-05,97,192,4,52,0,52.9990635929799,58.3108011008566,53.2752894628592,-1.40694502004108,-1.26638368579786,-1.33666435291947,53.1371765279196,42.42309781603
3794321948.00154,188.391694307327,3.13986157178879,0.0523310261964798,-85.486965011005,0.000553269054441217,127,235,4,53,0,39.8849886945251,39.6127777397284,39.5733266135645,-1.34808376339439,-1.42954104222264,-1.38881240280852,39.7291576540448,31.7185453092422
3794321948.03485,188.424998283386,3.14041663805644,0.0523402773009406,-85.3799494439996,-3.97067022655769e-05,318,444,4,54,0,22.2509229029211,21.9244101275711,17.6968195808792,-0.759543820256696,-0.616975797285608,-0.688259808771152,19.9738712419002,15.9465283785769
3794321948.07896,188.469110250473,3.14115183750788,0.0523525306251314,-85.3646740802984,-6.17698581769145e-07,120,218,4,55,0,12.7754698772227,13.7795819495344,12.8081777685458,-0.242681462407646,-0.491702461412549,-0.367191961910098,12.7918238228842,10.2126012095977
3794321948.12024,188.510391235352,3.14183985392253,0.0523639975653754,-85.3893370045396,0.000155391575123414,133,240,4,56,0,32.7342074836361,37.6894390895608,32.7495787623914,-1.2975255727227,-0.959192741750062,-1.12835915723638,32.7418931230138,26.1401268452755
3794321948.44677,188.836919546127,3.14728199243546,0.0524546998739243,-85.4119460446979,-2.27334563600249e-05,96,183,4,57,0,16.5537287091091,18.5118782623844,16.5288349065763,-0.762948108980367,-0.534737264955749,-0.648842686968058,16.5412818078427,13.2060538777012
3794321948.61884,189.008991003036,3.15014985005061,0.0525024975008435,-85.4420630195862,8.64845342687271e-05,108,208,4,59,0,22.1913643300445,22.4104133176617,21.9963424894607,-0.543546001655152,-0.894475547272536,-0.719010774463844,22.0938534097526,17.6390573526708
3794321948.72869,189.118839740753,3.15198066234589,0.0525330110390981,-85.622623923917,-0.000652946620888414,123,222,4,60,0,14.8668817367903,17.2492272450693,14.4859132233838,-0.468175329812919,-0.250237758133204,-0.359206543973062,14.676397480087,11.7171872231023
3794321948.78005,189.17020201683,3.15283670028051,0.0525472783380085,-85.4732260075626,0.000140076662457388,109,201,4,61,0,12.9377340314609,14.3851252299198,12.8322778604188,-0.369121327707614,-0.325132591613259,-0.347126959660437,12.8850059459399,10.286994968909
3794321948.98728,189.377428531647,3.15629047552745,0.0526048412587908,-85.4687400807352,-5.14474998465136e-05,144,250,4,62,0,26.3206090791847,30.9110705069872,26.4874146545152,-0.909043051061378,-0.827144473029926,-0.868093762045652,26.4040118668499,21.0801561421775
3794321949.18513,189.575282096863,3.15958803494771,0.0526598005824619,-85.452939681117,-1.01331584867054e-05,121,219,4,63,0,19.5995096858141,19.4039800190025,19.6699942593669,-0.537898530653934,-0.472438021621498,-0.505168276137716,19.6347519725905,15.6757859177752
3794321949.26287,189.653026103973,3.16088376839956,0.0526813961399926,-85.4455299030984,2.41880278093395e-05,145,256,4,64,0,13.0239013084991,15.3788563084765,13.0723242751621,-0.364679728730819,-0.281198502784805,-0.322939115757812,13.0481127918306,10.4172144899641
3794321949.47114,189.86129617691,3.16435493628184,0.0527392489380307,-85.4599846489966,0.000319713193559339,122,227,4,65,0,16.7228155786492,18.3360354062153,16.6805200813884,-0.376147969785994,-0.34621725597194,-0.361182612878967,16.7016678300188,13.3341011762537
3794321949.60737,189.997525691986,3.16662542819977,0.0527770904699961,-85.4049469591584,0.000230985513579501,115,212,4,66,0,16.1880011344288,18.5957899138706,16.2660516188531,-0.49301325572346,-0.532651850431952,-0.512832553077706,16.227026376641,12.9551619453818
3794321949.65082,190.040969371796,3.16734948952993,0.0527891581588321,-85.7188407159615,-0.00207883652570193,121,224,4,67,0,21.0071228004802,23.8664833352207,20.891316667717,-0.571830306003488,-0.473736468687124,-0.522783387345306,20.9492197340986,16.7252168071484
3794321949.70195,190.092098474503,3.16820164124171,0.0528033606873618,-85.3855689458742,5.03833197396892e-06,118,214,4,68,0,19.0612564150038,21.8016366714957,18.9373859837153,-0.73853550929122,-0.599096232367398,-0.668815870829309,18.9993211993596,15.1684774078108
3794321949.7648,190.154952764511,3.16924921274185,0.0528208202123642,-85.3852024889508,-0.000151308803044313,96,190,4,69,0,27.7516008832686,28.9571629396244,27.8664002399199,-1.0686010967058,-1.20901748797896,-1.13880929234238,27.8090005615942,22.2018561782386
3794321950.26392,190.654070854187,3.17756784756978,0.0529594641261631,-85.399461581598,-1.93157962075414e-05,112,208,4,70,0,23.0699071488906,26.026531289143,23.0538987304535,-0.731775443518389,-0.822050356790825,-0.776912900154607,23.061902939672,18.4119185128221
3794321950.31459,190.704746484756,3.17841244141261,0.0529735406902101,-85.4158491868882,0.000119449464253784,105,201,4,71,0,15.67869391444,16.383472866976,15.8877687732767,-0.331776432490301,-0.400871914352289,-0.366324173421295,15.7832313438583,12.6008495540165
3794321950.36577,190.755920648575,3.17926534414291,0.0529877557357152,-85.418857765598,0.000251342985725636,120,211,4,72,0,12.0257926698349,13.0619748377825,12.0356077211965,-0.359527929001077,-0.263019623651112,-0.311273776326094,12.0307001955157,9.60494336618599
3794321950.48773,190.877886533737,3.18129810889562,0.0530216351482603,-85.3882278312459,4.8020114548111e-05,368,503,4,73,0,21.3725013860367,18.6894203037228,14.6169691195613,-0.612170954266738,-0.634817585040832,-0.623494269653785,17.994735252799,14.3664466892017
3794321950.543,190.933155298233,3.18221925497055,0.0530369875828425,-85.370620347622,-5.33879002894231e-05,104,201,4,74,0,15.473841348295,17.4573675345633,15.562292227548,-0.397629311814917,-0.403930418808442,-0.40077986531168,15.5180667879215,12.3891502762436
3794321950.7189,191.109049320221,3.18515082200368,0.0530858470333947,-85.402604047243,-3.19788811790032e-05,123,223,4,75,0,12.1862749620361,13.4594812108227,11.9856231838601,-0.217244935633464,-0.300259766313334,-0.258752350973399,12.0859490729481,9.64905238146851
3794321950.82069,191.21084690094,3.186847448349,0.05311412413915,-85.3757174695859,5.4025352096836e-05,104,196,4,76,0,18.4343337044905,20.5158984429159,18.3355015498928,-0.667453038289071,-0.455449702352294,-0.561451370320682,18.3849176271917,14.6779563725635
3794321951.21928,191.609434127808,3.19349056879679,0.0532248428132799,-85.3634802851669,1.8924226528749e-05,129,230,4,77,0,21.7983896748236,25.1941732769663,21.6919090424831,-0.568912822740145,-0.626631292210486,-0.597772057475316,21.7451493586533,17.3606626950085
3794321951.2843,191.674456596375,3.19457427660624,0.053242904610104,-85.3712975147726,9.73040276589773e-05,143,252,4,78,0,58.1792295415304,67.3150788022723,58.2136050423063,-1.33546681236026,-1.57002752476455,-1.4527471685624,58.1964172919183,46.4622410266821
3794321951.56647,191.956623077393,3.19927705128988,0.0533212841881646,-85.410980391282,0.000152171015795291,128,232,4,79,0,133.332105376517,141.751469263935,133.228612446961,-2.31086541717224,-2.59825708550132,-2.45456125133678,133.280358911739,106.406965377572
3794321951.6335,192.023652076721,3.20039420127869,0.0533399033546448,-85.4163496812699,-0.000126368272937756,91,182,4,80,0,18.314916056858,19.6399954670376,18.4791675390104,-0.49399010688607,-0.58842843654103,-0.54120927171355,18.3970417979342,14.6876359399578
3794321951.71714,192.107291460037,3.20178819100062,0.053363136516677,-85.4239834464114,-5.65466212800224e-05,213,316,4,81,0,28.6690721093085,28.2672092760948,20.7481971154925,-1.0617336856912,-0.893343675235282,-0.977538680463239,24.7086346124005,19.726618754605
3794321951.81462,192.204768896103,3.20341281493505,0.0533902135822508,-85.4490858975418,-1.73492076510988e-05,105,203,4,82,0,18.1269815691495,19.2051066703364,18.0924994494648,-0.518411921224829,-0.572476636079192,-0.545444278652011,18.1097405093071,14.4582633713251
