real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3797262492.99955,26.472583770752,0.441209729512533,0.00735349549187554,93.0103764034077,-0.000443488408945116,78,166,4,2,0,90.4941899067508,97.3461084917238,90.4345830556651,-2.19998263659447,-2.62014382109002,-2.41006322884225,90.464386481208,70.6804692345038
3797262493.07070,26.5437350273132,0.442395583788554,0.00737325972980923,93.0730454923983,0.000241636094526281,97,193,4,3,0,74.4514284700402,83.6101401822722,74.6522458624459,-1.99084658094177,-1.80949345421735,-1.90017001757956,74.551837166243,58.247881162594
3797262493.31119,26.7842261791229,0.446403769652049,0.00744006282753415,93.0705759516553,0.000111103038534847,96,190,4,4,0,79.2612074542254,88.2021377488079,78.3810824229344,-2.67373846095963,-3.31633351736599,-2.99503598916281,78.8211449385799,61.5835217211907
3797262493.38497,26.8580024242401,0.447633373737335,0.00746055622895559,93.06823186769,0.000226980721973837,92,185,4,5,0,104.22153288297,117.149897861564,104.089251269953,-4.14980835401398,-3.72377593868474,-3.93679214634936,104.155392076462,81.3773493815412
3797262493.63022,27.103257894516,0.4517209649086,0.00752868274847666,93.1041889084657,-0.00019685007350694,90,183,4,6,0,93.5609210521667,105.754136620322,94.8828319769032,-3.46119152607222,-3.82422291202055,-3.64270721904638,94.221876514535,73.6162229496378
3797262493.65264,27.1256778240204,0.45209463040034,0.00753491050667233,93.1099227720224,-2.4796667767059e-05,83,174,4,7,0,52.0392689652302,56.2698727942605,51.8813514045039,-1.49179009879172,-2.1245443556802,-1.80816722723596,51.960310184867,40.5969602877887
3797262494.36993,27.842969417572,0.464049490292867,0.00773415817154778,92.968449242714,0.00242396365846735,81,172,4,8,0,62.2338165442395,69.306639085412,62.601325290369,-2.12189360694976,-0.920438813777734,-1.52116621036375,62.4175709173043,48.7672925503056
3797262494.68208,28.1551201343536,0.469252002239227,0.00782086670398712,92.6199644824067,0.00219703465551658,105,137,4,9,0,2.60789594109087,3.49069203413634,3.49069203413634,0.764762088572628,0,0.382381044286314,3.0492939876136,2.38243510249474
3797262494.99162,28.4646534919739,0.474410891532898,0.00790684819221497,93.1809636960944,0.000207872647128754,95,188,4,10,0,78.6803274728713,88.6975230282125,79.8000503994934,-2.81124619480346,-3.52478601923964,-3.16801610702155,79.2401889361824,61.9109237799732
3797262496.39309,29.8661296367645,0.497768827279409,0.00829614712132348,92.9297441878326,0.00154263536311415,91,185,4,12,0,67.8274386421201,76.3520170612968,68.6686360296248,-2.29221804188864,-2.55394930625916,-2.4230836740739,68.2480373358725,53.32267747414
3797262496.42737,29.9004077911377,0.498340129852295,0.00830566883087158,93.1087518473862,-0.000134530539493167,84,176,4,13,0,73.8846617215661,76.9726161679357,74.4893440616913,-1.64172506903786,-1.66601256550662,-1.65386881727224,74.1870028916287,57.9628335463376
3797262496.44879,29.9218249320984,0.49869708220164,0.008311618036694,93.1082464158577,-0.000103122602907574,77,167,4,14,0,71.2877159456255,74.051647654553,70.2919037216338,-1.94734151074601,-2.91295643837422,-2.43014897456012,70.7898098336297,55.3085824232235
3797262497.85239,31.3254208564758,0.52209034760793,0.00870150579346551,92.8318221062053,-0.00244339397309124,92,183,4,15,0,46.8668734060145,52.7228409529031,46.8791420623155,-1.43509237335276,-1.70586264740547,-1.57047751037912,46.873007734165,36.6222146631317
3797262498.14107,31.6141037940979,0.526901729901632,0.00878169549836053,93.0585684488632,-0.000824567248568388,81,171,4,16,0,106.6278807612,110.574575161189,107.096489794737,-3.07508168195173,-3.65907927208397,-3.36708047701785,106.862185277969,83.4921861813576
3797262498.20623,31.6792643070221,0.527987738450368,0.00879979564083947,93.0820301558435,0.000166007522056926,85,177,4,17,0,74.6782171063934,83.3892138283527,75.2560294643679,-1.65004726585181,-1.91670496209834,-1.78337611397507,74.9671232853807,58.5723471641771
3797262498.41499,31.8880250453949,0.531467084089915,0.00885778473483192,93.0350839001666,0.000328406384879908,92,187,4,18,0,68.1325597264727,67.7636462028569,67.7319549583306,-2.62760494318368,-2.26695068741542,-2.44727781529955,67.9322573424017,53.0759563169914
3797262498.60179,32.0748217105865,0.534580361843109,0.00890967269738515,92.9406573794579,-0.000408371899728755,79,167,4,19,0,59.5527449217117,63.370794437509,58.9304489808811,-1.08220980866554,-3.22070441233839,-2.15145711050197,59.2415969512964,46.2858814787716
3797262498.96576,32.4388008117676,0.540646680196126,0.00901077800326877,92.954740263945,-8.63751113709579e-06,94,190,4,20,0,94.6828626217279,98.2257864965232,94.168881301389,-3.18942702054379,-3.02063633842667,-3.10503167948523,94.4258719615585,73.7756060447779
3797262499.03069,32.503720998764,0.541728683312734,0.00902881138854557,92.9438627623247,6.91231799286655e-05,76,165,4,21,0,57.3502915388446,58.8548642205633,57.18500833347,-1.86524407242457,-1.13602949702022,-1.50063678472239,57.2676499361573,44.7436226219887
3797262499.12252,32.5955522060394,0.54325920343399,0.00905432005723317,92.663476482902,-0.00233089494757481,84,174,4,22,0,82.0608367227166,89.8584086722987,82.2641947552454,-2.19286408110101,-2.52924662587365,-2.36105535348733,82.162515738981,64.1941585170074
3797262499.18193,32.6549656391144,0.544249427318573,0.00907082378864288,92.9328166861331,0.000199593822230757,89,181,4,23,0,92.5408997551586,101.502865372111,91.221329063688,-3.9446841713993,-3.22650307438688,-3.58559362289309,91.8811144094233,71.7873688514563
3797262499.73295,33.2059900760651,0.553433167934418,0.0092238861322403,92.6718569320661,-0.000938283729215141,87,180,4,24,0,90.4550823562989,97.8416285318749,89.7133187318687,-1.77100116546131,-4.69844420625933,-3.23472268586032,90.0842005440838,70.3834272550296
3797262499.92738,33.4004158973694,0.55667359828949,0.00927789330482483,92.5624535513213,-0.00127527244510636,74,163,4,25,0,17.7027006371881,17.1235665420372,17.8532183123199,-0.284136206282922,-0.477470244351723,-0.380803225317323,17.777959474754,13.890046310861
