real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3797262267.35424,0.0235013961791992,0.000391689936319987,6.52816560533312e-06,-1.87109962654537,-0.000743321890185327,132,216,7,1,0,4.93013033142183,5.41954280129296,4.97577227965393,0.336571857013753,0.441781737175729,0.389176797094741,4.95295130553788,2.81327634154552
3797262268.43181,1.10106325149536,0.0183510541915894,0.000305850903193156,-1.52024868971477,-0.000289609360577134,138,250,7,2,0,131.701563516326,134.975002631169,132.820807831547,-3.23361839549881,-2.93068441448182,-3.08215140499031,132.261185673937,75.124353462796
3797262268.49931,1.16856694221497,0.0194761157035828,0.000324601928393046,-2.26889332469332,-0.00694122616376268,127,135,7,3,0,2.20100280737745,2.245853990685,2.245853990685,0.853819476154337,0,0.426909738077168,2.22342839903122,1.26290733064974
3797262268.89633,1.565589427948,0.0260931571324666,0.000434885952207777,-1.34418871453362,-4.54199325512174e-05,143,237,7,4,0,5.69155972057441,6.49286297668628,5.63921610039998,-0.00108119496805878,-0.0889360037074877,-0.0450085993377732,5.6653879104872,3.21794033315673
3797262272.06251,4.73177075386047,0.0788628458976746,0.00131438076496124,-0.804645545163251,-0.000199899015402444,183,301,7,5,0,157.087167692954,177.172625589295,155.339124767741,-6.20275948122707,-4.18654811496357,-5.19465379809532,156.213146230348,88.7290670588374
3797262273.30558,5.97484183311462,0.0995806972185771,0.00165967828697628,-3.92111958095756,-2.97363512022233e-05,128,219,7,6,0,6.65309792571401,7.06974470084248,6.86992630385245,-0.20997648922706,-0.243819130862405,-0.226897810044732,6.76151211478323,3.84053888119688
3797262276.17975,8.84900617599487,0.147483436266581,0.00245805727110969,-3.90303478457768,5.71900943755698e-05,120,215,7,7,0,6.97404581905415,6.96493887563999,7.07338348166388,-0.239812056869578,-0.0345279028874269,-0.137169979878502,7.02371465035902,3.98946992140392
3797262276.37276,9.04201698303223,0.150700283050537,0.00251167138417562,-3.91374960436434,0.000148927067087116,133,217,7,8,0,4.58852563939251,4.15515282335946,4.51558161141681,0.253220274954149,0.102766380920649,0.177993327937399,4.55205362540466,2.58556645922985
3797262276.94529,9.6145498752594,0.16024249792099,0.00267070829868317,-3.91241785862212,-0.000152992860617868,126,234,7,9,0,106.120491345102,107.109969881806,106.507267204487,-3.31960353223283,-4.23040702953653,-3.77500528088468,106.313879274795,60.3862834280834
3797262277.12130,9.7905604839325,0.163176008065542,0.00271960013442569,-3.84319693154381,5.92618804038961e-05,122,209,7,10,0,8.17335673048649,8.06332255850901,6.82473888200481,-0.785492482681656,-0.473874666478096,-0.629683574579876,7.49904780624565,4.25945915394753
3797262277.29681,9.96606993675232,0.166101165612539,0.00276835276020898,-3.72557004392915,8.69638000782758e-05,887,1109,7,11,0,3.27788536521584,3.27264538297543,3.83680101183791,-0.00148010804357801,-0.30318129322974,-0.152330700636659,3.55734318852688,2.02057093108327
3797262277.44982,10.1190786361694,0.168651310602824,0.00281085517671373,-3.88047329702419,-0.00024879719461031,161,275,7,12,0,114.3661672521,126.966563641261,114.64347933569,-4.23698397481469,-3.50776599899419,-3.87237498690444,114.504823293895,65.0387396309324
