real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3803473807.89137,71.7637603282928,1.19606267213821,0.0199343778689702,-94.6701972571666,-0.00011827538815442,102,198,4,1,0,58.6100020131867,64.6150594238182,58.0494156104562,-2.19738200858502,-1.86163008057289,-2.02950604457896,58.3297088118214,46.7160764441906
3803473808.11731,71.9896931648254,1.19982821941376,0.0199971369902293,-94.7335092235478,-1.87895347259812e-05,118,218,4,2,0,31.1949231913534,35.0753772492257,30.9667074087952,-0.895864893518651,-1.35776305547272,-1.12681397449568,31.0808153000743,24.892525148553
3803473808.20312,72.0755064487457,1.20125844081243,0.0200209740135405,-94.7450046739508,0.000140099487273189,97,192,4,3,0,25.340866134895,27.7536083312437,25.4072429834406,-0.675301763783281,-1.22734988621392,-0.951325824998602,25.3740545591678,20.3219988001193
3803473808.45706,72.3294403553009,1.20549067258835,0.0200915112098058,-94.8011040680481,-0.000283004838811092,101,195,4,4,0,19.2224792069648,20.241941132645,19.1822596997292,-0.913795523502089,-0.353645575650499,-0.633720549576294,19.202369453347,15.3791160210686
3803473808.64562,72.5180087089539,1.20863347848256,0.0201438913080427,-94.808710776905,-5.62648364768971e-05,100,194,4,5,0,48.0237894265821,52.8667967056168,47.897145764707,-1.73544803504686,-1.63800521034294,-1.6867266226949,47.9604675956445,38.4113844580547
3803473809.62300,73.49538397789,1.22492306629817,0.0204153844383028,-95.0396046293803,-3.08967335915394e-05,99,196,4,8,0,46.3704202191601,49.8246719988676,45.9804468919629,-1.53826208406408,-1.3581973661585,-1.44822972511129,46.1754335555615,36.9817564285196
3803473809.76527,73.6376600265503,1.22729433377584,0.0204549055629306,-96.8456800493813,0.00882512392062062,144,259,4,9,0,50.1686290924806,54.6835927227509,48.0844032369625,0.107368372277948,0.00720676336612412,0.0572875678220358,49.1265161647216,39.345269011917
3803473809.95017,73.8225588798523,1.23037598133087,0.0205062663555145,-95.0018737082998,-0.000101342788501293,112,209,4,10,0,37.6949035981933,42.2772545417506,37.7121457720385,-1.33334062056736,-1.41703531883527,-1.37518796970132,37.7035246851159,30.1966318242332
3803473810.00909,73.8814771175385,1.23135795195897,0.0205226325326496,-95.0017636989435,-8.60994550610393e-05,98,194,4,11,0,31.7606365014638,34.778998754961,31.7039925398777,-1.21107492241897,-1.59321709379317,-1.40214600810607,31.7323145206707,25.4143087818453
3803473810.01807,73.8904523849487,1.23150753974915,0.0205251256624858,-94.9560210489422,-0.000473312982599552,98,193,4,12,0,23.5891312149088,25.2021919116387,23.524987475899,-0.645041079592788,-0.907423894401392,-0.77623248699709,23.5570593454039,18.8667731692361
3803473810.09471,73.9670956134796,1.23278492689133,0.0205464154481888,-95.1464238918052,-0.000635611333879086,104,202,4,13,0,41.1210366606173,44.9535475288207,40.9820966643686,-1.41850578868604,-1.30637346837855,-1.36243962853229,41.051566662493,32.8780678906825
3803473810.13040,74.0027854442596,1.23337975740433,0.0205563292900721,-95.1023077291363,0.000475836841959995,127,233,4,14,0,46.6230518374305,40.5449334053572,56.4357727252986,-14.1157080488316,-7.89678519133991,-11.0062466200857,51.5294122813645,41.2697407941212
3803473810.24127,74.1136529445648,1.23522754907608,0.0205871258179347,-95.1019672471454,-3.20288544972832e-05,101,198,4,15,0,34.6742052767228,37.6907056464694,34.6322363394456,-1.06936282898183,-1.04999575423768,-1.05967929160975,34.6532208080842,27.753653246076
3803473810.39196,74.2643435001373,1.23773905833562,0.0206289843055937,-95.0923209678651,0.00027745382411558,103,201,4,16,0,43.9029616084369,48.2335541275944,44.5868323467563,-1.52619886675828,-1.69964939065849,-1.61292412870838,44.2448969775966,35.4355958837196
3803473810.47185,74.3442394733429,1.23907065788905,0.0206511776314841,-95.1109717447241,2.61247254881053e-06,115,216,4,17,0,63.496353724368,70.6959056622534,63.3238227405683,-2.45451145242451,-2.36625849831984,-2.41038497537217,63.4100882324682,50.784936005038
3803473810.69288,74.5652627944946,1.24275437990824,0.0207125729984707,-95.1209309139388,-1.49656296110817e-05,100,198,4,18,0,18.8187573875693,18.8083442485903,18.8546006272986,-0.537538733805884,-0.551420677282837,-0.54447970554436,18.8366790074339,15.0862357174604
3803473810.84056,74.712949514389,1.24521582523982,0.0207535970873303,-95.1765656562844,0.000153464067148017,107,205,4,19,0,43.8745109304506,48.3919570073885,43.9141117847231,-1.35703913346118,-1.75743557162156,-1.55723735254137,43.8943113575868,35.1548129866637
3803473811.08676,74.9591407775879,1.2493190129598,0.02082198354933,-95.1972726287733,-0.000107760660279992,113,212,4,21,0,35.8131365386518,40.4427229111335,35.7189878796396,-1.21032860574708,-1.44178028343149,-1.32605444458929,35.7660622091457,28.6449243499653
3803473811.66617,75.5385553836823,1.25897592306137,0.0209829320510228,-95.2816378562649,2.44274999247491e-05,104,202,4,24,0,47.29859274011,52.3598363373787,47.2536066920237,-1.8582812341608,-1.83509955905041,-1.8466903966056,47.2760997160668,37.8632764213518
3803473811.71514,75.5875217914581,1.25979202985764,0.0209965338309606,-95.2921104900398,-0.000166815057906858,102,200,4,25,0,41.5572920997678,45.3314322662347,41.6947260647206,-1.50061508167648,-1.3956968735637,-1.44815597762009,41.6260090822442,33.3381369796687
3803473811.81314,75.6855239868164,1.26142539978027,0.0210237566630046,-95.3327314631769,-0.000277464020516515,98,194,4,26,0,42.9536929089635,46.0811685523003,42.9462754849621,-1.59755457651081,-1.41173747997407,-1.50464602824244,42.9499841969628,34.3985043967072
3803473811.86257,75.7349581718445,1.26224930286407,0.0210374883810679,-95.305496274422,0.00024091371785508,130,236,4,27,0,41.0428472053409,47.1451000303618,41.2105044992848,-1.58710942457123,-1.44434945146317,-1.5157294380172,41.1266758523129,32.9382225995738
3803473812.13524,76.0076215267181,1.26679369211197,0.0211132282018662,-95.3489633241825,-0.000103764460511652,116,217,4,28,0,55.7354147386262,62.7061163050333,55.6154676816908,-2.190711659291,-2.30918466936344,-2.24994816432722,55.6754412101585,44.5902820469881
3803473812.56940,76.441789150238,1.27402981917063,0.0212338303195106,-95.3642479432354,1.79083520963742e-05,202,303,4,29,0,56.8693835002086,61.8495360244685,63.3192193248114,-2.39759028369172,-2.0143524103132,-2.20597134700246,60.09430141251,48.1293329905685
3803473813.52747,77.3998510837555,1.28999751806259,0.0214999586343765,-95.4959740761244,0.000144749570115956,122,230,4,32,0,77.3736945074836,66.408489755596,66.408489755596,-14.3843042571441,0,-7.19215212857206,71.8910921315398,57.5773447885397
3803473814.42406,78.2964413166046,1.30494068861008,0.0217490114768346,-95.606397344414,-0.00010374758686543,222,327,4,34,0,26.1514810705901,28.9501852966237,17.0257898426633,-0.860051294518668,-1.07212668528955,-0.966088989904108,21.5886354566267,17.2902687988928
3803473814.50025,78.3726327419281,1.3062105456988,0.0217701757616467,-95.6537260630095,0.000248842961852785,93,192,4,35,0,21.0451158469093,22.5324529912688,21.0782145675743,-0.0969441493723718,-0.52293305057899,-0.309938599975681,21.0616652072418,16.868220018682
3803473815.08620,78.9585855007172,1.31597642501195,0.0219329404168659,-95.6608417623679,0.000189148506375383,121,227,4,36,0,55.8006577043801,62.9490126364159,55.8533001863398,-2.48970568453658,-2.26764852950019,-2.37867710701838,55.82697894536,44.7116481324025
3803473815.30729,79.1796765327454,1.31966127554576,0.0219943545924293,-95.7164207977496,3.59753087604196e-05,97,194,4,37,0,36.8439032715807,39.7601701638622,36.8209157383566,-1.15262559280482,-1.03242747776103,-1.09252653528293,36.8324095049687,29.4989584742986
3803473815.43180,79.3041903972626,1.32173650662104,0.0220289417770174,-95.7295282487797,-7.29846680567122e-05,185,281,4,38,0,24.9874547527313,26.5633960674621,22.2928076682181,-0.967866876604121,-0.604661959416615,-0.786264418010368,23.6401312104747,18.9333051591613
3803473815.92725,79.7996382713318,1.32999397118886,0.0221665661864811,-95.7374754060631,0.000180328534805579,108,202,4,39,0,18.0068060137021,19.7108624818409,17.8947551292897,-0.523425011985953,-0.706751443500235,-0.615088227743094,17.9507805714959,14.3767225054438
3803473816.41963,80.2920196056366,1.33820032676061,0.0223033387793435,-95.8150804593698,-0.000302546393131182,96,190,4,42,0,28.0374606858321,29.4841370803515,27.7851863903997,-1.103610116754,-0.837237734436553,-0.970423925595276,27.9113235381159,22.3540893761654
3803473816.47880,80.3511874675751,1.33918645779292,0.0223197742965486,-95.8356693352989,0.000144681065206988,95,188,4,43,0,26.0403035520228,27.3940434355968,25.5994601578612,-0.951133040732894,-0.926557407509518,-0.938845224121206,25.819881854942,20.679060449398
3803473816.58716,80.459543466568,1.34099239110947,0.0223498731851578,-95.8916861699522,-0.000299423699104796,98,190,4,45,0,29.2991019658837,31.8966396005545,29.3889975776549,-0.990876521560847,-0.862092294122371,-0.926484407841609,29.3440497717693,23.5015552150723
3803473816.65115,80.5235397815704,1.34205899635951,0.0223676499393251,-95.9080500413544,0.000369034171525706,99,197,4,46,0,37.5329307523322,41.0255667249419,37.4078819283741,-1.59264810204169,-1.63114299922836,-1.61189555063503,37.4704063403531,30.0099280906415
3803473816.81737,80.6897523403168,1.34482920567195,0.0224138200945324,-98.1068553352859,0.0188387117215704,106,204,4,49,0,64.1255182380544,72.0140771564261,65.8852208356773,0.188920562691329,-0.946169565330351,-0.378624501319511,65.0053695368658,52.06259167801
3803473816.90167,80.7740519046783,1.34623419841131,0.0224372366401884,-97.8308901631282,-0.0095617757243351,118,212,4,50,0,62.6573043814337,89.4748986973369,65.473329639801,-8.69028984559987,-14.8721585182184,-11.7812241819091,64.0653170106173,51.3097066289957
3803473817.06849,80.9408774375916,1.34901462395986,0.0224835770659977,-95.9348821194519,0.000151514042258616,92,184,4,51,0,19.2251084688952,19.9824943261331,18.9314892085596,-0.207912712721515,-0.417083798077271,-0.312498255399393,19.0782988387274,15.2797482643094
3803473817.07951,80.9518959522247,1.34919826587041,0.0224866377645069,-95.8844515701409,-0.000314052011987566,113,213,4,52,0,54.2616396788928,60.4615556182164,54.0535228809051,-2.18487140072121,-2.00226722051788,-2.09356931061954,54.1575812798989,43.3746329039015
3803473817.13443,81.0068171024323,1.35011361837387,0.0225018936395645,-95.923353182872,-2.34350292041661e-05,113,209,4,53,0,35.1570514501681,39.8024291917848,35.2249997571676,-1.24924862943959,-1.45019524798669,-1.34972193871314,35.1910256036678,28.184379379539
3803473817.27155,81.1439371109009,1.35239895184835,0.0225399825308058,-95.960454394376,0.000181791408865439,111,212,4,54,0,48.0077511872576,53.0881477214787,48.1459022561417,-1.83236409381378,-1.56003741903167,-1.69620075642273,48.0768267216996,38.5045761083903
3803473817.34212,81.2145006656647,1.35357501109441,0.0225595835182402,-95.9285403663086,-9.71784426946867e-05,110,208,4,55,0,49.3983502546351,54.6025375304938,49.423161022302,-1.78535246440702,-2.07673967114619,-1.9310460677766,49.4107556384685,39.5729154935214
3803473817.50224,81.3746294975281,1.3562438249588,0.0226040637493134,-95.9982238883074,-0.000146174140753468,117,220,4,56,0,49.8742933069371,54.8638402026591,49.7667372338213,-1.98008633782147,-2.20821514100614,-2.09415073941381,49.8205152703792,39.9010906666537
3803473818.55791,82.4302961826324,1.37383826971054,0.0228973044951757,-95.9474777836524,-6.6438445341179e-05,100,195,4,57,0,36.5999045821325,39.5606206876564,36.5845035098155,-1.00267744383676,-1.17296893841137,-1.08782319112407,36.592204045974,29.306578693681
3803473818.58334,82.4557237625122,1.37426206270854,0.0229043677118089,-95.9964751793249,3.85008696614388e-05,249,359,4,58,0,34.296417560684,39.1529069974755,51.2463280058783,-0.914835719717443,-1.34085743392121,-1.12784657681933,42.7713727832812,34.2554550891533
3803473818.61533,82.4877121448517,1.37479520241419,0.0229132533735699,-95.9935177594892,-1.21854011411333e-05,113,211,4,59,0,33.9956018688731,37.0577957568292,34.0783038812232,-1.24224950742087,-1.44434661807332,-1.3432980627471,34.0369528750482,27.2600862378351
3803473819.39025,83.2626399993896,1.38771066665649,0.0231285111109416,-96.0377153699336,-0.000137509208610225,117,218,4,60,0,40.3233490588378,45.0973797813485,40.4155813395409,-1.2194226099403,-1.22100671849965,-1.22021466421997,40.3694651991893,32.3317750194942
3803473819.43490,83.3072867393494,1.38845477898916,0.0231409129831526,-95.9876022036135,0.000163363032310827,94,183,4,61,0,14.524337481787,15.4739171318133,14.3025268024894,-0.517077687607878,-0.58672009297058,-0.551898890289229,14.4134321421382,11.5436715096171
3803473819.71051,83.5828912258148,1.39304818709691,0.0232174697849486,-96.0145883019669,1.43154752281041e-05,97,189,4,62,0,20.0360752039849,21.5953300297735,20.3737806717876,-0.454635401835829,-0.641172472899949,-0.547903937367889,20.2049279378863,16.1820618913215
3803473819.93561,83.8079917430878,1.3967998623848,0.0232799977064133,-96.0441427390857,0.000185419481354111,94,186,4,63,0,23.8927590679696,26.0727777042893,23.7577712500809,-0.751483661952144,-1.1400263418057,-0.94575500187892,23.8252651590253,19.0815783439427
3803473820.00575,83.8781402111053,1.39796900351842,0.0232994833919737,-96.0957067550272,-0.000164427715203393,105,203,4,64,0,38.9488300074492,42.8429332007421,38.9837199817051,-1.38805460726262,-1.33560361767415,-1.36182911246839,38.9662749945771,31.2079644913827
