real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3804074591.50173,28.6210775375366,0.477017958958944,0.00795029931598239,-27.5176519840733,-3.78358506675e-05,87,179,4,2,0,12.6153245922176,13.4727955464277,12.8962554435093,-0.50896288592155,-0.513192495754682,-0.511077690838116,12.7557900178635,10.0272198412729
3804074591.83212,28.9514696598053,0.482524494330088,0.00804207490550147,-27.5198801818655,-1.4902120960634e-05,328,456,4,3,0,31.6195647603124,31.6961304672419,24.2025001432007,-2.08041618879182,-1.57767140788456,-1.82904379833819,27.9110324517565,21.9406291573262
3804074592.88961,30.008957862854,0.500149297714233,0.00833582162857056,-27.467171575575,5.51215911044973e-05,92,183,4,4,0,29.1783554340598,31.1423060687427,29.1516949795518,-1.4003367308383,-1.48995894635996,-1.44514783859913,29.1650252068058,22.9263823734448
3804074592.99979,30.1191365718842,0.501985609531403,0.00836642682552338,-27.4217906048575,-0.000146511301776944,128,224,4,5,0,10.6900517493365,10.8396643291163,10.2909711638021,-0.342414553360618,-0.447224510326637,-0.394819531843628,10.4905114565693,8.24650331144535
3804074593.08654,30.2058854103088,0.503431423505147,0.00839052372508579,-34.7932445607094,0.0498669955599156,261,227,4,7,0,26.1374768627181,30.3431151602258,30.3990637459106,6.39214496413309,4.81069488273786,5.60141992343547,28.2682703043143,22.2214508452189
3804074593.24577,30.3651180267334,0.506085300445557,0.00843475500742594,-27.3701936847027,-5.35601699251633e-05,87,178,4,8,0,17.6352615984547,19.3043948613642,17.3714826699153,-0.867750661402554,-1.07652720820441,-0.972138934803481,17.503372134185,13.7592544332649
3804074593.28716,30.406507730484,0.5067751288414,0.00844625214735667,-27.3858859331664,-4.98736305608267e-05,128,225,4,9,0,12.6692709939833,13.240661099005,12.4169214000961,-0.216289614654095,-0.625610086696482,-0.420949850675289,12.5430961970397,9.86002300773354
3804074593.45537,30.5747148990631,0.509578581651052,0.00849297636085086,-27.3629460619734,9.87511938143511e-05,118,217,4,10,0,15.5228842746766,15.8084124060052,15.2909437867322,-0.63756389962707,-0.71556842818058,-0.676566163903825,15.4069140307044,12.1112462532792
3804074593.53435,30.6536948680878,0.51089491446813,0.00851491524113549,-27.2590093539836,-0.000581415551879322,107,205,4,12,0,27.4956947895386,29.2219196998552,27.3626499391564,-1.56875161873886,-1.73008988955404,-1.64942075414645,27.4291723643475,21.5618429729802
3804074593.70127,30.8206171989441,0.513676953315735,0.00856128255526225,-27.3321043881942,8.54705243408344e-05,117,217,4,13,0,31.2893867390924,35.956243907985,31.3796533263882,-2.02036571497984,-2.02168749628141,-2.02102660563062,31.3345200327403,24.6318041100589
3804074593.85515,30.9744973182678,0.51624162197113,0.00860402703285217,-27.3103263649094,3.54935680523965e-05,113,224,4,14,0,52.3746009541667,39.251293034869,59.4842096095197,-13.0113404428555,-9.43255652338079,-11.2219484831181,55.9294052818432,43.9656376882431
3804074594.59800,31.717344045639,0.528622400760651,0.00881037334601084,-27.2615024225376,-3.23412226689657e-05,114,213,4,16,0,32.2093700108198,34.5886978027554,32.420300408544,-1.94904125554134,-1.61279118625448,-1.78091622089791,32.3148352096819,25.4024216711165
3804074594.79407,31.9134151935577,0.531890253225962,0.00886483755376604,-27.2612139194063,-1.79510749629531e-05,226,334,4,17,0,19.2252331628832,19.7439021746108,16.3916392546206,-1.07941603885123,-1.24949552773344,-1.16445578329234,17.8084362087519,13.9990627506699
3804074595.04557,32.1649169921875,0.536081949869792,0.00893469916449653,-27.2222652415564,-0.000253553390005139,101,198,4,18,0,38.2503693154443,40.9794801938817,37.8590472024624,-2.06995489796908,-1.60264741439212,-1.8363011561806,38.0547082589533,29.9144878657968
3804074595.23028,32.3496260643005,0.539160434405009,0.00898600724008348,-27.2008089626292,-8.01399819100531e-05,106,198,4,19,0,7.90024521306248,8.68755585748612,7.70648764260509,-0.312796618052092,-0.113967881073517,-0.213382249562804,7.80336642783378,6.13416108013071
3804074595.28782,32.4071612358093,0.540119353930155,0.00900198923216926,-27.220266116403,2.52204770273523e-05,102,199,4,20,0,28.5468251362905,31.1426467710884,28.3979664309847,-1.66563869135569,-1.38764925630476,-1.52664397383023,28.4723957836376,22.3819121771719
3804074595.61480,32.7341477870941,0.545569129784902,0.00909281882974837,-27.1710543486937,0.000189029869141319,115,220,4,21,0,15.9378368806228,16.0028684617071,15.7052898983667,-0.749367120093536,-0.272726978657644,-0.51104704937559,15.8215633894948,12.4371986460209
3804074596.22306,33.3424010276794,0.555706683794657,0.00926177806324429,-27.0983271618602,-0.000149196639964744,112,215,4,24,0,22.0526794815094,23.1719170134706,22.0367253166831,-1.29676027264597,-0.846036107731444,-1.07139819018871,22.0447023990963,17.3291561699915
3804074596.43957,33.5589203834534,0.559315339724223,0.00932192232873705,-27.0999625726284,-5.5078409493264e-06,417,579,4,25,0,10.1786362331872,8.91659033448143,9.06607856791661,-0.259332461081681,-0.279479139515186,-0.269405800298434,9.62235740055189,7.56405466940997
3804074596.58446,33.7038066387177,0.561730110645294,0.0093621685107549,-27.0985835007353,5.28676261263662e-05,103,198,4,26,0,33.1999392501907,35.7838502588111,33.681112213267,-1.84258051523013,-1.96433811341572,-1.90345931432293,33.4405257317289,26.2873175750155
3804074597.00450,34.1238479614258,0.568730799357096,0.00947884665595161,-27.0691897060529,-0.000351090369165245,96,192,4,27,0,50.0905576302054,54.5365500407736,49.912581702501,-2.91864567130684,-2.51575203920882,-2.71719885525783,50.0015696663532,39.3058156924118
3804074598.39001,35.509352684021,0.591822544733683,0.00986370907889472,-26.8847908828851,1.09572855857377e-05,118,219,4,29,0,22.5799660929379,23.5612678209328,22.5276345624029,-0.897510740691625,-0.850447317530417,-0.873979029111021,22.5538003276704,17.7293537934551
3804074598.80995,35.9292922019958,0.598821536699931,0.00998035894499885,-26.8735287941408,0.000103551006296813,105,198,4,30,0,8.82717069435674,9.96192990548526,8.85225020941351,-0.285712893192771,-0.364467186887555,-0.325090040040163,8.83971045188513,6.94882244926579
3804074598.91405,36.0333960056305,0.600556600093842,0.0100092766682307,-26.8839129614187,-0.000208661630313809,98,194,4,31,0,12.1548848967021,12.9360122726541,12.0879798868565,-0.851465346378344,-0.526822379970413,-0.689143863174378,12.1214323917793,9.52855661729182
3804074599.53036,36.6497094631195,0.610828491051992,0.0101804748508665,-26.8048297151274,1.12947091265931e-05,88,178,4,32,0,13.9856111227248,15.5374712880411,13.9639203831882,-0.884458245765536,-0.99211094206393,-0.938284593914733,13.9747657529565,10.9854464708927
3804074599.81635,36.9356994628906,0.615594991048177,0.0102599165174696,-26.7957366426134,9.79827295899455e-06,110,203,4,33,0,17.6811036299338,19.3433021634571,17.7037067070747,-0.581204491980351,-0.798925642014847,-0.690065066997599,17.6924051685043,13.9078517204362
3804074600.22024,37.3395864963531,0.622326441605886,0.0103721073600981,-26.765227718538,4.96221670363761e-07,100,196,4,35,0,22.3361082600611,25.1879732224887,22.1621112431844,-0.806724202230112,-0.690465446278227,-0.748594824254169,22.2491097516228,17.489839080112
3804074600.33161,37.4509601593018,0.624182669321696,0.0104030444886949,-26.7467136555001,-7.19711796422881e-05,108,212,4,36,0,41.7567350149878,43.5321735346154,43.0918651048051,-3.80431215814976,-2.88856972030048,-3.34644093922512,42.4243000598964,33.3493874324502
3804074600.56386,37.6832015514374,0.628053359190623,0.0104675559865104,-26.7969909687816,-0.00017702411663392,95,186,4,37,0,20.6256935768464,22.919081056107,21.030845165796,-1.11139160607972,-0.905388188319992,-1.00838989719986,20.8282693713212,16.3729283413267
3804074600.59232,37.7116703987122,0.628527839978536,0.0104754639996423,-26.7439665658465,0.000149366384074169,99,197,4,39,0,26.5645076443292,28.2407153190147,26.6656661371529,-1.38720456825458,-1.53686712270955,-1.46203584548206,26.6150868907411,20.9218971913385
3804074600.69599,37.8153359889984,0.63025559981664,0.010504259996944,-26.7542906008765,-5.73993771414651e-05,107,208,4,40,0,29.5235526722815,31.8446676039702,29.7048124981145,-1.62764170295715,-1.73692569713539,-1.68228370004627,29.614182585198,23.2794612317641
3804074600.86362,37.9829609394073,0.633049348990122,0.0105508224831687,-26.7788323824876,0.00016836745093235,176,276,4,41,0,23.776092768641,24.9681515369365,17.0441715598797,-1.38039315549517,-2.78987034628245,-2.08513175088881,20.4101321642604,16.0442341802326
3804074601.21030,38.3296473026276,0.638827455043793,0.0106471242507299,-26.776804720076,-0.000101984769658543,116,216,4,42,0,26.8770845962603,28.2801061896329,26.3950693004708,-1.03761617681678,-1.37136234981114,-1.20448926331396,26.6360769483656,20.9383973000724
3804074601.31112,38.4304704666138,0.64050784111023,0.0106751306851705,-26.757648110775,1.97192058029178e-05,92,185,4,43,0,14.1931188956882,15.9256530212749,14.1722929185527,-0.391425951718497,-0.661948066153709,-0.526687008936103,14.1827059071204,11.1489064868314
3804074601.86513,38.984477519989,0.649741291999817,0.0108290215333303,-26.7836153012159,3.47791705454033e-06,104,204,4,44,0,20.7263293566208,21.7809434553713,20.6931990698439,-0.958033439834109,-1.15273336031049,-1.0553834000723,20.7097642132324,16.279772427752
3804074601.96307,39.0824148654938,0.651373581091563,0.010856226351526,-26.7950558142606,-0.000218739690960793,108,207,4,45,0,18.0124641061121,19.2554858813551,17.738850484412,-1.03329010813083,-0.557590664774842,-0.795440386452838,17.875657295262,14.0519046845261
3804074602.18399,39.3033356666565,0.655055594444275,0.0109175932407379,-26.7808566755023,-0.000158553600239594,109,205,4,46,0,14.2105760204855,14.8251976935744,14.1812212368701,-0.879838023110894,-0.432882970441916,-0.656360496776405,14.1958986286778,11.1592771749012
3804074602.27147,39.3908205032349,0.656513675053914,0.0109418945842319,-26.8290991986003,-0.000135523137714052,92,185,4,47,0,31.2692224133757,33.9675502984809,31.4392633362273,-1.96744452674477,-1.31801857123628,-1.64273154899053,31.3542428748015,24.6473080712377
3804074602.31600,39.4353497028351,0.657255828380585,0.0109542638063431,-26.8136200768711,-1.43122268333953e-05,96,190,4,48,0,16.5887462517653,17.9316316276984,16.7383613958008,-0.724983144579316,-0.636105091174914,-0.680544117877115,16.6635538237831,13.0990802838524
3804074602.36440,39.4837429523468,0.658062382539113,0.0109677063756519,-26.7771248994845,9.41801603066977e-07,110,202,4,49,0,17.4045079262536,18.7641795018221,17.397589383738,-1.00256507142089,-0.588969155857616,-0.795767113639253,17.4010486549958,13.6788188021266
3804074602.56591,39.6852579116821,0.661420965194702,0.011023682753245,-26.7898725520754,-6.79355889331234e-05,87,170,4,50,0,12.2158199649762,13.335393461864,12.3634109279998,-0.649187369737483,-0.614939613842284,-0.632063491789883,12.289615446488,9.66076390988436
3804074602.85064,39.9699883460999,0.666166472434998,0.0111027745405833,-26.7655215519903,2.97735854667553e-05,115,216,4,51,0,44.3923422064298,50.6444638301698,44.2557555947515,-2.23229326084664,-2.41505280582247,-2.32367303333456,44.3240489005906,34.8427641062718
3804074602.99404,40.1133894920349,0.668556491533915,0.0111426081922319,-26.7814682604917,0.000123579514426959,100,200,4,53,0,54.3017135267821,58.6845576206001,54.129623502063,-2.92800804573767,-3.04815875540192,-2.98808340056979,54.2156685144225,42.6184835493826
3804074603.05901,40.1783587932587,0.669639313220978,0.0111606552203496,-26.8147502603349,-0.000131087172361113,91,188,4,54,0,15.1661623126805,16.379320652181,15.4727309757633,-0.802656217269026,-1.03360592020885,-0.918131068738936,15.3194466442219,12.0424888723586
3804074603.20634,40.3256886005402,0.672094810009003,0.0112015801668167,-26.7822522669864,0.000120448977447829,104,200,4,55,0,28.0023658710107,30.7856555654723,28.3956406001608,-1.52060336219775,-1.41221190955224,-1.46640763587499,28.1990032355857,22.1670005818538
3804074603.24226,40.3616073131561,0.672693455219269,0.0112115575869878,-26.8541141706935,0.00052319276596039,116,217,4,57,0,24.8334923495067,25.9115953570341,24.5519563788929,-1.1005596990041,-1.2092766041836,-1.15491815159385,24.6927243641998,19.4107440882176
3804074603.34950,40.4688477516174,0.674480795860291,0.0112413465976715,-26.8654811004509,-0.000138609930070138,92,184,4,58,0,16.2939148139007,16.7603687941746,16.0656645945962,-0.537561903787309,-0.792688854442173,-0.665125379114741,16.1797897042485,12.7187973557782
3804074603.83048,40.9498274326324,0.682497123877207,0.0113749520646201,-26.7559187474759,5.50455724054689e-05,123,223,4,59,0,11.3066933851827,12.0009329062153,11.1671997416972,-0.481788650660523,-0.312108062916519,-0.396948356788521,11.2369465634399,8.83326970563607
3804074603.97062,41.0899620056152,0.684832700093587,0.0114138783348931,-26.7993721303672,-0.000170031204541976,111,206,4,60,0,11.520919188819,12.6670353104027,11.4739299800857,-0.505608612871568,-0.54162399423091,-0.523616303551239,11.4974245844523,9.03802929926794
3804074604.20763,41.32697224617,0.688782870769501,0.011479714512825,-26.7547797339518,0.000142112458771507,110,209,4,61,0,30.0223331129953,31.795309419795,30.0826649108328,-1.37350558152747,-1.61982020559506,-1.49666289356126,30.0524990119141,23.6240181086466
3804074604.36447,41.4838156700134,0.691396927833557,0.0115232821305593,-26.7543178353571,-7.17683347442816e-05,104,201,4,62,0,45.2034823057863,41.0035155672822,43.8662944028544,-2.97494459136264,-3.83729002832435,-3.40611730984349,44.5348883543203,35.0085032373488
3804074605.23993,42.3592796325684,0.705987993876139,0.0117664665646023,-26.8014394145084,-4.06690194183119e-05,90,184,4,63,0,15.4003392924316,16.3306853085519,15.4505658560578,-0.795695323797381,-0.492119057869296,-0.643907190833338,15.4254525742447,12.1258192472965
3804074605.47871,42.5980608463287,0.709967680772146,0.0118327946795358,-26.7728797109265,0.000149838965498576,103,199,4,64,0,17.1910932507008,17.6831352133777,17.1058275953283,-0.654161419467571,-0.64279165960249,-0.64847653953503,17.1484604230145,13.4802613056605
3804074605.54247,42.6618120670319,0.711030201117198,0.0118505033519533,-26.7376327476578,0.000191513192728643,92,184,4,65,0,17.5303618666235,18.3572259004577,17.665310844108,-0.658336710028102,-0.676653844152064,-0.667495277090083,17.5978363553657,13.8335119674189
3804074605.84362,42.9629628658295,0.716049381097158,0.0119341563516193,-26.7499604517487,1.85869106741654e-05,129,233,4,66,0,19.1483443728049,20.2746672949195,19.3225611748529,-0.697026531347603,-0.945212984314902,-0.821119757831253,19.2354527738289,15.1208285366484
3804074606.11262,43.231965303421,0.720532755057017,0.0120088792509503,-26.7353666451061,0.000172399471100143,90,182,4,67,0,24.9736669747826,27.0849028108544,24.8401964231298,-1.3742115254832,-1.48266704402446,-1.42843928475383,24.9069316989562,19.5791306824
3804074606.25711,43.3764593601227,0.722940989335378,0.012049016488923,-26.71871791815,0.000184370070854938,125,220,4,68,0,14.2459873168605,15.3011776590179,14.4004965709081,-0.483989765437687,-0.425188615167234,-0.454589190302461,14.3232419438843,11.2593806898622
3804074606.31467,43.4340152740479,0.723900254567464,0.0120650042427911,-26.7042426877262,-0.000231161777415939,102,198,4,69,0,28.0656297983015,30.0584634397587,27.7823622121121,-1.53822451005094,-1.29688421252774,-1.41755436128934,27.9239960052068,21.9508196982639
3804074606.41690,43.5362455844879,0.725604093074799,0.0120934015512466,-26.7467619854033,0.000125117349831393,93,193,4,70,0,13.1107742439657,14.2834029110139,12.9261714364583,-0.282807955416939,-0.530436699511837,-0.406622327464388,13.018472840212,10.2337126107937
3804074606.50821,43.6275539398193,0.727125898996989,0.0121187649832831,-26.730494359493,6.41450609664189e-05,118,215,4,71,0,13.7383357675707,15.8340362340298,14.0637715996176,-0.497163380072594,-0.480330018738444,-0.488746699405519,13.9010536835942,10.9275020297083
3804074606.89104,44.01038646698,0.733506441116333,0.0122251073519389,-26.6877247339812,0.000190227900938362,85,171,4,72,0,10.7870018581883,11.5057602974485,10.5654432908977,-0.735685449626387,-0.229426271287649,-0.482555860457018,10.676222574543,8.39248926796258
3804074607.06553,44.1848728656769,0.736414547761281,0.0122735757960214,-26.7027730755117,-6.16603301706169e-05,115,214,4,73,0,25.9429168933132,27.6633842745154,25.9454826822997,-1.27528133862855,-0.876011846306611,-1.07564659246758,25.9441997878064,20.3945184511445
3804074607.31734,44.4366836547852,0.740611394246419,0.0123435232374403,-26.7045339543335,7.95266284816194e-05,94,188,4,74,0,20.5784533470745,22.255587944761,20.3709017586033,-0.845695896739611,-0.986364214644879,-0.916030055692245,20.4746775528389,16.0949727703247
3804074607.77753,44.8968737125397,0.748281228542328,0.0124713538090388,-26.8808858861823,0.00100380548836631,115,205,4,75,0,45.7596720467288,37.2515258280034,32.2795687269193,-17.5093203300005,-1.73046549904645,-9.61989291452348,39.019620386824,30.6729972188138
3804074607.81352,44.9328663349152,0.748881105581919,0.0124813517596987,-26.6115622999537,-0.000421570066363514,96,190,4,76,0,17.013303399525,18.9185189211371,17.1062970386353,-0.971884494568575,-0.939486562364264,-0.955685528466419,17.0598002190801,13.4105662609178
