real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3804257281.76753,39.5691437721252,0.659485729535421,0.0109914288255903,-518.784614007236,0.0482054259227755,145,221,4,1,0,216.654044996963,213.018284231211,198.210748328325,-28.1140956738245,9.49422123463458,-9.30993721959495,207.432396662644,166.722712905429
3804257281.81803,39.6196482181549,0.660327470302582,0.0110054578383764,-509.080199693395,0.000194825954359436,234,341,4,2,0,65.1799180513839,65.6018914120623,96.5277009427374,-2.86934149432471,-2.47930508254453,-2.67432328843462,80.8538094970606,64.9858300100153
3804257281.99235,39.7939608097076,0.663232680161794,0.0110538780026966,-509.041501590712,8.32102143710024e-05,123,229,4,3,0,110.280851391012,118.634596757577,109.524197356681,-6.25132207420688,-5.74341599882387,-5.99736903651537,109.902524373847,88.3335839221033
3804257282.19779,39.9994089603424,0.666656816005707,0.0111109469334284,-509.248111254194,0.00117069365399268,123,228,4,4,0,115.072990747872,124.627210804034,115.286935910861,-6.65144074293776,-8.31553172127042,-7.48348623210409,115.179963329367,92.5752981095359
3804257282.26751,40.0691230297089,0.667818717161814,0.0111303119526969,-509.076033977242,-0.0002572811718952,131,236,4,5,0,137.001674390054,150.41328191666,136.861293562743,-8.37559164850581,-6.77921547884682,-7.57740356367632,136.931483976398,110.05797000861
3804257282.43679,40.2384076118469,0.670640126864115,0.0111773354477353,-509.06732575917,0.000130239577578092,124,228,4,6,0,124.848594801987,133.897674657688,124.46942405187,-7.16120757737782,-6.65279188845847,-6.90699973291815,124.659009426928,100.194032244452
3804257282.60347,40.4050786495209,0.673417977492015,0.0112236329582002,-509.062193544691,9.32830238924604e-05,120,226,4,7,0,127.488435144878,136.123186169964,127.807371141515,-6.27370337235838,-6.82453841775259,-6.54912089505548,127.647903143196,102.596340066082
3804257282.74476,40.5463738441467,0.675772897402446,0.0112628816233741,-509.606066280361,0.00334956906182577,134,242,4,8,0,94.9178958841031,100.921912982238,95.8129639672693,-4.94970573623044,-5.31237340089313,-5.13103956856178,95.3654299256862,76.6494696605232
3804257282.77021,40.5718231201172,0.676197052001953,0.0112699508666992,-509.083526081854,0.000102760421863582,116,219,4,9,0,81.9897528753849,84.6375626718033,81.8058837316319,-2.02446360964151,-1.7220775114137,-1.87327056052761,81.8978183035084,65.8249466731237
3804257282.97162,40.7732362747192,0.679553937911987,0.0113258989651998,-509.065279877839,2.26722607506628e-05,111,212,4,10,0,111.795436752955,121.937901011523,112.850648373316,-2.88249849547047,-2.6636604352494,-2.77307946535993,112.323042563136,90.2790628619794
3804257283.32136,41.1229763031006,0.68538293838501,0.0114230489730835,-509.849637135372,0.0013771394824354,112,216,4,12,0,79.3595161819084,82.8125753667764,79.4386487528323,-2.57871724700984,-2.33188419329721,-2.45530072015353,79.3990824673703,63.8166007052926
3804257283.70505,41.5066657066345,0.691777761777242,0.011529629362954,-509.066263243611,4.18999349035547e-05,122,226,4,13,0,96.9552812147399,99.0374657103376,96.4793037001781,-2.75614697134841,-2.33897215828189,-2.54755956481515,96.717292457459,77.7360221585832
3804257284.08387,41.885479927063,0.698091332117716,0.0116348555352953,-509.273086194067,-0.00121189357150455,122,225,4,14,0,75.6241400200794,84.1724766694354,73.9268723746225,-2.08227364185653,-2.25650144213653,-2.16938754199653,74.7755061973509,60.1004252598704
3804257284.12582,41.9274299144745,0.698790498574575,0.0116465083095762,-509.049901169666,-4.08323087837049e-05,107,204,4,15,0,112.576335945626,123.050399084784,110.129367964341,-2.89623690117684,-3.49809894354992,-3.19716792236338,111.352851954984,89.4992771928703
3804257284.22569,42.0273070335388,0.700455117225647,0.0116742519537608,-509.0713818441,5.19672757297813e-05,109,212,4,16,0,161.632246729496,175.095423912206,159.838463138989,-4.59482391122783,-6.97908157604981,-5.78695274363882,160.735354934242,129.190207824851
3804257284.79649,42.5981051921844,0.709968419869741,0.011832806997829,-510.218296302587,0.00403072305225134,158,249,4,20,0,151.267480927158,229.790513275185,114.176803110222,-18.6143626724197,-11.6012466103363,-15.107804641378,132.72214201869,106.674733243154
