fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl
3805806080.98663,39.5789151191711,0.659648585319519,0.0109941430886587,-316.389392333246,-6.370559122384e-07,147,369,7,2,0,20.5244039512793,22.3262363844902,20.4442595603067,-1.57713040176297,-1.59885017727866,-1.58799028952081,20.484331755793,16.4641754004073,1,-316.389392333246,3805806083.74398,42.3362610340118,0.705604350566864,0.0117600725094477,666.817337262247,1.72061418433402e-05,189,288,11,3,0,-22.2586749396028,-25.005241232,-22.1307704485284,-1.42556786670787,-1.65279140126659,-1.53917963398723,-22.1947226940656,-17.8388932455732,1,666.817337262247,1.0030901282573,1.10052823687193,1.04985673469334,352.049820482945
3805806095.76243,54.35471534729,0.905911922454834,0.0150985320409139,-198.433414205587,8.91598673323751e-06,161,411,7,5,0,6.45590751141905,6.21495850149085,5.56489677571416,0.366120222403654,0.530148903130856,0.448134562767255,6.0104021435666,4.83082954808519,2,-198.433414205587,3805806099.68627,58.278555393219,0.97130925655365,0.0161884876092275,656.515910552346,2.73030170141502e-05,180,278,11,6,0,-21.0929908586031,-23.8518399382097,-21.1957454234599,-2.06030555525817,-2.3510820775527,-2.20569381640543,-21.1443681410315,-16.9946762215602,2,656.515910552346,1.00376687956767,1.10046913428014,1.02517083301378,225.698002952871
3805806113.5799,72.1721861362457,1.20286976893743,0.0200478294822905,-249.37347013541,5.964057261892e-07,163,404,7,8,0,20.4458747229157,21.6913552921694,20.6155542679013,-1.96487224390223,-1.74401441413404,-1.85444332901813,20.5307144954085,16.5014552867948,3,-249.37347013541,3805806116.31836,74.9106402397156,1.24851067066193,0.0208085111776988,663.033164057629,3.42636908386613e-05,176,270,11,9,0,-22.0199921743868,-24.4062045933142,-21.8199931330309,-1.65531609641785,-1.73511893300592,-1.69521751471189,-21.9199926537089,-17.6180804006087,3,663.033164057629,1.00347462011505,1.10050652585554,1.05040279840677,351.632129937288
3805806131.55738,90.1496598720551,1.50249433120092,0.025041572186682,-342.59869151506,1.14100008844618e-05,163,383,7,11,0,20.7895464863883,21.9980329915366,21.1536404468731,-1.98157130819676,-1.87552987789236,-1.92855059304456,20.9715934666307,16.8558094731598,4,-342.59869151506,3805806135.13246,93.7247455120087,1.56207909186681,0.0260346515311135,533.498592188865,1.94947225319242e-05,177,267,11,12,0,-22.3232955428687,-25.3564302800764,-22.6172551797691,-1.76034599451922,-1.67665346954351,-1.71849973203136,-22.4702753613189,-18.060367272639,4,533.498592188865,1.00293975709471,1.09976334443615,1.04968141362305,360.616433500549
3805806148.37569,106.967975854874,1.78279959758123,0.0297133266263538,-284.182953148134,5.47912208985454e-05,150,386,7,14,0,17.4560341206672,20.3844146066821,17.9254810656193,1.43381301517087,1.32731018842577,1.38056160179832,17.6907575931432,14.2188546569125,5,-284.182953148134,3805806152.79005,111.382333278656,1.85637222131093,0.0309395370218489,120.43605090471,3.65228887285036e-05,190,280,11,15,0,-23.4127774402089,-26.5770707553232,-23.5055830541848,-1.95618084443501,-1.83029403265828,-1.89323743854664,-23.4591802471969,-18.8551944454029,5,120.43605090471,1.00327490693716,1.09739347204378,1.04373739139524,351.408343984507
3805806189.84192,148.434205055237,2.47390341758728,0.0412317236264547,-527.17016880159,2.7870184505562e-05,162,394,7,18,0,20.1080615193882,21.2298367060467,19.7758893287153,-1.67522858704936,-1.69448105542739,-1.68485482123837,19.9419754240517,16.0282593118688,6,-527.17016880159,3805806192.39725,150.98953127861,2.51649218797684,0.0419415364662806,633.501703249882,6.89309505220625e-06,171,263,11,18,0,-22.280225676994,-24.5643710843521,-21.9453832391252,-1.85676087063956,-1.91493308291946,-1.88584697677951,-22.1128044580596,-17.7730518882776,6,633.501703249882,1.0018808112821,1.10033709438529,1.04856784147204,343.312891110453
3805806385.65477,344.247057437897,5.73745095729828,0.095624182621638,-35.1460540467635,3.99907605565742e-06,168,420,7,29,0,21.0820118344168,22.2636853238958,21.2505782779278,-1.62104393272209,-1.6197412146921,-1.62039257370709,21.1662950561723,17.0122998658739,7,-35.1460540467635,3805806389.65522,348.247503042221,5.80412505070368,0.0967354175117281,609.829156582024,3.84913790585318e-06,285,533,11,26,0,-22.2721860542952,-24.7234095381729,-21.913073301572,-2.18753400488477,-2.2055085714184,-2.19652128815158,-22.0926296779336,-17.7568365133941,7,609.829156582024,1.00470371156812,1.10020127738617,1.05143001527713,364.084006554801
3805806417.98364,376.575925350189,6.27626542250315,0.104604423708386,-36.4189920124297,1.21050979603028e-05,162,409,7,34,0,20.4477629354039,21.8740274938372,20.2766508449488,-0.779731580967899,-0.693789692487303,-0.736760636727601,20.3622068901764,16.3660181731063,8,-36.4189920124297,3805806421.9558,380.548080921173,6.34246801535288,0.105707800255881,615.832510374044,1.28431278575386e-05,266,515,11,31,0,-22.8115604005348,-25.3490149791368,-22.4362488114225,-1.52284989611094,-1.60941327535742,-1.56613158573418,-22.6239046059786,-18.1838459811888,8,615.832510374044,1.00469640831439,1.10023572055395,1.04995268235865,361.629818599322
3805806434.64273,393.235011339188,6.55391685565313,0.109231947594219,-35.7847437534327,-4.44345370241956e-06,170,419,7,36,0,22.1796336138814,23.5059775384157,22.0452951956545,-1.99254421908489,-2.0585039393328,-2.02552407920885,22.112464404768,17.7727785722082,9,-35.7847437534327,3805806438.10945,396.701732635498,6.61169554392497,0.110194925732083,630.183786711098,2.6620344087258e-05,217,326,11,34,0,-22.6933572504485,-25.1676629097204,-22.3400948904538,-2.04833771342154,-2.3060128204841,-2.17717526695282,-22.5167260704511,-18.0977017891731,9,630.183786711098,1.00470004720025,1.10031805843306,1.05207598764027,375.143551919792
3805806450.65626,409.24854016304,6.82080900271734,0.113680150045289,-35.7330536280457,7.18003319325103e-06,163,408,7,40,0,20.7979731578573,23.4354468754035,20.6850608705775,-1.25570393627731,-1.30350734368697,-1.27960563998214,20.7415170142174,16.6708867178951,10,-35.7330536280457,3805806454.06292,412.655205011368,6.87758675018946,0.114626445836491,612.398676033914,2.12088997654146e-05,214,329,11,37,0,-21.900100992981,-24.1874539843778,-21.4943601021447,-1.76114172852428,-2.1896012489547,-1.97537148873949,-21.6972305475628,-17.4390365132182,10,612.398676033914,1.00470034376309,1.10021601954408,1.05138268309113,357.113352883822
3805806542.6777,501.269989013672,8.35449981689453,0.139241663614909,-1146.50805637268,-2.9584715872551e-05,142,245,7,7,1,18.3285026594973,20.6815452575206,18.2999093981011,-2.0549624233423,-1.8484722804989,-1.9517173519206,18.3142060287992,14.7199481033632,11,-1146.50805637268,3805806545.00281,503.595091342926,8.3932515223821,0.139887525373035,591.82405082763,1.54083350058161e-05,159,247,11,6,1,-21.942671975555,-24.3068333432384,-22.003631981135,-2.09672441977609,-2.14147520279546,-2.11909981128577,-21.973151978345,-17.6608069320577,11,591.82405082763,0.998327471013729,1.10009797631482,1.04459126427137,318.17425824526
3805806566.4929,525.08518075943,8.75141967932383,0.145856994655397,-1118.35514282379,1.91628202026818e-05,153,381,7,10,1,18.3610255628693,19.6934954191675,18.8764209581996,-1.73978016200287,-1.87144374880674,-1.8056119554048,18.6187232605344,14.9647022488977,12,-1118.35514282379,3805806568.86256,527.4548432827,8.79091405471166,0.146515234245194,584.006329734756,2.44665086127876e-05,158,247,11,9,1,-22.3799538989562,-25.2254956999296,-22.6266073256567,-1.77013406539154,-2.11037447898533,-1.94025427218843,-22.5032806123064,-18.0868950719284,12,584.006329734756,0.998488993315839,1.10005312353943,1.04447397108291,325.425888530383
3805806800.14987,758.742156744003,12.6457026124001,0.210761710206668,-39.6210477728478,-2.24123451204625e-06,147,365,7,23,1,21.1219560190499,23.6221667608648,21.3713760551458,-2.06452514324399,-2.1128878138691,-2.08870647855655,21.2466660370978,17.0768976249239,13,-39.6210477728478,3805806803.78085,762.373136997223,12.7062189499537,0.211770315832562,658.874100101356,3.55427359895462e-06,255,482,11,17,1,-21.984079022108,-24.4738108236345,-21.9353306560607,-2.09089311794958,-2.15461400397992,-2.12275356096475,-21.9597048390843,-17.6499988636247,13,658.874100101356,1.00467803709264,1.10048266397056,1.05178981414786,362.476193689455
3805806815.36303,773.955318927765,12.8992553154627,0.214987588591046,-39.7555788330794,1.07072140117254e-05,159,392,7,26,1,20.675478633684,21.9049498265045,20.6251378025297,-1.04198116798828,-1.28502623119725,-1.16350369959277,20.6503082181069,16.5975781211039,14,-39.7555788330794,3805806819.05976,777.652040481567,12.9608673413595,0.216014455689324,658.568874914294,7.37674029474294e-07,253,542,11,20,1,-22.1492038566526,-24.4654322297774,-21.646113891466,-1.84901476837749,-2.0706581778795,-1.95983647312849,-21.8976588740593,-17.6001297410563,14,658.568874914294,1.00467726524476,1.10048091279569,1.05117478288315,356.95621968863
3805806831.1445,789.736781835556,13.1622796972593,0.219371328287654,-40.8591731289401,3.73446911472267e-06,150,367,7,29,1,22.244357071571,23.8834792987854,22.4122544317876,-1.80997979860302,-1.42008579053459,-1.61503279456881,22.3283057516793,17.9462599352604,15,-40.8591731289401,3805806835.09523,793.687510967255,13.2281251827876,0.22046875304646,649.778495298435,3.80693452561074e-06,262,589,11,23,1,-20.5997339258929,-22.5548460124974,-20.0029162706784,-2.59726535961394,-2.75545451694899,-2.67635993828146,-20.3013250982857,-16.3170847486563,15,649.778495298435,1.00467093357003,1.10043047956612,1.05482732430135,357.806047715773
