real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3806061349.69146,80.8296284675598,1.34716047445933,0.0224526745743222,-273.677183024075,0.00012215174375243,92,186,5,1,0,46.5960715307683,50.2675931680715,46.4043798789497,0.0216862912253965,-0.0374002749372921,-0.0078569918559478,46.500225704859,37.3743152225025
3806061349.74308,80.8812546730042,1.34802091121674,0.0224670151869456,-273.668947535646,-9.70907330791219e-05,88,181,5,2,0,31.8152721577079,33.5001331020536,31.8068892469294,-0.148712770628442,0.00250538068510615,-0.0731036949716679,31.8110807023186,25.5679911164966
3806061350.13295,81.2711200714111,1.35451866785685,0.0225753111309475,-273.687558341194,0.000158389427106771,95,189,5,3,0,57.4035557175435,61.8773472507495,57.6407565927065,0.307054989314208,0.151157142786056,0.229106066050132,57.522156155125,46.2331346532584
3806061350.22583,81.3640007972717,1.35606667995453,0.0226011113325755,-273.715393889407,-3.8964299501459e-05,89,181,5,4,0,32.6481339755691,34.5496655542942,32.3057363586731,-0.0170247311908413,-0.0155982434363545,-0.0163114873135979,32.4769351671211,26.1031681889218
3806061350.73413,81.8723044395447,1.36453840732574,0.0227423067887624,-273.67354780075,-5.24773188996934e-05,91,186,5,5,0,39.1859368857674,42.1007935357549,39.3361054407161,-0.160438263571844,-0.216963928243114,-0.188701095907479,39.2610211632418,31.5558421205472
3806061350.77322,81.9113874435425,1.36518979072571,0.0227531631787618,-273.665702388298,5.23955269716411e-05,90,181,5,6,0,38.7679663500643,40.9391612444287,38.8546732061593,0.00788413841520034,0.0702913869813666,0.0390877626982835,38.8113197781118,31.194396964764
3806061351.01110,82.1492717266083,1.3691545287768,0.0228192421462801,-273.678059720295,-4.58147325772556e-05,90,185,5,7,0,36.1025677451015,38.4206278229039,36.2047098565436,0.180337749493405,0.0965089949584039,0.138423372225904,36.1536388008226,29.0582996641508
3806061351.11556,82.2537286281586,1.37089547713598,0.0228482579522663,-273.670255475538,-2.3289053170613e-05,139,232,5,8,0,33.4987004183982,62.2391089782444,50.4902877750508,-1.1398639370067,-0.0591491245619685,-0.599506530784336,41.9944940967245,33.7528568128326
3806061351.51308,82.651246547699,1.37752077579498,0.022958679596583,-273.658259542154,0.000144626566169087,93,187,5,9,0,46.7325801604453,50.2237878158047,46.7564258958224,0.0493944064927035,0.0231819194083686,0.0362881629505361,46.7445030281339,37.5706518540649
3806061351.58901,82.7271780967712,1.37878630161285,0.0229797716935476,-273.657640950667,0.000167862393097026,90,181,5,10,0,38.2105079285658,40.197188073116,38.5244900593927,-0.0413987707247406,-0.191916662328506,-0.116657716526623,38.3674989939792,30.837678311531
3806061351.63948,82.7776529788971,1.37962754964828,0.0229937924941381,-273.669017225244,3.12439084273632e-05,91,184,5,11,0,42.7744356347543,45.724976838787,42.7156285256277,-0.0512979111937871,-0.0850055707528672,-0.0681517409733272,42.745032080191,34.3560978241468
3806061352.04214,83.1803126335144,1.38633854389191,0.0231056423981984,-273.660694132069,-9.87942137858769e-05,90,185,5,12,0,40.0382209771074,42.4294109533172,40.2901998861743,0.105865885276176,0.148453496189102,0.127159690732639,40.1642104316408,32.2817758103529
3806061352.07411,83.2122809886932,1.38687134981155,0.0231145224968592,-273.68794417265,0.000119137697666468,92,188,5,13,0,44.583308155261,47.8216501355043,44.3866847861037,-0.0260662130523678,-0.00269099173551021,-0.014378602393939,44.4849964706824,35.7545851781417
3806061352.29001,83.4281845092773,1.39046974182129,0.0231744956970215,-273.659757682407,7.37820972245858e-05,88,180,5,14,0,34.2289365840689,36.0394516603345,34.4213079585784,-0.246365237187988,-0.251796233867559,-0.249080735527773,34.3251222713237,27.5886389877316
