real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,total_volume_au,total_volume_fl,total_density_gcm3
3804781107,8130.15244,135.5025407,2.258375678,205.2953442,-1.61E-05,204,332,0,5,0,50.89546249,55.62559548,50.80380312,0.445691775,0.132731528,0.289211652,50.84963281,40.87012862,60.7318049,918.1595359,0.044513102
3804781144,8167.170643,136.1195107,2.268658512,203.4857272,-7.89E-05,205,334,0,12,0,50.88982502,55.63349355,50.89017962,0.273399367,0.394539194,0.33396928,50.89000232,40.90257541,59.83169193,904.2783089,0.045232286
3804781175,8197.601281,136.626688,2.277111467,200.6093229,2.62E-06,216,352,0,18,0,63.27341114,68.56537194,63.39265856,0.428949649,0.323831469,0.376390559,63.33303485,50.90359827,84.75085154,1280.899039,0.039740523
3804781178,8200.801119,136.6800186,2.278000311,203.9111826,-0.000121116,213,347,0,19,0,63.17918465,67.94493237,63.44545842,0.416279749,0.502460804,0.459370276,63.31232153,50.88695004,82.97097394,1254.377193,0.040567503
3804781183,8205.858864,136.7643144,2.27940524,200.0082697,0.002052971,218,351,0,20,0,63.57487474,69.23511537,63.86155263,0.037187053,-0.19563475,-0.079223848,63.71821369,51.21318376,80.06858508,1210.132663,0.042320305
3804781186,8209.051437,136.8175239,2.280292066,203.0909087,3.41E-06,213,346,0,21,0,63.24757709,68.99351311,63.4342624,0.42350982,0.410645707,0.417077764,63.34091974,50.90993571,89.55118834,1353.858619,0.037603584
3804781191,8214.150923,136.9025154,2.28170859,198.4340522,1.50E-06,216,349,0,22,0,63.28582004,68.71439945,63.30600266,0.432081459,0.474466672,0.453274066,63.29591135,50.87376045,87.18309073,1317.659175,0.038609195
3804781195,8217.626947,136.9604491,2.282674152,202.2314504,2.88E-05,216,351,0,23,0,63.21581595,69.01140273,63.24783143,0.395276159,0.436070478,0.415673319,63.23182369,50.82225032,74.73684577,1129.891459,0.044979763
3804781199,8222.294049,137.0382342,2.283970569,197.4912166,-8.89E-05,216,350,0,24,0,63.22927765,68.81924581,63.08952243,0.344179893,0.492113896,0.418146895,63.15940004,50.76404019,89.65634469,1355.039197,0.037463153
3804781212,8234.640397,137.2440066,2.28740011,200.5508379,-8.59E-05,214,349,0,27,0,63.29958073,68.99983362,63.33063155,0.325733984,0.316414563,0.321074273,63.31510614,50.88918816,79.51261414,1202.092792,0.042333827
3804781216,8239.164432,137.3194072,2.288656787,195.4272472,-9.86E-05,218,352,0,28,0,63.09234913,68.76567028,63.20374547,0.379067785,0.458487327,0.418777556,63.1480473,50.75491548,83.26159592,1258.390875,0.040333188
3804781220,8242.885375,137.3814229,2.289690382,199.7347447,-6.72E-05,214,350,0,29,0,63.21571055,68.7591225,63.30682329,0.434393875,0.464144984,0.449269429,63.26126692,50.84591516,76.77751123,1160.74278,0.043804636
3804781224,8247.21308,137.4535513,2.290892522,194.3938782,-2.41E-05,218,352,0,30,0,63.10734958,68.61072077,63.01082942,0.288738708,0.45959851,0.374168609,63.0590895,50.68341611,81.13628797,1226.269606,0.041331381
