fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl
3807108528.7057,206.88178896904,3.44802981615067,0.0574671636025111,-58.7346539719636,-7.80733030850965e-07,224,567,7,6,0,4.00933962391001,4.73909539911651,4.03533815837004,-0.171306577792226,-0.194741151557435,-0.18302386467483,4.02233889114003,3.23293402065121,1,-58.7346539719636,3807108534.62056,212.796654701233,3.54661091168722,0.0591101818614536,95.0429902660905,-4.45299476326342e-06,415,558,11,6,0,-4.44296631783057,-5.17465741866371,-4.35277225272315,0.122510470091435,-0.0344370157444766,0.0440367271734794,-4.39786928527686,-3.53476462713436,1,95.0429902660905,1.00399464409842,1.10069017650365,1.05018616246045,69.9897759435687
3807108543.07879,221.254878044128,3.68758130073547,0.0614596883455912,-58.6368889593874,-2.59044111486213e-06,197,484,7,9,0,29.311740108822,34.2457300371484,29.4061927602736,-3.23877708501205,-3.30132868490213,-3.27005288495709,29.3589664345478,23.5971169924236,2,-58.6368889593874,3807108546.29795,224.474035024643,3.74123391707738,0.0623538986179564,531.668196571649,-9.0125331276147e-06,294,435,11,9,0,-33.5691098191061,-37.6331682652238,-33.873095692151,-3.37208948088235,-3.16364297407577,-3.26786622747906,-33.7211027556286,-27.1031614349254,2,531.668196571649,1.00399520500768,1.10319523546885,1.05016526160409,511.091359464812
3807108556.18104,234.357129335403,3.90595215559006,0.0650992025931676,-58.625884472375,1.12896583392482e-06,199,443,7,14,0,98.5066304811943,115.05353489619,98.4566206462544,-21.286915699327,-21.0885617941484,-21.1877387467377,98.4816255637243,79.1540957414855,3,-58.625884472375,3807108561.35002,239.526112794876,3.9921018799146,0.06653503133191,122.303198699562,5.95073699426294e-05,275,409,11,12,0,-116.449803067267,-124.208123088511,-114.957684651846,-24.3368385562825,-25.1022714140622,-24.7195549851723,-115.703743859557,-92.9962839939269,3,122.303198699562,1.00399526814396,1.10084657706995,1.04852713494088,1777.47086378517
3807108623.35762,301.533712625504,5.02556187709173,0.0837593646181954,-58.3962861040313,-1.51496490657591e-06,219,538,7,30,0,4.1719545333819,4.75902781042564,4.10903387339187,-0.194971605145002,-0.175320608654858,-0.18514610689993,4.14049420338688,3.32790074002061,4,-58.3962861040313,3807108628.39093,306.567020177841,5.10945033629735,0.0851575056049559,275.786591886085,8.15862277993771e-07,417,995,11,22,0,-3.21344526312343,-4.27506978201119,-4.49014820863473,-0.941943288932803,-0.364959119372602,-0.653451204152702,-3.85179673587908,-3.09586164792977,4,275.786591886085,1.0039965854235,1.10172716056481,1.05462698450947,65.7293009752781
3807108649.57937,327.75546002388,5.462591000398,0.0910431833399667,-58.4673233785673,2.41498355408303e-06,140,359,7,38,0,3.77116745081185,3.92856016679576,3.78192463870711,-0.0625260932848265,-0.0322386760992603,-0.0473823846920434,3.77654604475948,3.03537929525333,5,-58.4673233785673,3807108653.75179,331.927879810333,5.53213133017222,0.0922021888362037,346.798316347475,2.42576436806241e-05,289,424,11,27,0,-34.8322586148903,-38.7670875403669,-34.7712070763054,-3.81107834076949,-3.88192479844408,-3.84650156960678,-34.8017328455978,-27.9717122647166,5,346.798316347475,1.00399617785985,1.1021345776228,1.01360324681482,315.95269165655
3807108662.70524,340.881329536438,5.68135549227397,0.0946892582045661,-58.40150942138,8.45925119927782e-07,201,463,7,43,0,101.141400582124,118.222462275987,101.043014447943,-21.9704496735896,-21.8186242445498,-21.8945369590697,101.092207515033,81.2523374442609,6,-58.40150942138,3807108667.58264,345.758733987808,5.76264556646347,0.0960440927743912,286.443002791212,7.71366553220371e-05,273,408,11,30,0,-116.050707944689,-123.027023716128,-114.36257032998,-25.652783191088,-26.6035322757776,-26.1281577334328,-115.206639137335,-92.5967386518279,6,286.443002791212,1.00399655545565,1.10178829981488,1.04970176131793,1777.74798103068
3807108675.64474,353.820834159851,5.89701390266418,0.0982835650444031,-58.40488191855,-2.21934101763054e-06,196,474,7,47,0,30.0847434375135,33.5669260329712,29.988749838118,-3.0938930979189,-3.3813783384432,-3.23763571818105,30.0367466378158,24.1418793152839,7,-58.40488191855,3807108678.86283,357.038920879364,5.95064868132273,0.0991774780220456,809.851768714761,-1.12532262430684e-05,272,393,11,33,0,-33.4097277912972,-37.0280717553536,-33.2870548180459,-3.09628410912914,-3.07310049537236,-3.08469230225075,-33.3483913046716,-26.8035965394017,7,809.851768714761,1.00399653610655,1.10479126391912,1.0517608196596,505.437902956778
3807108729.63645,407.812536001205,6.79687560002009,0.113281260000335,-58.1412521174802,-2.10573430762288e-06,205,500,7,61,0,30.4891631377639,35.7899356125331,30.4810782138851,-3.21846654744174,-3.48212362028386,-3.3502950838628,30.4851206758245,24.502257622703,8,-58.1412521174802,3807108733.68002,411.856108188629,6.86426846981049,0.114404474496841,329.721369906301,9.23384896036328e-08,284,672,11,45,0,-34.7645490846766,-38.4362366766088,-34.6826239447012,-4.04326760633552,-4.07849432405556,-4.06088096519554,-34.7235865146889,-27.9089025565786,8,329.721369906301,1.00399804863534,1.10203660169937,1.04983114746229,534.597447037541
3807108796.64471,474.82079577446,7.91367992957433,0.131894665492906,-54.7638545345556,2.52696808305352e-07,202,469,7,76,0,98.9593562736701,115.604337518979,98.6935931755833,-21.5045586216795,-21.6114232411824,-21.557990931431,98.8264747246267,79.4312664658942,9,-54.7638545345556,3807109062.37513,740.551220417023,12.3425203402837,0.205708672338062,373.507613314436,3.32569635674653e-06,288,418,11,58,0,-34.4184234037776,-38.3814820913708,-34.601094597861,-3.39761890398788,-3.27929809511368,-3.33845849955078,-34.5097590008193,-27.7370398013883,9,373.507613314436,1.00401742584942,1.10228781743318,1.07685371422118,1090.5452246615
3807109071.39042,749.566510915756,12.4927751819293,0.208212919698821,-56.6189716368708,-4.08195829535046e-07,201,458,7,83,0,102.159049585479,119.908637059227,102.018773572192,-22.6744818784301,-23.0011180184584,-22.8377999484442,102.088911578836,82.0534331658285,10,-56.6189716368708,3807109074.9855,753.161594390869,12.5526932398478,0.209211553997464,506.171472528969,5.38199292347991e-05,270,403,11,62,0,-116.095544433236,-122.801638700579,-114.184424563818,-26.1492286507268,-27.0785616249929,-26.6138951378598,-115.139984498527,-92.5431653316111,10,506.171472528969,1.00400678244711,1.10304895257857,1.05055264964853,1762.85109934179
