fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl
3807101196.54414,38.9955089092255,0.649925148487091,0.0108320858081182,-903.404901336545,2.85270757791614e-06,168,344,7,3,0,26.5714846525618,29.985021423624,26.5968621369089,-2.92356897997266,-2.88189424708814,-2.9027316135304,26.5841733947353,21.3668914789951,1,-903.404901336545,3807101199.86949,42.3208608627319,0.705347681045532,0.0117557946840922,902.155652827667,1.16467057750782e-05,224,337,11,3,0,-32.5485923988728,-36.4854475695025,-32.707107342468,-3.1384597293286,-3.10404747108957,-3.12125360020909,-32.6278498706704,-26.2244650991339,1,902.155652827667,0.999148499750262,1.10532084093181,1.04681624984629,448.246276275953
3807101211.04845,53.4998216629028,0.891663694381714,0.0148610615730286,-176.269838489279,-1.58432336142203e-06,164,400,7,7,0,29.6509895311536,33.1410735651227,29.8419519890167,-3.07185537039252,-3.18105170091767,-3.1264535356551,29.7464707600852,23.9085715841634,2,-176.269838489279,3807101214.57028,57.0216507911682,0.95036084651947,0.0158393474419912,843.266655471352,2.37599733307473e-06,226,445,11,6,0,-32.9269446817147,-36.712978648781,-32.801437652916,-3.53542670023723,-3.70317732380422,-3.61930201202072,-32.8641911673153,-26.4144231904552,2,843.266655471352,1.00332030701607,1.10498297585062,1.0516204768719,494.999741316222
3807101225.49263,67.9439935684204,1.13239989280701,0.0188733315467834,-169.962268578038,-1.41508359275591e-06,182,443,7,11,0,30.1867868525404,34.5401729764843,30.2711912626216,-3.15513767313765,-3.1991986007779,-3.17716813695777,30.228989057581,24.2963931630456,3,-169.962268578038,3807101229.04971,71.5010781288147,1.19168463548025,0.0198614105913374,858.048660900688,2.98175760308659e-05,233,350,11,9,0,-33.5001943639175,-37.1516269162966,-33.3864114033044,-3.57022441786008,-3.74697430066268,-3.65859935926138,-33.4433028836109,-26.879881228686,3,858.048660900688,1.00335649556938,1.10506778496079,1.05164483827401,503.152351110143
3807101240.12334,82.5747063159943,1.37624510526657,0.0229374184211095,-163.454773852752,-1.53731930394436e-06,203,480,7,16,0,30.2504858425328,33.6064852778205,30.1580185067699,-3.37389429401746,-3.40871275929141,-3.39130352665443,30.2042521746514,24.2765110216963,4,-163.454773852752,3807101243.59542,86.0467822551727,1.43411303758621,0.0239018839597702,797.792790932362,4.02269678655078e-06,232,436,11,12,0,-33.9363474250853,-37.0394615032172,-33.1496310853132,-3.42994549901115,-3.68779000956133,-3.55886775428624,-33.5429892551993,-26.960003632796,4,797.792790932362,1.00339383115552,1.10472207769265,1.05140444059014,505.648882769496
3807101257.72934,100.180711984634,1.66967853307724,0.0278279755512873,-914.531102270478,-6.43783913546822e-06,202,326,7,20,0,88.732529036775,103.736190615886,88.6440446869157,-20.9915344097883,-21.1379919389109,-21.0647631743496,88.6882868618454,71.2827505560252,5,-914.531102270478,3807101279.04698,121.498342990875,2.02497238318125,0.0337495397196876,807.658143818208,8.3759124273157e-05,216,331,11,19,0,-107.554279568474,-112.668431583745,-106.431044500348,-24.9890628810795,-25.55463392202,-25.2718484015497,-106.992662034411,-85.9947971596816,5,807.658143818208,0.999084665163996,1.10477867838894,1.04698826036499,1488.04594429567
3807101315.45674,157.908109426498,2.63180182377497,0.0438633637295829,-663.263438978288,3.51491612103011e-06,164,263,7,38,0,27.4493094782907,30.5676684788847,27.4533613125454,-2.80196868381331,-2.85836839503011,-2.83016853942171,27.4513353954181,22.0638684392405,6,-663.263438978288,3807101319.88528,162.336646556854,2.70561077594757,0.0450935129324595,618.088961491467,3.25700177279649e-06,224,523,11,27,0,-33.3786916923728,-36.8537868643272,-32.6002010800912,-3.42653092870326,-3.82007496273334,-3.6233029457183,-32.989446386232,-26.5150964229845,6,618.088961491467,1.00052626840519,1.10369105913825,1.04738223531909,470.887058627627
3807101350.76502,193.216387033463,3.22027311722438,0.0536712186204063,-944.983433123479,-2.3133780293596e-06,217,527,7,51,0,26.1965160071373,30.7406980451185,25.8996086566325,-2.87041743219603,-2.82951187590503,-2.84996465405053,26.0480623318849,20.9359949929347,7,-944.983433123479,3807101354.99459,197.445953369141,3.29076588948568,0.0548460981580946,564.010706254467,3.10793767645657e-05,240,358,11,33,0,-33.573842079208,-37.4559408065208,-33.3879465298418,-3.30388515127703,-3.54703203264008,-3.42545859195856,-33.4808943045249,-26.9100951382661,7,564.010706254467,0.998909950366699,1.10338079482884,1.04462321702171,457.985099838444
3807101377.7172,220.168569564819,3.66947615941366,0.0611579359902276,-144.064279900836,-1.10370460597576e-06,181,440,7,60,0,29.5619993491499,33.4026778594579,29.4949208376521,-3.04387360011792,-3.21839242214317,-3.13113301113055,29.528460093401,23.7333466415956,8,-144.064279900836,3807101384.96595,227.417319297791,3.79028865496318,0.0631714775827196,436.847846048787,8.19483546438016e-06,218,463,11,41,0,-34.8718190045185,-38.5432535512324,-34.0130868524743,-3.23460060200927,-3.53562199727962,-3.38511129964445,-34.4424529284964,-27.6829428948625,8,436.847846048787,1.00350508064367,1.10265122068058,1.04927014325099,518.590935737053
3807101439.16396,281.615330457687,4.69358884096146,0.0782264806826909,-803.754973602862,8.14727208278872e-06,201,468,7,81,0,27.0366652133056,30.317520837606,27.0496552443897,-3.09063303967063,-3.2587506169235,-3.17469182829706,27.0431602288477,21.735799766236,9,-803.754973602862,3807101442.77662,285.227991819382,4.75379986365636,0.079229997727606,777.214686558778,-5.44630922207249e-06,231,403,11,53,0,-33.5028969100784,-37.082707054254,-33.0736694370031,-3.09633644444377,-3.29648513652258,-3.19641079048318,-33.2882831735407,-26.7552849407747,9,777.214686558778,0.999720223373283,1.10460401450229,1.0467336712365,462.331540317462
3807101458.06163,300.512994527817,5.00854990879695,0.0834758318132824,-923.031904475404,-4.55882826875809e-06,187,454,7,91,0,26.7072849998703,30.7217944339412,26.3475318665833,-2.96034698170835,-2.89207336278909,-2.92621017224872,26.5274084332268,21.3212669356117,10,-923.031904475404,3807101462.19326,304.644628047943,5.07741046746572,0.0846235077910953,691.883867995987,1.10901051375289e-05,236,559,11,56,0,-33.5215651976404,-36.9696809771056,-33.0373591627426,-4.01978684597727,-4.18140628498348,-4.10059656548037,-33.2794621801915,-26.748195113123,10,691.883867995987,0.999035893332991,1.10411444420502,1.0456436092687,457.462171392874
3807101471.5936,314.044971466064,5.23408285776774,0.087234714296129,-141.18948586571,8.65012551072554e-07,196,490,7,95,0,3.73540306015908,4.23044693599266,3.7564896700131,-0.0573552565663275,-0.00546928156519338,-0.0314122690657604,3.74594636508609,3.01078496143054,11,-141.18948586571,3807101488.84525,331.296622276306,5.52161037127177,0.0920268395211962,795.455231578967,5.40656267898801e-05,223,342,11,62,0,-106.919406876921,-113.50355212577,-105.93969803572,-23.9347259257123,-24.5389251111712,-24.2368255184418,-106.429552456321,-85.542200757033,11,795.455231578967,1.00352157425986,1.10470866636429,1.00696191647675,875.141125975577
