real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3807274061.31477,4.84788298606873,0.0807980497678121,0.00134663416279687,-9.94380466406999,-0.00014496804401155,80,169,4,2,0,13.3980184226244,13.285756762674,12.9870652039812,-0.224286262211743,0.0823332916096057,-0.0709764853010686,13.1925418133028,10.6034370552507
3807274061.49965,5.03275990486145,0.0838793317476908,0.00139798886246151,-9.9227267529445,0.000156090982015644,84,170,4,3,0,9.62199246052104,9.81726556313436,9.37879129323533,-0.21041504434084,0.0420183858420652,-0.0841983292493874,9.50039187687819,7.63589069432506
3807274061.94811,5.48121476173401,0.0913535793622335,0.00152255965603722,-9.99495750831612,-5.6054805085595e-05,78,167,4,4,0,20.4903518218381,22.0425472240549,20.448876905143,-0.653011479238377,-0.855289960408906,-0.754150719823641,20.4696143634906,16.4523463726805
3807274062.22391,5.75701546669006,0.0959502577781677,0.00159917096296946,-10.0414824468265,0.000610298771828246,76,162,4,5,0,11.2924855942416,11.7373589959545,11.3356956303854,-0.472436549674232,-0.251439207508815,-0.361937878591524,11.3140906123135,9.0936416456227
3807274062.29289,5.82599544525146,0.0970999240875244,0.00161833206812541,-10.0453689494072,9.69801657109928e-05,73,156,4,6,0,8.55149195273446,8.54178600299283,8.09290322532631,-0.0890207458482047,-0.188964002265166,-0.138992374056685,8.32219758903038,6.68892314653584
3807274062.95192,6.48503041267395,0.108083840211233,0.00180139733685388,-10.134992562516,-8.48445872924124e-05,82,167,4,7,0,7.89269884387783,7.74610832559392,7.77063396958991,-0.318637138989205,-0.262100443014864,-0.290368791002035,7.83166640673387,6.29466125305644
3807274063.11396,6.64706873893738,0.11078447898229,0.00184640798303816,-10.1283632879876,9.36586294115039e-05,80,170,4,8,0,19.1582693840636,20.4046584516316,19.1459002829486,-0.653388932147783,-0.735542548500797,-0.69446574032429,19.1520848335061,15.3933888467292
3807274064.60501,8.13812255859375,0.135635375976562,0.00226058959960938,-10.258418367055,-0.000126238926931132,81,168,4,9,0,8.86287426642595,9.13382305464959,8.9785873755366,-0.123803663762604,-0.396132231989,-0.259967947875802,8.92073082098127,7.16999112723895
3807274064.93642,8.46953344345093,0.141158890724182,0.00235264817873637,-10.3087719534505,-0.000199466308088262,84,171,4,10,0,7.62538808265671,8.02263639219059,7.7047849851624,-0.179060515469448,-0.256457355247546,-0.217758935358497,7.66508653390955,6.16077354429184
3807274065.26294,8.79604744911194,0.146600790818532,0.00244334651364221,-10.3235100028826,1.58454683876973e-05,79,166,4,11,0,7.86463418436774,8.02153005140042,8.20017688654315,-0.0896111184805127,-0.261408146637375,-0.175509632558944,8.03240553545545,6.45600428657094
3807274065.28987,8.82297539710999,0.147049589951833,0.00245082649919722,-10.3433170679909,0.000332999534677835,76,168,4,12,0,13.3313476820758,13.6698960186592,13.2571452976704,-0.444439135439339,-0.739640640083936,-0.592039887761637,13.2942464898731,10.6851816615214
3807274065.48686,9.01996874809265,0.150332812468211,0.00250554687447018,-10.3628737993084,2.84505920920889e-05,85,176,4,13,0,10.1688162894574,9.93483738766457,9.98284398542699,0.0366612377571227,-0.294806911113992,-0.129072836678435,10.0758301374422,8.09839621156518
3807274065.83709,9.37020301818848,0.156170050303141,0.00260283417171902,-10.4010842064955,-1.43724213929719e-05,382,541,4,14,0,9.25372246748156,7.43552389608422,7.63819826769886,0.0407018151586089,-0.110670030166513,-0.0349841075039518,8.44596036759021,6.78839683786943
3807274066.05167,9.5847806930542,0.159746344884237,0.00266243908140394,-10.4350736818675,-7.90848828354785e-05,80,172,4,15,0,13.8932599170229,13.7188766290953,13.4251091727627,-0.409963127665986,-0.137532410536016,-0.273747769101001,13.6591845448928,10.9784987303796
3807274066.82096,10.3540647029877,0.172567745049795,0.00287612908416324,-10.4553065439278,-0.000287209602854532,73,158,4,16,0,9.28005830044101,9.86557176594444,9.28208285807484,-0.236695912607639,-0.136544185094885,-0.186620048851262,9.28107057925793,7.4596123389404
3807274066.91611,10.4492216110229,0.174153693517049,0.00290256155861749,-10.470377080778,-9.38541430260525e-05,199,303,4,17,0,13.2167034588207,14.6919393417741,16.4486477589956,-0.26547135821589,-0.265555989427685,-0.265513673821787,14.8326756089082,11.9216860864082
3807274067.15918,10.6922919750214,0.178204866250356,0.0029700811041726,-10.5088336175141,0.000216871352371896,73,165,4,18,0,12.4376813283725,13.1302231283207,12.3232451514068,-0.324572215135982,-0.169178325746587,-0.246875270441284,12.3804632398896,9.95073311396613
3807274067.63678,11.1698899269104,0.186164832115173,0.00310274720191956,-10.558228648583,-1.02933204846079e-05,83,174,4,19,0,11.4610535742589,11.9507027383932,11.3533268936757,-0.102597538075136,-0.150490215739217,-0.126543876907177,11.4071902339673,9.16846998363703
3807274068.10513,11.6382384300232,0.193970640500387,0.00323284400833978,-10.5402516746557,-6.97233124700685e-05,89,181,4,20,0,14.5573585736296,15.2981219171428,14.7451276034311,-0.276789303760619,-0.41440327792089,-0.345596290840755,14.6512430885303,11.7758606392103
3807274068.13224,11.6653482913971,0.194422471523285,0.00324037452538808,-10.5406121671879,0.000359094426293528,75,160,4,21,0,8.35153162558804,8.63731010831183,8.44074946179873,-0.22227576798998,-0.177047310951765,-0.199661539470872,8.39614054369339,6.74835441281826
3807274068.25030,11.7834050655365,0.196390084425608,0.00327316807376014,-10.5312453931883,0.000153648690062965,74,159,4,22,0,6.16098520383221,6.4483016863292,6.0902196340868,-0.179227012760078,-0.000878002660218891,-0.0900525077101483,6.12560241895951,4.92342117191043
3807274068.58113,12.1142387390137,0.201903978983561,0.00336506631639269,-10.5083541832038,-0.000343080589788084,81,172,4,23,0,9.28961297758496,9.66160548129423,9.17175213731159,-0.327488016826394,-0.227834220355772,-0.277661118591083,9.23068255744828,7.41911322776393
3807274068.65658,12.1896905899048,0.203161509831746,0.00338602516386244,-10.4873252647111,1.30279868713852e-05,87,173,4,24,0,13.6633182071842,14.7414623191454,13.272520251098,-0.304335300844756,-0.394220171699934,-0.349277736272345,13.4679192291411,10.8247702249007
3807274069.06907,12.602178812027,0.210036313533783,0.00350060522556305,-10.5255670942547,0.000127690025848866,76,162,4,25,0,7.56376647275094,7.95320233079599,7.28077564507322,-0.201970915787879,-0.00666521909463969,-0.10431806744126,7.42227105891208,5.96561186570005
3807274069.73838,13.2714893817902,0.221191489696503,0.00368652482827504,-10.5317045763391,-0.000162825209067762,83,175,4,26,0,9.20452072177811,9.83624414611972,9.49498313664875,-0.121816164558937,-0.284835980307831,-0.203326072433384,9.34975192921343,7.51481461773011
3807274069.80182,13.3349275588989,0.222248792648315,0.00370414654413859,-10.5077474492909,-0.000209496013431154,92,183,4,28,0,11.5008709262402,11.5069275030797,11.4757007947675,-0.260148580953484,-0.273965092554045,-0.267056836753765,11.4882858605039,9.23365017283827
3807274070.05541,13.5885183811188,0.22647530635198,0.00377458843919966,-10.5797760709668,-3.87246361163653e-05,82,170,4,29,0,7.17709026294264,7.10100510588891,7.11768207847987,-0.0755616422696871,-0.233128572939326,-0.154345107604507,7.14738617071125,5.74467456258399
3807274070.37249,13.905594587326,0.231759909788768,0.00386266516314613,-10.5164804543671,-0.000121710311655804,85,177,4,30,0,11.7909416275249,12.2177036921007,11.761413369388,-0.373231228594109,-0.129766053941178,-0.251498641267644,11.7761774984565,9.4650415836038
3807274070.43690,13.9700102806091,0.232833504676819,0.00388055841128031,-10.534043911028,6.08296764582523e-05,89,180,4,31,0,8.59256570377119,8.91158205690681,8.54499512929867,-0.201227326800339,-0.140778343419638,-0.171002835109989,8.56878041653493,6.88711281516465
3807274070.56304,14.0961489677429,0.234935816129049,0.00391559693548414,-10.5332422202529,-2.06887984541937e-05,79,174,4,32,0,24.0609913822124,22.372668105001,25.0933461724245,-1.65469824777392,-1.29239865882981,-1.47354845330186,24.5771687773184,19.7537719276954
