real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3807280958.0167,9.74370956420898,0.162395159403483,0.00270658599005805,-678.716614797113,-0.00181523120371047,149,266,4,3,0,91.5019322135978,94.385548190822,91.3330008311278,-1.91669128312401,-1.64758304820023,-1.78213716566212,91.4174665223628,73.4763145524332
3807280961.08076,12.8077630996704,0.21346271832784,0.00355771197213067,-678.881348108308,-1.22049131454233e-05,171,285,4,7,0,140.624018134188,155.95992582488,139.917185411303,-4.26388481973451,-5.66806393814921,-4.96597437894186,140.270601772746,112.741768618059
3807280963.82046,15.5474629402161,0.259124382336934,0.00431873970561557,-679.190027424542,-0.000334116681608619,183,301,4,8,0,154.468538659971,176.131062732597,154.244660232349,-2.80555526924172,-3.59652952313515,-3.20104239618844,154.35659944616,124.063316186689
3807280964.19859,15.9255969524384,0.265426615873973,0.00442377693123288,-679.671034677174,-0.00226867635517195,159,273,4,9,0,161.26418089966,174.13475791026,155.418295590228,-8.21435116227483,-12.0623680434653,-10.1383596028701,158.341238244944,127.265948953652
3807280964.37701,16.1040165424347,0.268400275707245,0.00447333792845408,-679.311540933022,-0.000175958815176789,148,260,4,10,0,120.675121239334,132.343950431857,120.695384650328,-3.27337226218398,-3.19581864234902,-3.2345954522665,120.685252944831,97.0001460830809
3807280965.65739,17.3843948841095,0.289739914735158,0.00482899857891931,-679.341157373581,0.00010312319260674,216,344,4,11,0,133.568213895127,152.218790759758,132.620889556136,-2.24276610892595,-1.79667705886744,-2.01972158389669,133.094551725631,106.97405561349
3807280966.20702,17.9340224266052,0.298900373776754,0.00498167289627923,-679.351515077487,-0.000110315675854536,144,252,4,14,0,128.780265484694,144.508788729592,130.719102338664,-2.21685075102272,-2.80648876642621,-2.51166975872447,129.749683911679,104.285635457215
3807280966.35405,18.0810542106628,0.301350903511047,0.00502251505851746,-679.413423392188,1.87799744313318e-05,192,313,4,15,0,151.699736380741,175.841972627702,150.580464339793,-2.55532928261506,-2.68235469471152,-2.61884198866329,151.140100360267,121.478071729768
3807280967.00436,18.7313647270203,0.312189412117004,0.00520315686861674,-679.416924097881,-0.0001165218420501,161,277,4,16,0,150.581795689917,166.923916080547,151.384612230901,-4.32192914242564,-5.62423989182285,-4.97308451712424,150.983203960409,121.351967062174
3807280967.23175,18.9587552547455,0.315979254245758,0.00526632090409597,-679.748789987159,0.00144625563047976,191,314,4,17,0,152.160721006023,173.483152715779,150.93306795109,-2.09221774107703,-5.00132034818176,-3.54676904462939,151.546894478557,121.805030392381
3807280967.42058,19.1475822925568,0.319126371542613,0.00531877285904354,-680.119166135269,0.00119904239292643,341,466,4,18,0,134.787679539781,139.797053449076,157.831053110513,-3.10177510567917,-3.46972533709182,-3.28575022138549,146.309366325147,117.595394305134
3807280968.1846,19.9116055965424,0.331860093275706,0.0055310015545951,-679.477117043715,1.95578520454137e-05,141,253,4,19,0,100.048739267034,107.247549554152,98.8480575850828,-2.03456509223971,-1.51876844598484,-1.77666676911227,99.4483984260585,79.9311344151207
3807280968.61443,20.3414397239685,0.339023995399475,0.00565039992332458,-679.708996639195,0.0010086386390239,164,278,4,20,0,173.491421666521,193.131307047077,172.63857817296,-3.89890846359723,-4.44143476575526,-4.17017161467624,173.064999919741,139.100096030434
3807280970.60374,22.330747127533,0.372179118792216,0.0062029853132036,-679.591371697006,2.67122160942148e-05,137,247,4,24,0,117.069123930408,127.747116959063,116.886162716339,-2.23935356862403,-1.50159500631081,-1.87047428746742,116.977643323374,94.0201740804968
3807280971.15356,22.8805620670319,0.381342701117198,0.00635571168528663,-679.728390697097,0.000522556715040204,146,255,4,25,0,152.656259847468,167.099274546573,152.463084099431,-2.96010529810271,-3.75019430643228,-3.35514980226749,152.559671973449,122.619045050817
3807280973.42654,25.1535432338715,0.419225720564524,0.00698709534274207,-680.108971232173,0.00164099114437949,153,263,4,30,0,144.702209335461,155.223206052166,140.81216027704,-3.6175577757734,-5.17041258150784,-4.39398517864062,142.75718480625,114.740346833807
3807280973.81455,25.5415561199188,0.425692601998647,0.00709487669997745,-679.847184086594,-7.37717989605602e-06,174,293,4,31,0,143.556338646839,163.653371665124,142.294159933654,-1.97946591366528,-2.58194531036297,-2.28070561201413,142.925249290247,114.875427791101
3807280974.77031,26.4973158836365,0.441621931393941,0.00736036552323235,-679.934046166431,4.49788322697629e-05,160,275,4,34,0,116.947616760529,129.879610937247,116.159664510354,-2.88848960293484,-1.94657189164635,-2.41753074729059,116.553640635441,93.6793841192921
3807280975.26678,26.9937844276428,0.44989640712738,0.00749827345212301,-679.952612622462,7.73869419453179e-05,152,263,4,36,0,116.693266934136,129.78527264523,115.852557098709,-3.33257210310573,-3.2672550107588,-3.29991355693226,116.272912016422,93.4537499478411
3807280981.01987,32.7468779087067,0.545781298478444,0.00909635497464074,-680.748142677361,-0.00247630195877944,138,252,4,40,0,72.9784175828995,70.9425389712951,70.9425389712951,-20.6020965057711,0,-10.3010482528855,71.9604782770973,57.837861169978
3807280981.24816,32.9751667976379,0.549586113293966,0.00915976855489943,-680.859676346044,-0.00263117066321024,182,303,4,41,0,206.931577471774,233.67414128131,205.594382212431,-3.01901822905776,-4.68833242551337,-3.85367532728557,206.262979842103,165.78280020146
3807280983.01681,34.7438147068024,0.579063578446706,0.00965105964077844,-680.403831176726,-8.86334644932599e-05,134,242,4,43,0,86.5176680301102,92.4840030476594,86.8004144883268,-1.36338963849055,-1.0463000619056,-1.20484485019807,86.6590412592185,69.6517549282228
3807280983.26032,34.9873313903809,0.583122189839681,0.00971870316399468,-680.417555683844,-1.30376907392724e-05,163,280,4,44,0,100.097109835051,112.548208038012,99.6370198327937,-5.07460895840699,-4.47412072275237,-4.77436484057968,99.8670648339226,80.2676353688988
3807280983.3911,35.1181046962738,0.585301744937897,0.00975502908229828,-680.911397040006,-0.00266634012887531,136,246,4,45,0,164.011381781445,178.760454081112,163.510476263876,-1.35740896526384,-2.0472827177305,-1.70234584149717,163.76092902266,131.621997305342
3807280984.12146,35.848468542099,0.59747447570165,0.00995790792836083,-680.436845584938,-2.86046241598618e-05,168,285,4,47,0,101.962318263805,118.219312126171,104.350956796755,-1.43511059828161,-2.00117319642983,-1.71814189735572,103.15663753028,82.9116123612117
