real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3807279165.48805,28.9152410030365,0.481920683383942,0.00803201138973236,-496.088458147184,5.23779050546796e-05,140,248,4,1,0,99.288826402187,112.228137684018,98.5465955377297,-1.70638024539415,-2.03815046484316,-1.87226535511865,98.9177109699583,79.5045971248545
3807279166.70596,30.1331539154053,0.502219231923421,0.00837032053205702,-496.339382519497,0.000126596714109005,100,196,4,2,0,55.5479811199727,60.6858641000381,55.6256712251895,-1.03394769165905,-1.1611868997188,-1.09756729568893,55.5868261725811,44.6776232179753
3807279166.81141,30.238602399826,0.503976706663767,0.00839961177772946,-496.376118410897,-0.000175585776056448,99,195,4,3,0,91.4308461120878,99.6365719794833,92.0428540423611,-1.97216937566608,-1.82098276393318,-1.89657606979963,91.7368500772244,73.7330174280718
3807279167.01302,30.440211057663,0.507336850961049,0.00845561418268416,-496.366681939872,-0.000110559715261974,116,220,4,4,0,88.5064904143543,97.7713030046419,86.6413620548506,-2.79273516877887,-2.13716458983131,-2.46494987930509,87.5739262346025,70.3870889818542
3807279167.87042,31.2976136207581,0.521626893679301,0.00869378156132168,-496.581531534094,3.82557286317639e-05,129,233,4,6,0,80.3027972519384,81.0127397205605,79.1771941512713,-1.72847764551713,-2.03743909293464,-1.88295836922588,79.7399957016048,64.0906079490569
3807279168.22569,31.6528782844543,0.527547971407572,0.00879246619012621,-496.989554296722,0.00209789742362495,106,207,4,7,0,84.6697047431711,90.8840001517982,85.2213714101375,-0.963491466886172,-1.7668816287135,-1.36518654779984,84.9455380766543,68.2745356328501
3807279168.39594,31.8231282234192,0.53038547039032,0.00883975783983866,-496.664881762258,9.82040318757074e-05,117,219,4,8,0,77.7539821334612,87.5978148762212,77.8161344265314,-1.74776557945477,-2.28616236138213,-2.01696397041845,77.7850582799963,62.5193371363256
3807279168.44193,31.8691165447235,0.531151942412059,0.00885253237353431,-497.313561332522,-0.00487166740182981,101,199,4,9,0,66.6355778108709,70.8221134381178,66.498861885285,-0.728596157701999,-1.08433508343689,-0.906465620569444,66.5672198480779,53.5030576814538
3807279168.56075,31.987939119339,0.53313231865565,0.00888553864426083,-496.703899772418,0.000165146946171558,137,246,4,10,0,64.9708614274009,73.1678544949995,65.2396539757259,-0.869173803558617,-1.11187951636106,-0.990526659959841,65.1052577015634,52.3280131891108
3807279169.07048,32.4976687431335,0.541627812385559,0.00902713020642599,-496.767271333849,6.17977654108162e-05,120,223,4,12,0,123.528664110201,138.605188686933,123.30632940575,-4.05792581690608,-3.91221340720368,-3.98506961205488,123.417496757975,99.1961728762697
3807279170.6663,34.0934906005859,0.568224843343099,0.00947041405571832,-497.049185271167,-8.39184962602739e-05,107,203,4,13,0,86.6779998838732,94.5857533968931,84.7829410130383,-2.5341025385445,-2.9490868411665,-2.7415946898555,85.7304704484558,68.9054209553914
3807279170.71662,34.1438090801239,0.569063484668732,0.00948439141114553,-497.084238404836,6.70395050890826e-05,100,197,4,14,0,75.1644635796626,80.1968380543834,75.6651847143768,-1.51619632724676,-0.982387107189176,-1.24929171721797,75.4148241470197,60.6142737458968
3807279170.82832,34.2555148601532,0.57092524766922,0.009515420794487,-497.107591743366,0.000103764612149345,109,210,4,15,0,66.3064274761143,67.9102913624185,66.9790053761971,-1.45455966537298,-2.36548688895937,-1.91002327716617,66.6427164261557,53.5637376644974
3807279171.36739,34.7945857048035,0.579909761746724,0.00966516269577874,-497.199529855355,3.07934315430281e-05,102,199,4,19,0,68.6472978449596,74.247794500079,69.0782977238218,-1.75360764090175,-1.94446875004767,-1.84903819547471,68.8627977843907,55.3481165410414
3807279171.57326,35.0004549026489,0.583340915044149,0.00972234858406915,-497.720125485237,-0.00309397233340482,103,202,4,20,0,96.5462172994447,102.564243635375,96.4046825651041,-2.11804199461293,-1.80606399593499,-1.96205299527396,96.4754499322744,77.541642483357
3807279171.60561,35.0328061580658,0.58388010263443,0.00973133504390717,-497.311724833899,0.000374081234051201,109,207,4,21,0,58.9080893054031,63.6305175123108,58.6675326738776,-0.902184453611241,-1.23210637205326,-1.06714541283225,58.7878109896404,47.2503981617906
3807279172.02183,35.4490172863007,0.590816954771678,0.00984694924619463,-497.363922946028,6.25871929446296e-05,121,222,4,22,0,93.5860437678031,103.167590296507,91.3090909780433,-1.62999628679243,-3.03745578819077,-2.3337260374916,92.4475673729232,74.304252768135
3807279172.80828,36.2354719638824,0.603924532731374,0.0100654088788562,-497.491222750721,6.02795522609001e-05,120,224,4,23,0,115.105478776688,129.134477672931,115.443618790523,-1.93486207969466,-2.30847494516974,-2.1216685124322,115.274548783606,92.6513206777838
