real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3807619210.44549,93.3895461559296,1.55649243593216,0.0259415405988693,-27.9634024585332,3.30362885871689e-05,102,198,5,1,0,93.2632870947971,98.8743899394571,93.0822240624443,0.755998798698387,0.480406506295227,0.618202652496807,93.1727555786208,74.8871190270519
3807619210.47125,93.4153091907501,1.55692181984584,0.0259486969974306,-28.0102334370723,-6.46281882596366e-05,96,192,5,2,0,70.0184303988698,74.6077659237126,69.8340980576254,0.142259501761276,0.238689971497792,0.190474736629534,69.9262642282476,56.2028721792944
3807619210.76971,93.7137641906738,1.56189606984456,0.0260316011640761,-28.2129551319232,-3.85834198370157e-06,108,206,5,3,0,107.047684079938,113.967854353707,107.162746017973,0.41028400393647,0.544779081063743,0.477531542500107,107.105215048956,86.0852610613307
3807619211.35533,94.2993886470795,1.57165647745132,0.0261942746241887,-28.6878663543543,-0.000141950074414282,105,202,5,4,0,94.9117083670701,99.9268735577173,95.0461200840403,0.24512558452363,0.14153753502709,0.19333155977536,94.9789142255552,76.3388096713259
3807619211.39626,94.3403141498566,1.57233856916428,0.0262056428194046,-28.7761907248718,-0.000232506852139978,87,170,5,5,0,4.9893306013553,4.59544327344424,4.96745818010815,-0.0723450019325465,0.0857141225188656,0.00668456029315959,4.97839439073172,4.001358669571
3807619212.55078,95.4948375225067,1.59158062537511,0.0265263437562519,-29.4930434304437,0.000205102180802161,116,217,5,6,0,161.206944666032,172.694570283809,161.177786599596,0.896598025372683,0.745193267579769,0.820895646476226,161.192365632814,129.557527803401
3807619213.63237,96.5764243602753,1.60960707267125,0.0268267845445209,-29.9601238726355,-2.57639494907634e-05,100,195,5,7,0,89.0779043080298,94.0292409825936,89.2548352295594,0.455210929446665,0.419111906576079,0.437161418011372,89.1663697687946,71.6670072127611
3807619213.66885,96.6129033565521,1.61021505594254,0.0268369175990423,-30.074949572855,-0.000212328843239299,101,198,5,8,0,93.7265391585931,100.603631867485,93.7918529451358,0.372281080801732,0.603741707602738,0.488011394202235,93.7591960518645,75.3584675156669
3807619214.33784,97.2818982601166,1.62136497100194,0.0270227495166991,-30.471408771532,0.00114161909550682,83,175,5,9,0,8.18335990253916,9.10333729381053,8.31620044620642,0.266850022473326,0.172805346850034,0.21982768466168,8.24978017437279,6.63071802512007
3807619214.45130,97.395352602005,1.62325587670008,0.0270542646116681,-30.4267835677811,-0.000118977114282863,102,199,5,10,0,102.775500071298,108.751695870496,102.730848154775,0.700057854383111,0.284278377447464,0.492168115915288,102.753174113036,82.5873307322895
