real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3807633881.57621,6.74420309066772,0.112403384844462,0.0018733897474077,-334.379767718791,-0.000188894796944512,93,187,5,1,0,142.645615219925,148.31010861022,142.677029306239,1.60199705457549,0.951021935997211,1.27650949528635,142.661322263082,114.663297811956
3807633881.94405,7.11204600334167,0.118534100055695,0.00197556833426158,-334.642581685896,-0.00026576106607199,79,169,5,2,0,75.285857257997,79.2531921653295,75.3618485673594,0.703306259921871,0.976004237459492,0.839655248690681,75.3238529126782,60.5411560881452
3807633882.85097,8.01895999908447,0.133649333318075,0.00222748888863458,-335.566214106342,-8.77347711453469e-05,87,180,5,5,0,64.3392996652001,67.7404180160579,64.1279036798081,0.35506361543061,0.583320827217625,0.469192221324118,64.2336016725041,51.6274241768675
3807633883.16271,8.33069705963135,0.138844950993856,0.00231408251656426,-335.800020755938,0.000474525823237606,78,166,5,6,0,52.1674707241374,54.558227041399,51.7759631438455,0.203019164334408,0.477312366098748,0.340165765216578,51.9717169339914,41.7719979183391
3807633883.53993,8.70792078971863,0.145132013161977,0.00241886688603295,-336.280615497375,-0.000263046009285999,96,190,5,9,0,139.762440771583,149.356297722651,139.834011149036,1.8843290801559,1.74753090840746,1.81592999428168,139.798225960309,112.362099008936
3807633883.81233,8.98032355308533,0.149672059218089,0.00249453432030148,-336.587490814057,0.000140030428416089,90,182,5,10,0,115.070745921167,123.03979157187,114.90144927877,1.39026601512986,1.5871971966761,1.48873160590298,114.986097599969,92.4194795350768
3807633884.31722,9.48521137237549,0.158086856206258,0.00263478093677097,-337.147877447348,-0.000435992987136342,92,185,5,11,0,118.541999853012,126.324852719454,118.5906915714,1.32660382900792,1.38166813401342,1.35413598151067,118.566345712206,95.2970853852254
3807633884.78759,9.95558333396912,0.165926388899485,0.00276543981499142,-337.597537290015,-0.00030521191207052,87,177,5,13,0,89.7332920978561,94.8811974234263,89.595296754804,1.14306274045071,1.13236123352287,1.13771198698679,89.6642944263301,72.0672115736152
3807633885.00642,10.1744103431702,0.169573505719503,0.00282622509532505,-337.869578120787,-4.63366749822682e-05,87,179,5,17,0,100.956297565239,106.82936981619,101.259424065797,1.79401317133068,1.42321527225321,1.60861422179194,101.107860815518,81.2649187033345
3807633885.12013,10.2881207466125,0.171468679110209,0.00285781131850349,-337.886640590492,-5.78977012631012e-05,85,176,5,18,0,96.7971195755107,102.941805211992,96.9145899566053,1.30705674579924,1.05323316976707,1.18014495778315,96.855854766058,77.8473908954234
3807633885.23608,10.4040756225586,0.173401260375977,0.00289002100626628,-338.037456250153,-0.000245966201538913,91,181,5,19,0,101.450952047583,107.317800823122,101.335420539861,1.7799902999379,1.62582032244576,1.70290531119183,101.393186293722,81.4942475765122
3807633885.40303,10.5710203647614,0.176183672746023,0.00293639454576704,-338.161231482614,6.58776849347169e-05,84,177,5,20,0,86.861750642035,90.8404833743842,86.8607002176855,0.356995776870578,0.388060013053899,0.372527894962239,86.8612254298603,69.8142594066855
3807633885.59505,10.763037443161,0.179383957386017,0.00298973262310028,-338.946749740432,-0.00440850422843143,95,189,5,22,0,120.8221601479,128.742507542757,120.485758928694,2.86102612091787,2.3319167726457,2.59647144678179,120.653959538297,96.9749941698921
3807633885.93888,11.1068692207336,0.185114487012227,0.00308524145020379,-338.650605855047,-0.000196870314135111,90,184,5,27,0,99.115915664619,104.812922678329,98.996667495759,1.23568176656012,1.42514855958889,1.3304151630745,99.056291580189,79.6159805715363
3807633886.04854,11.2165284156799,0.186942140261332,0.00311570233768887,-338.783954923991,-0.000424912196934875,93,186,5,28,0,141.420118257159,151.254491246564,141.442600775269,2.49354050686448,2.14555947336033,2.31954999011241,141.431359516214,113.674721633743
3807633886.17857,11.3465633392334,0.189109388987223,0.00315182314978705,-338.873315810885,-0.000209579429045454,94,188,5,29,0,130.928118044736,140.286602649621,131.032514541968,2.28895905358513,1.8588426925911,2.07390087308811,130.980316293352,105.27474985093
3807633886.53591,11.703902721405,0.19506504535675,0.00325108408927917,-339.185511532232,-4.2261047103583e-05,92,185,5,30,0,123.002977244421,131.776933512169,122.711461627215,2.3896862279754,2.52843798174966,2.45906210486253,122.857219435818,98.7458528846369
3807633886.88713,12.0551176071167,0.200918626785278,0.00334864377975464,-339.800799259183,0.00250389716285883,97,191,5,36,0,158.061887850104,169.260349042465,158.315847160997,2.82244254544593,2.36988981039367,2.5961661779198,158.188867505551,127.143481762183
3807633887.26347,12.4314649105072,0.207191081841787,0.00345318469736311,-339.746637463105,-4.17802150787883e-05,92,184,5,37,0,125.369402090817,133.506723189273,125.299119292173,1.79960376951584,1.22430898478587,1.51195637715086,125.334260691495,100.736761945948
3807633887.82904,12.9970343112946,0.216617238521576,0.00361028730869293,-340.8083724512,0.00572516359063083,85,176,5,41,0,84.7298640452287,89.8355063138245,85.1359380066489,1.24600629644832,1.29685736151219,1.27143182898025,84.9329010259388,68.2643786688835
3807633888.08398,13.2519690990448,0.220866151650747,0.00368110252751244,-340.259510155587,-0.00019500460128157,91,184,5,45,0,111.610310614799,119.406203835898,111.55783399807,1.54590558174256,1.36973196774317,1.45781877474287,111.584072306434,89.6851193510531
3807633888.1444,13.3123931884766,0.221873219807943,0.00369788699679905,-340.33086680239,-9.86323121157721e-06,85,176,5,46,0,98.5550037912105,104.289404856953,98.4944868402816,1.25313817328532,1.42080866914045,1.33697342121289,98.524745315746,79.1887530185191
3807633888.35937,13.5273594856262,0.225455991427104,0.00375759985711839,-340.480792771811,0.000174054077977931,88,180,5,48,0,109.521593380289,115.959318948476,109.766700408046,1.36998208622817,1.05260364070805,1.21129286346811,109.644146894167,88.1259143629656
3807633888.46831,13.6363019943237,0.227271699905396,0.00378786166508992,-340.643042653248,0.00112151032841239,99,194,5,49,0,163.862744784042,170.102113000637,163.896135206209,0.440640048944391,-0.907524060872436,-0.233442005964023,163.879439995125,131.717249884767
