real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3808141929.715,77.1280710697174,1.28546785116196,0.0214244641860326,-23.5470472205177,-0.000107018696399436,80,170,5,9,0,105.115872732882,110.363204309371,105.192401015411,-0.436959812978168,-0.310484747770319,-0.373722280374243,105.154136874146,84.5170920981971
3808141930.06282,77.4758834838867,1.29126472473145,0.0215210787455241,-23.4873385880908,-0.000400077466522609,90,182,5,10,0,182.822339214697,195.304475301688,183.245725624488,-0.922570886531882,-1.15045767223005,-1.03651427938097,183.034032419593,147.112654194725
3808141930.14642,77.5594913959503,1.29265818993251,0.0215443031655418,-23.8124834112632,-0.00194081344443106,93,190,5,12,0,354.133069868176,299.838757522285,352.685015966269,-22.3474228676449,-23.7478907786235,-23.0476568231342,353.409042917223,284.050685179599
3808141930.24806,77.6611297130585,1.29435216188431,0.0215725360314051,-23.939487488606,-0.000674984624349726,98,194,5,13,0,192.133397660148,204.943281831544,190.855428045346,-0.895693281894015,-0.788943900776921,-0.842318591335468,191.494412852747,153.912641085498
3808141930.44591,77.8589782714844,1.29764963785807,0.0216274939643012,-23.8551458542212,-0.000408562242067724,93,186,5,14,0,197.534291446395,211.484591380649,197.106497493592,-0.910996926251674,-1.1770807177165,-1.04403882198409,197.320394469993,158.595243592107
3808141930.62524,78.0383055210114,1.30063842535019,0.0216773070891698,-23.7506396708601,-0.000178983602008681,84,174,5,15,0,113.081130839809,119.479528658885,113.281279786357,0.0468470750868844,-0.124718118763375,-0.038935521838245,113.181205313083,90.9688067211237
3808141931.15746,78.5705318450928,1.30950886408488,0.021825147734748,-23.8158603185622,-0.00136223299123052,95,190,5,18,0,221.172894725884,235.658449028782,220.675869364891,-0.832138373449111,-1.30703020088435,-1.06958428716673,220.924382045387,177.56682617646
3808141931.44515,78.8582193851471,1.31430365641912,0.0219050609403186,-27.6747462334555,-0.0202643561136635,160,267,5,19,0,430.056529521042,455.778896399666,419.804728143849,-13.1108539843807,-14.9202808279888,-14.0155674061848,424.930628832446,341.535788890171
3808141931.50911,78.9221818447113,1.31536969741186,0.0219228282901976,-29.2027915388944,0.0110587192736402,89,180,5,20,0,179.563225065681,190.621120272772,179.174918666173,0.133948805238714,-0.210682262801586,-0.038366728781436,179.369071865927,144.166961159166
3808141931.75827,79.1713380813599,1.319522301356,0.0219920383559333,-26.8497277553926,-0.000429529866775969,88,180,5,21,0,166.845359459471,178.849573437118,166.757914199025,-0.528862618207694,-0.555170451691014,-0.542016534949354,166.801636829248,134.065950433318
3808141932.09054,79.5036060810089,1.32506010135015,0.0220843350225025,-26.6012860966555,-0.000250326041239497,84,175,5,23,0,242.62049122524,249.278857588446,242.480188279781,-1.57714766840196,-1.02644890919474,-1.30179828879835,242.550339752511,194.948577513854
3808141932.18061,79.5936789512634,1.32656131585439,0.0221093552642398,-26.5668311417787,-0.00019998068217166,81,170,5,24,0,126.648515107821,134.462508447578,126.463981288332,-0.00052990989367041,-0.10334177228449,-0.0519358410890804,126.556248198077,101.718928066148
3808141932.63069,80.0437557697296,1.33406259616216,0.0222343766027027,-26.430451566423,-9.52357392905312e-05,79,170,5,26,0,121.675904042237,128.310195512668,121.566748371745,-0.258072731248817,-0.0657350298511343,-0.161903880549976,121.621326206991,97.7525101123093
3808141932.77725,80.1903185844421,1.3365053097407,0.0222750884956784,-26.3960309099302,-0.000132560312279832,83,173,5,27,0,135.518774208197,143.006348977221,135.332111936949,-3.40152407723722e-05,-0.292303125691,-0.146168570465886,135.425443072573,108.847497443707
3808141933.21871,80.6317746639252,1.34386291106542,0.0223977151844237,-26.3618631729201,-0.000265196490417577,85,176,5,28,0,152.921364422608,163.242184818493,152.602218811661,0.0476980656717376,-0.135013112918902,-0.0436575236235823,152.761791617135,122.781497666073
3808141933.5941,81.007169008255,1.35011948347092,0.0225019913911819,-27.0314036062357,-0.00449082134634131,112,212,5,29,0,460.8774106342,477.379005309352,458.714179333829,-8.13584885233882,-7.1466178143378,-7.64123333333831,459.795794984014,369.558485345546
3808141933.63477,81.047842502594,1.35079737504323,0.0225132895840539,-27.2490173689786,0.0010408957437903,83,175,5,30,0,242.933960953347,247.512005759504,243.599034771986,-3.00108831234391,-3.34902820040273,-3.17505825637332,243.266497862667,195.524185880317
3808141933.88981,81.3028814792633,1.35504802465439,0.0225841337442398,-26.7438323614401,-0.000567056900593735,91,185,5,31,0,314.547759296514,329.993377930346,314.707515964,-3.89134169383479,-3.97845575364786,-3.93489872374132,314.627637630257,252.880331831933
3808141934.48499,81.8980557918549,1.36496759653091,0.0227494599421819,-26.5730186137716,-9.51162396351428e-06,93,186,5,32,0,168.552382417983,166.652707428896,166.652707428896,-28.4877476175307,0,-14.2438738087654,167.60254492344,134.709676159867
3808141934.73544,82.1485059261322,1.36914176543554,0.0228190294239256,-26.6053879226982,-0.000153138270459103,79,168,5,33,0,117.081161010358,122.290988376361,116.795347703345,-0.229554840484426,-0.43816589627887,-0.333860368381648,116.938254356851,93.9885154029574
