real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3808312836.89744,150.808696985245,2.51347828308741,0.0418913047181235,-191.598545707499,0.000204945878561092,90,181,4,2,0,10.7681219550039,11.2986546481032,10.8734425282779,-0.401735777849572,-0.476579043700103,-0.439157410774837,10.8207822416409,7.78346785552819
3808312837.64274,151.553995847702,2.52589993079503,0.0420983321799172,-191.614840779074,-3.68122826304224e-05,106,200,4,8,0,8.29261299174556,8.36070516080222,8.18065301529165,-0.262432078423392,-0.224268363017319,-0.243350220720356,8.2366330035186,5.92467039711428
3808312837.9656,151.876853704453,2.53128089507421,0.0421880149179035,-191.668070676699,-0.00027195724214267,102,196,4,10,0,16.6465804363019,17.6055517615106,16.7439786763084,-0.429035694934378,-0.540042472978022,-0.4845390839562,16.6952795563052,12.0090367649661
3808312838.08065,151.991906166077,2.53319843610128,0.0422199739350213,-191.677274043148,-0.000414105392819533,89,178,4,11,0,13.5603080725163,14.9002215831756,13.3282825504738,-0.245236793717071,-0.421552243454427,-0.333394518585749,13.444295311495,9.6705800061809
3808312838.13494,152.046196937561,2.53410328229268,0.0422350547048781,-191.643366900545,2.73719836657085e-05,95,182,4,12,0,13.3184883223745,15.1615653108912,13.1870127588022,-0.328728371566904,-0.549180433051058,-0.438954402308981,13.2527505405883,9.53280045069652
3808312838.25809,152.169350147247,2.53615583578746,0.0422692639297909,-191.643431206895,-1.93730429871146e-05,154,249,4,13,0,22.7899033272796,48.7641217499877,27.9028815749876,-2.66891396976553,-4.09879326500853,-3.38385361738703,25.3463924511336,18.2318455811642
3808312838.30376,152.215018749237,2.53691697915395,0.0422819496525658,-191.685003735868,-0.00040464620444379,103,190,4,14,0,11.1790927164095,12.9826025843641,11.1370756526432,-0.467797783432035,-0.391101394327285,-0.42944958887966,11.1580841845264,8.02609161150336
3808312838.38176,152.293014526367,2.53821690877279,0.0423036151462131,-191.642920955308,-8.54143900243924e-06,120,220,4,15,0,34.2109359837698,40.3189238652386,34.2062645900279,-1.60499102505458,-1.71408781592415,-1.65953942048937,34.2086002868988,24.6064965332223
3808312838.57353,152.48478937149,2.54141315619151,0.0423568859365251,-191.660191252898,6.55647278730463e-05,108,208,4,16,0,20.8689271646722,21.3090165417344,20.4936358360703,-1.03546229698188,-1.10458997472625,-1.07002613585406,20.6812815003712,14.8761971338644
3808312838.85271,152.763966083527,2.54606610139211,0.0424344350232018,-191.584660760055,0.000160494160095447,110,210,4,17,0,35.1005181183577,39.9934550063132,35.0633895178712,-1.7666096326156,-1.5406253210155,-1.65361747681555,35.0819538181145,25.2347061196392
3808312839.29413,153.205383300781,2.55342305501302,0.0425570509168837,-191.633700946233,1.96822822089637e-05,101,196,5,19,0,23.3384276117962,27.1359641482181,23.3312092666789,-1.07259319287899,-1.07606764152087,-1.07433041719993,23.3348184392375,16.7849056732196
3808312839.45805,153.369312524796,2.55615520874659,0.0426025868124432,-191.616765687245,3.70407144561138e-05,90,185,5,20,0,37.9118907830202,32.9880859395352,39.3707358866616,-7.21046948694679,-6.51314645557135,-6.86180797125907,38.6413133348409,27.794979468279
3808312839.61585,153.527109384537,2.55878515640895,0.0426464192734824,-191.586166972399,8.77537698067268e-06,87,177,5,21,0,35.3040012735242,39.4105840961951,35.1300599335301,-1.51011858910529,-1.39086373960108,-1.45049116435319,35.2170306035271,25.3318678399113
3808312839.72413,153.635390281677,2.56058983802795,0.0426764973004659,-191.593931509107,5.48055533562856e-05,77,169,5,22,0,20.5500998227754,21.6517478177285,20.5429910302617,-0.646108731454564,-0.738200923480446,-0.692154827467505,20.5465454265186,14.7792804899109
3808312839.82692,153.738182067871,2.56230303446452,0.0427050505744086,-191.563284946601,-3.20097426595558e-05,93,189,5,23,0,16.7469700282747,16.7431002060429,16.7568584044106,-0.561430138390885,-0.783741678736768,-0.672585908563826,16.7519142163426,12.0497744903973
3808312840.2941,154.205359697342,2.57008932828903,0.0428348221381505,-191.560048957693,-2.59605183785567e-05,80,171,5,25,0,14.8092587731849,16.9799797181923,14.9154372689681,-0.474673186179424,-0.699134108819555,-0.586903647499489,14.8623480210765,10.6905956978374
3808312840.41036,154.321620464325,2.57202700773875,0.0428671167956458,-191.711629360675,-0.00101325872235525,114,216,5,27,0,14.076767213101,16.1202228274955,14.4959788621202,-0.544988835862035,-0.813606873553433,-0.679297854707734,14.2863730376106,10.2762926771054
3808312840.51945,154.430704832077,2.57384508053462,0.0428974180089103,-191.550810661013,3.83768886891437e-05,81,167,5,28,0,13.1833318787399,14.8010988120169,13.1115000636083,-0.426916253295059,-0.5837406667313,-0.50532846001318,13.1474159711741,9.45703252405287
3808312840.58234,154.493601560593,2.57489335934321,0.0429148893223869,-191.561079026182,8.21113520138638e-06,99,194,5,29,0,32.8274191761278,37.1952167349573,32.6462259224623,-1.40148340078511,-1.3646257844979,-1.38305459264151,32.736822549295,23.5478360357364
3808312840.67168,154.582939386368,2.57638232310613,0.0429397053851022,-191.546236399338,-3.60696633360304e-05,84,173,5,30,0,14.1940539894086,15.6106881952598,14.2808665368331,-0.623299019394999,-0.625248736251057,-0.624273877823028,14.2374602631208,10.2411093604594
3808312840.72465,154.635906934738,2.57726511557897,0.0429544185929828,-191.57191726345,-7.2862028021992e-05,87,178,5,31,0,11.317467515072,12.7265224215594,11.4005993129283,-0.325982284015948,-0.461527610290017,-0.393754947152982,11.3590334140002,8.17063586285919
3808312840.79332,154.704582452774,2.57840970754623,0.0429734951257706,-191.672288379631,0.000726379894762306,94,184,5,32,0,37.2372821865907,42.0965551176159,36.9912033994271,-1.3942735751095,-1.11324787494819,-1.25376072502884,37.1142427930089,26.6965464520657
3808312840.83823,154.749487638474,2.57915812730789,0.0429859687884649,-191.549090507146,0.000156822193728201,105,197,5,33,0,24.279874611045,28.4595957494467,24.4494765648563,-1.19393486094825,-1.16249718987021,-1.17821602540923,24.3646755879507,17.525689457034
3808312840.90962,154.820877313614,2.5803479552269,0.0430057992537816,-191.525912949135,0.000200521201457799,104,200,5,34,0,25.2911078320404,29.2002722745195,25.3527136860011,-0.861527154171768,-1.33820588516005,-1.09986651966591,25.3219107590208,18.2142357208645
3808312840.99307,154.904330253601,2.58173883756002,0.0430289806260003,-191.524947364858,-2.62907815376082e-05,78,167,5,35,0,17.2366511386686,18.8141008455722,17.268795442559,-0.514008388755529,-0.578240420891592,-0.546124404823561,17.2527232906138,12.4100101225632
3808312841.05231,154.963569641113,2.58272616068522,0.0430454360114204,-191.534452238867,2.37134917976551e-07,101,198,5,36,0,19.9706972290523,20.7089303064504,20.0683541978057,-0.802928908389822,-0.702420112429449,-0.752674510409636,20.019525713429,14.4001913534271
3808312841.11361,155.024864912033,2.58374774853388,0.0430624624755647,-191.504534899574,6.79708497407915e-05,91,175,5,37,0,8.21322354206386,8.67901617068606,8.1265523714264,-0.0646522034395485,-0.377130988812581,-0.220891596126065,8.16988795674513,5.87666019651363
3808312841.16313,155.074383020401,2.58457305034002,0.0430762175056669,-191.526779874441,-0.000175984165703638,104,195,5,38,0,14.1274934810552,16.4079686729993,14.3495848095869,-0.714896412899049,-0.436898908784081,-0.575897660841565,14.238539145321,10.2418854083215
3808312841.26802,155.179282188416,2.58632136980693,0.0431053561634488,-191.674231125072,0.00123825979735323,102,199,5,39,0,17.0106573256213,19.173596953776,16.9299343359733,-0.310255739654626,-0.480230947901864,-0.395243343778245,16.9702958307973,12.2068579838443
3808312841.42319,155.334445714951,2.58890742858251,0.0431484571430418,-191.51877954454,1.45809043992561e-05,93,187,5,40,0,29.3982051032553,33.0916878811627,29.1801351453121,-0.990127198977328,-1.18492346820689,-1.08752533359211,29.2891701242837,21.0679144156669
3808312841.46092,155.372174024582,2.58953623374303,0.0431589372290505,-191.531134857465,-6.27108764894513e-05,88,180,5,41,0,14.323813474282,15.7896338983312,14.4256341469276,-0.505964784426142,-0.675536863834791,-0.590750824130466,14.3747238106048,10.3398440346926
3808312841.77764,155.688899755478,2.59481499592463,0.0432469165987439,-191.509523620347,9.44431893061862e-05,105,202,5,42,0,42.333540913932,44.4591134659237,42.1474803151227,-1.295179516026,-1.60378525767192,-1.44948238684896,42.2405106145273,30.3839084113585
3808312841.85195,155.763209342957,2.59605348904928,0.0432675581508213,-191.503787547502,-0.00020943774446264,99,194,5,43,0,26.901421345644,31.0331829650474,27.0279574991711,-1.02973246233371,-1.13447559977261,-1.08210403105316,26.9646894224076,19.3958984356924
3808312841.9957,155.906953811646,2.59844923019409,0.0433074871699015,-191.493239850336,-4.46483730220256e-06,107,204,5,44,0,18.5127695658272,21.364477212832,18.4697592651101,-0.633376121555056,-0.766794340743624,-0.70008523114934,18.4912644154687,13.3009018176164
3808312842.40801,156.319267988205,2.60532113313675,0.0434220188856125,-191.484034097015,-6.00461943803523e-05,119,216,5,46,0,15.7486418587004,17.8349867500279,15.8746324898383,-0.606886486860066,-0.529468818687963,-0.568177652774014,15.8116371742694,11.3734263328579
3808312842.99735,156.908604860306,2.61514341433843,0.0435857235723072,-191.495251605514,6.96190997821684e-06,93,181,5,48,0,12.5016232879066,14.2743264454929,12.5639580670086,-0.506835498799774,-0.287227799837224,-0.397031649318499,12.5327906774576,9.01492805230524
