real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3808316241.41228,2.68622231483459,0.0447703719139099,0.000746172865231832,-317.595759719809,-1.51845080846657e-05,79,168,5,1,0,35.4391717055946,40.1937423472433,35.5312858669985,-0.632638232071747,-0.254547634466376,-0.443592933269061,35.4852287862966,25.5247847555169
3808316241.48771,2.76165056228638,0.0460275093714396,0.00076712515619066,-317.605840733353,9.7573761483506e-05,75,160,5,3,0,25.6055811661044,28.6435089034536,25.0302120035298,-0.487027541299813,-0.431897543219961,-0.459462542259887,25.3178965848171,18.2113482959831
3808316241.57118,2.84512114524841,0.0474186857541402,0.00079031142923567,-317.638133304764,-7.69937467192361e-05,66,151,5,4,0,32.1075212441832,32.6446372766309,32.5609962638914,-0.530003886469861,-0.471353970136538,-0.5006789283032,32.3342587540373,23.2582689517478
3808316241.75605,3.02998781204224,0.0504997968673706,0.000841663281122843,-317.65582088837,-5.31904978063087e-06,72,158,5,6,0,36.6679388549616,38.6776828492732,36.5974231293184,-0.622399040124455,-0.492738757001323,-0.557568898562889,36.63268099214,26.3501555245143
3808316241.77207,3.04600405693054,0.0507667342821757,0.000846112238036262,-317.687881076247,-0.000216196428860813,78,167,5,7,0,24.9113231417591,28.3248061524593,25.1346245799249,-0.312238053647912,-0.173061603444771,-0.242649828546342,25.022973860842,17.9992082223116
3808316242.06540,3.33933973312378,0.0556556622187297,0.000927594370312161,-317.823162850492,-5.01127731103266e-05,70,158,5,8,0,44.5553608690189,48.1632530111861,44.2670462479519,-0.951523634011878,-0.569281732044076,-0.760402683027977,44.4112035584854,31.9453037316063
3808316242.28900,3.56293654441833,0.0593822757403056,0.00098970459567176,-317.894665795292,-1.44138189513666e-05,71,158,5,9,0,32.649845154002,31.8144047795568,32.451864427781,-0.366178182150705,-0.296700407342342,-0.331439294746524,32.5508547908915,23.4140680661595
3808316242.46082,3.73475980758667,0.0622459967931112,0.00103743327988519,-317.906657436674,-9.93842622527889e-06,67,151,5,11,0,28.9685384172079,31.7373732146182,28.3694350008903,-0.723964936417841,-0.275891660227099,-0.49992829832247,28.6689867090491,20.6218119464356
3808316243.28666,4.56059408187866,0.0760099013646444,0.00126683168941074,-318.088409708496,0.000213053108660188,67,154,5,13,0,36.6450029228436,38.2510237474147,36.8185169914815,-0.585548810206043,-0.701904287250228,-0.643726548728135,36.7317599571625,26.421423749139
3808316243.46244,4.73638248443604,0.0789397080739339,0.00131566180123223,-318.101924237661,0.00041771971049908,67,151,5,14,0,32.4858016840298,32.9585945486974,32.7537816096744,-0.806906648912406,-0.312907492790179,-0.559907070851292,32.6197916468521,23.4636548511487
3808316243.59427,4.86821246147156,0.0811368743578593,0.00135228123929765,-318.135709858773,-0.00012321274535647,73,159,5,15,0,16.887194764615,19.1823789654217,16.5100091536168,-0.101369857246014,-0.0408384742075446,-0.0711041657267791,16.6986019591159,12.0114265936221
3808316244.10550,5.37943983078003,0.0896573305130005,0.00149428884188334,-318.239646432849,-7.45984148671805e-05,71,157,5,16,0,37.5447470529305,41.2744623834423,37.2172753290879,-1.0199927465278,-0.783342736522459,-0.901667741525132,37.3810111910092,26.8884349130233
3808316244.41315,5.68709015846252,0.0947848359743754,0.00157974726623959,-318.321753496122,-6.42036739057398e-05,65,157,5,18,0,40.7320276494459,34.7528174600572,36.4926668853019,-0.990871711088662,-3.33251537822244,-2.16169354465555,38.6123472673739,27.7741439639693
3808316244.47804,5.7519736289978,0.0958662271499634,0.00159777045249939,-318.329137904653,4.96096061505541e-05,67,154,5,19,0,29.5315533897204,31.2097245462589,29.3887641034838,-0.467661566812763,-0.518327940467242,-0.492994753640003,29.4601587466021,21.1909077830368
3808316244.54150,5.81543374061584,0.0969238956769307,0.00161539826128218,-318.352005203572,-0.000475079831440389,67,154,5,21,0,24.0151086129751,26.8258987992368,23.9430161625248,-0.201948064047831,-0.204605265832488,-0.203276664940159,23.9790623877499,17.2483150601184
3808316244.90622,6.18016266822815,0.103002711137136,0.0017167118522856,-318.383756903061,7.68609145694847e-06,73,160,5,22,0,31.8629372537933,35.1459333839703,31.395097203673,-0.448791448558623,-0.440467779429841,-0.444629613994232,31.6290172287331,22.7509835614675
3808316245.33410,6.60804104804993,0.110134017467499,0.00183556695779165,-318.464465303174,-8.89685454869019e-05,68,153,5,24,0,25.19637689479,27.9530158988718,25.399829523179,-0.496880031500232,-0.116288479254934,-0.306584255377583,25.2981032089845,18.197110775894
3808316245.43003,6.7039692401886,0.11173282066981,0.00186221367783017,-318.456747064377,-4.98371079788889e-05,72,158,5,25,0,21.5783183692273,23.9509068189745,21.5803811904886,-0.194089815484775,-0.20642288846564,-0.200256351975207,21.579349779858,15.5221842195813
3808316245.50089,6.77482533454895,0.112913755575816,0.0018818959262636,-318.473122279024,-4.22336701964938e-05,69,154,5,26,0,31.080707120173,29.6495631314328,31.0630119432535,-0.492339821254668,-0.406053970948889,-0.449196896101778,31.0718595317133,22.3502159525856
3808316245.76991,7.04385089874268,0.117397514979045,0.00195662524965074,-318.513962404761,-0.000107804900972021,193,299,5,27,0,22.7459095125028,21.6263250873668,23.9279650304511,-0.339908698636649,0.151199849615966,-0.0943544245103416,23.336937271477,16.7864297647555
3808316245.85272,7.12666010856628,0.118777668476105,0.00197962780793508,-318.511273550494,0.000334814644028709,63,149,5,28,0,37.7619529193173,38.1333411158525,37.427451366356,-0.74834319174121,-0.482732447793918,-0.615537819767564,37.5947021428366,27.0421443785151
3808316246.14295,7.41688466072083,0.123614744345347,0.00206024573908912,-318.554619886596,6.88561350149822e-05,57,141,5,30,0,38.310131075428,38.6434873130688,37.8952097740538,-0.981756611123449,-0.768247748518727,-0.875002179821088,38.1026704247409,27.4075296811243
3808316246.17325,7.44719099998474,0.124119849999746,0.00206866416666243,-318.561189007402,0.000169353282955531,76,164,5,31,0,28.969730890246,32.637902812575,29.2445854288751,-0.512795580589985,-0.524804690845236,-0.51880013571761,29.1071581595605,20.9369918774337
3808316246.45418,7.7281174659729,0.128801957766215,0.00214669929610358,-318.592839210241,-0.000132349399391196,71,154,5,32,0,18.6878136987546,18.0486832374659,18.6341456899289,0.0880149695020282,-0.26522870252762,-0.0886068665127958,18.6609796943417,13.4229792597275
3808316246.61178,7.88571453094482,0.131428575515747,0.00219047625859578,-318.605614657406,-1.65100196669707e-06,268,398,5,33,0,29.9723179560974,30.2780427599504,20.1724970911367,-0.218840768834933,0.117219690844647,-0.0508105389951428,25.072407523617,18.0347662177132
3808316246.85625,8.13018774986267,0.135503129164378,0.00225838548607296,-318.651201152506,-0.000131548711215058,68,155,5,34,0,43.4203245435882,47.3110615451325,43.6525741221076,-0.82252351249103,-1.1278843835225,-0.975203948006764,43.5364493328479,31.3160866154411
3808316247.00812,8.28205466270447,0.138034244378408,0.00230057073964013,-318.647652620184,-5.37894875691189e-06,249,357,5,35,0,37.6459294291256,39.5356022564245,49.3413598987223,-0.40301972777906,-0.254864625492415,-0.328942176635738,43.4936446639239,31.2852969038291
3808316247.04309,8.31702494621277,0.138617082436879,0.00231028470728132,-318.689732595666,0.000139372021914848,67,153,5,36,0,28.3611536419675,29.9815973467429,28.4176076191177,-0.499643556787973,-0.497345691883924,-0.498494624335948,28.3893806305426,20.4206892479406
3808316247.19743,8.47136878967285,0.141189479827881,0.00235315799713135,-318.672575666375,2.79258676006586e-05,69,155,5,37,0,33.1287327979458,34.0533221707258,33.1067166075539,-0.555524594442032,-0.4934948612522,-0.524509727847116,33.1177247027498,23.8218217422511
3808316247.27365,8.54758667945862,0.142459777990977,0.00237432963318295,-318.70632723886,-6.44844793667215e-06,74,162,5,38,0,29.5587707978446,30.7661419860065,29.4550775140309,-0.436194296381837,-0.521764706386604,-0.478979501384221,29.5069241559378,21.2245464842126
3808316247.38299,8.65693211555481,0.144282201925913,0.00240470336543189,-318.722424093848,-4.2801400110781e-05,113,203,5,39,0,22.6338439084287,54.1428182739801,35.6815498902451,-1.29233275506005,-1.38746159267056,-1.3398971738653,29.1576968993369,20.9733447628097
3808316247.42694,8.70088148117065,0.145014691352844,0.0024169115225474,-318.742134297357,-4.96555199518143e-05,70,157,5,40,0,29.3812857922322,28.0437386174273,29.4123482275972,-0.568996329947984,-0.502502198985046,-0.535749264466515,29.3968170099147,21.1453456082874
3808316247.61925,8.89319109916687,0.148219851652781,0.00247033086087969,-318.721788195918,-7.32379680345479e-05,77,166,5,41,0,30.4216305409498,28.7592497814085,30.2561531349122,-0.699405957518697,-0.508344455408428,-0.603875206463563,30.338891837931,21.8229869264122
3808316247.86333,9.13727307319641,0.152287884553274,0.00253813140922123,-318.782651863243,0.000116062298826847,73,163,5,42,0,24.4165073043855,24.0395004028193,24.3698475512323,-0.353804696639072,-0.453576045668428,-0.40369037115375,24.3931774278089,17.5461910390274
3808316248.72324,9.99717974662781,0.166619662443797,0.00277699437406328,-318.917974796325,-1.61431456097785e-05,175,270,5,43,0,25.7294317662875,29.1049914659273,26.7130193393873,-0.302449464418116,-0.304245957236001,-0.303347710827058,26.2212255528374,18.8611194334611
