real_time_s,peak_time_s,peak_time_m,peak_time_h,avg_baseline,bl_slope,pk_fwhm,transit_t,valve_state,pk_order,segment_num,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg
3808754103.65845,40.013783454895,0.666896390914917,0.011114939848582,256.504018103009,0.000279802648001975,143,258,5,1,0,60.3392536891905,71.1178034312549,60.5922857315668,-8.19976472983505,-8.1312827771311,-8.16552375348308,60.4657697103787,43.4934706558825
3808754105.02961,41.3849439620972,0.689749066034953,0.0114958177672492,256.39962620628,-0.000341413780487267,147,263,5,2,0,60.6144887480358,71.6637191664598,60.6575431923134,-8.15145817343784,-8.44910693671914,-8.30028255507849,60.6360159701746,43.6159300364572
3808754108.09992,44.4552512168884,0.740920853614807,0.0123486808935801,256.318662891565,7.32910206632779e-05,155,274,5,3,0,60.2397142049231,71.1956110687014,60.5290318546414,-8.02320786950084,-8.34784530362615,-8.18552658656349,60.3843730297823,43.4349214278488
3808754108.77295,45.1282784938812,0.75213797489802,0.012535632914967,256.288242079499,-2.03486113844608e-05,151,266,5,4,0,61.7401776556956,72.4621320786592,61.5384819782554,-8.03475387211355,-8.54607498575613,-8.29041442893484,61.6393298169755,44.3376210289558
3808754108.94097,45.2962975502014,0.754938292503357,0.0125823048750559,256.302786706571,-0.000363777428929203,151,269,5,5,0,61.1964565942199,72.3199727422875,61.0495459317887,-8.14000700971831,-8.32087542830262,-8.23044121901047,61.1230012630043,43.9662221214664
3808754109.99457,46.3499035835266,0.772498393058777,0.0128749732176463,256.301603140978,9.27017273981954e-07,134,244,5,6,0,61.8721901172966,68.7486752385659,61.2742639573225,-8.27659695357614,-8.3558483190399,-8.31622263630802,61.5732270373096,44.2900728157859
3808754110.13002,46.4853498935699,0.774755831559499,0.0129125971926583,256.227784751815,-5.95487600433121e-05,151,271,5,7,0,60.2601365571048,71.0109393747514,60.0927427341871,-8.1432877501837,-8.44976730520789,-8.29652752769579,60.1764396456459,43.2853534229324
3808754110.66663,47.0219631195068,0.783699385325114,0.0130616564220852,256.399235522192,-0.000315990305705995,152,269,5,8,0,58.8727038396221,69.6294347929031,59.3531686602738,-7.83535333794353,-8.24723579912795,-8.04129456853574,59.112936249948,42.5203676474304
3808754112.37698,48.7323083877563,0.812205139795939,0.0135367523299323,256.361744906923,-0.000241425694378995,151,266,5,9,0,62.8903501791035,73.9398200632296,63.0346958583471,-8.74352932317095,-8.78369440526573,-8.76361186421834,62.9625230187253,45.2894035824241
3808754112.71430,49.0696322917938,0.81782720486323,0.0136304534143872,256.217372296716,-0.00038328090049678,135,249,5,10,0,61.1644973240054,68.2030996285594,60.9850448386577,-8.18444894034431,-8.07017460894675,-8.12731177464553,61.0747710813315,43.931529798829
