real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num
3809346381.61771,91.0551850795746,1.51758641799291,0.0252931069665485,3.41073707559273e-05,100.206883527353,163.254435083022,177.912366432353,162.996874514888,0.509391003697418,0.432421465064504,0.470906234380961,163.125654798955,128.946865854482,309,470,5,1,0
3809346381.72914,91.1666202545166,1.51944367090861,0.0253240611818102,0.000219213685132418,100.547873013973,159.641650567884,171.338131642563,159.682279288602,0.294681621315274,0.400464222556764,0.347572921936019,159.661964928243,126.208903185945,130,236,5,2,0
3809346381.87476,91.3122367858887,1.52187061309814,0.0253645102183024,3.86593328402157e-06,100.620453490097,139.810921097619,149.788617512681,139.761507036169,0.110380845352321,0.508453298804967,0.309417072078644,139.786214066894,110.497605148649,126,230,5,3,0
3809346381.95532,91.3928027153015,1.52321337858836,0.0253868896431393,-2.5503035574254e-05,100.620860943481,166.780863144105,179.030604025264,166.501220845183,0.191028527959121,0.205612545830204,0.198320536894663,166.641041994644,131.72569400207,131,235,5,4,0
3809346382.29446,91.7319366931915,1.52886561155319,0.0254810935258865,4.05839797939521e-05,100.61782694622,120.764663493596,129.078526822665,120.643014710892,0.415050540239709,0.199125308029532,0.30708792413462,120.703839102244,95.4134514771477,121,222,5,7,0
3809346382.40796,91.8454422950745,1.53075737158457,0.0255126228597429,1.39380270764899e-05,100.609368037314,158.986355027213,170.662250480207,158.880487658048,0.272186419276031,0.553798411176885,0.412992415226458,158.93342134263,125.633007186515,132,237,5,8,0
3809346382.55578,91.993255853653,1.53322093089422,0.0255536821815703,-0.00019530115172042,100.649859597153,179.997583174882,193.711782851049,180.07022837059,0.251503287138906,-0.0784028745182422,0.0865502063103319,180.033905772736,142.312427346555,139,247,5,9,0
3809346382.60985,92.0473279953003,1.534122133255,0.0255687022209167,-5.97241621854744e-05,100.635932747075,132.058696112966,141.799037108336,131.664022148188,-0.46553527186671,0.141509299375331,-0.16201298624569,131.861359130577,104.233199910558,130,237,5,10,0
3809346383.19627,92.6337504386902,1.54389584064484,0.0257315973440806,0.00451171889095016,101.267843438761,163.717543537865,175.818590821684,162.955973572105,0.934386492976814,1.08532351831089,1.00985500564385,163.336758554985,129.113738243401,131,239,5,11,0
3809346383.23876,92.6762430667877,1.54460405111313,0.0257434008518855,9.56620018721924e-05,100.65576131435,117.936576827936,125.635674403881,117.806526176226,0.443894568276711,0.365001994789338,0.404448281533025,117.871551502081,93.1745969592019,119,223,5,13,0
3809346383.36753,92.8050076961517,1.5467501282692,0.0257791688044866,0.000122490308639226,100.640105886028,160.698099332344,172.698680728001,160.900767479996,0.226366082940918,0.0709897334099112,0.148677908175415,160.79943340617,127.108044375096,133,239,5,14,0
3809346383.46705,92.9045293331146,1.54840882221858,0.025806813703643,1.97873449369842e-05,100.647113034996,171.445441952846,184.345086299429,171.282702918061,0.611238763715195,0.646424723808201,0.628831743761698,171.364072435453,135.459134786895,131,236,5,16,0
3809346383.63170,93.0691797733307,1.55115299622218,0.0258525499370363,0.000115075433374611,100.635424251919,124.130469073847,133.391361627303,123.957380030121,0.024431965346127,0.295207086193941,0.159819525770034,124.043924551984,98.0537078547296,123,224,5,17,0
3809346383.66877,93.106253862381,1.55177089770635,0.0258628482951058,-0.000253110903926599,100.666286440383,130.170716783318,138.724386130667,130.376938883872,0.313652984793274,0.632544559630555,0.473098772211914,130.273827833595,102.978295000328,123,225,5,18,0
3809346383.91810,93.3555784225464,1.55592630704244,0.025932105117374,-1.30009380732704e-05,100.643561070704,135.144770496169,145.828940701547,134.999802608487,-0.086500596626555,0.206376761483135,0.0599380824282899,135.072286552328,106.771360005801,133,241,5,19,0
3809346384.35911,93.7965848445892,1.56327641407649,0.0260546069012748,-0.000315156984360245,100.713506156455,248.648417178951,266.769618742609,248.568781274526,0.611250610721536,0.414894785300706,0.513072698011121,248.608599226739,196.519056026289,147,258,5,20,0
3809346385.05106,94.4885439872742,1.57480906645457,0.0262468177742428,-5.31737558829813e-05,100.671566990696,144.943394274548,155.124468606245,145.24240255982,0.543790818657972,0.551486667462787,0.547638743060379,145.092898417184,114.692410165016,130,235,5,22,0
3809346385.16275,94.6002266407013,1.57667044401169,0.0262778407335281,3.42523710333982e-05,100.655107771503,96.7453868236226,102.621539285336,96.6871369850668,0.164106567229795,-0.0242822256144414,0.0699121708076767,96.7162619043447,76.4518546460197,115,217,5,23,0
3809346385.38520,94.8226802349091,1.58037800391515,0.0263396333985858,6.40790147943945e-05,100.662301511947,168.316501001841,181.052725756333,168.209793569514,0.452117149558339,0.369211029688991,0.410664089623665,168.263147285678,133.007928814384,136,244,5,24,0
3809346385.46360,94.9010803699493,1.58168467283249,0.0263614112138748,-2.74632565309337e-05,100.663779169979,121.779877296052,129.733857280795,121.542646906078,0.166174586467079,0.383751641361022,0.274963113914051,121.661262101065,96.1702710905136,122,227,5,25,0
3809346385.90873,95.3462059497833,1.58910343249639,0.0264850572082731,0.000445220469379434,100.754094122729,145.40953191332,155.442417413385,145.066375411605,0.206652819194314,0.233012581459335,0.219832700326825,145.237953662463,114.80707281129,133,238,5,26,0
3809346386.32955,95.7670295238495,1.59611715873082,0.0266019526455137,0.000121345714584084,100.682332554378,201.419799312502,216.719072049722,201.35920298357,-0.0543047909489276,0.160695858491806,0.0531955337714393,201.389501148036,159.193506509089,141,250,5,27,0
3809346386.46099,95.8984713554382,1.59830785592397,0.0266384642653995,-1.36514222092391e-05,100.687933818853,113.886588715714,120.480764464955,113.869623170194,0.293545122820501,0.253143823591739,0.27334447320612,113.878105942954,90.0178752930449,119,219,5,28,0
3809346386.52190,95.959379196167,1.59932298660278,0.0266553831100464,-4.91048717125136e-05,100.678348432007,206.358927310119,222.196418981706,206.177121180725,0.23193118246252,0.470914656284717,0.351422919373619,206.268024245422,163.04986046017,140,249,5,30,0
3809346386.64439,96.0818660259247,1.60136443376541,0.0266894072294235,-6.43884878692011e-05,100.691408739461,183.642119886913,196.352700825343,183.631284630997,0.252628937203382,0.0887865293511696,0.170707733277276,183.636702258955,145.160350414094,135,243,5,31,0
3809346386.84506,96.2825360298157,1.60470893383026,0.026745148897171,-0.000112193765365478,100.700689913724,120.809338368199,129.725424320728,120.816102424127,0.486242551523632,0.372011890073553,0.429127220798593,120.812720396163,95.4995194939678,122,224,5,32,0
3809346387.19431,96.6317853927612,1.61052975654602,0.0268421626091003,4.31519193757275e-05,100.69578255635,158.891617167253,170.670670640585,158.886216698485,0.234364122300955,0.120176394317666,0.177270258309311,158.888916932869,125.59782753214,132,238,5,35,0
3809346387.26772,96.705198764801,1.61175331274668,0.0268625552124447,7.33356383843081e-05,100.691656336774,233.012777186805,249.485876013165,233.176149481719,0.140209346685595,0.228226696229417,0.184218021457506,233.094463334262,184.255508626336,147,257,5,36,0
3809346387.50804,96.9455211162567,1.61575868527095,0.0269293114211824,8.97817814462997e-05,100.734841377414,90.0626379817157,95.7558461247881,90.0093690560053,-0.201874229266425,-0.0332585376379179,-0.117566383452171,90.0360035188605,71.1712727352961,142,253,5,37,0
3809346387.72184,97.1593203544617,1.61932200590769,0.0269887000984616,-1.65279358225337e-05,100.729837722382,169.647746671461,182.005673027208,169.706409578062,0.237436670167652,0.2025910841954,0.220013877181526,169.677078124761,134.125606781468,132,239,5,39,0
3809346387.98098,97.418461561203,1.62364102602005,0.0270606837670008,6.32813781723991e-05,100.713260882146,170.626464059138,183.250480782206,170.645332260428,0.636102682937784,0.264467888244527,0.450285285591156,170.635898159783,134.883530718,135,242,5,40,0
3809346388.43955,97.8770320415497,1.63128386735916,0.027188064455986,7.95838573883754e-05,100.736511884857,131.199091826829,140.218442407179,130.937067938047,0.35926658624792,0.474340828845587,0.416803707546754,131.068079882438,103.606131943101,127,232,5,41,0
3809346388.48129,97.9187731742859,1.63197955290476,0.0271996592150794,-0.000123347267422669,100.761550322723,122.044189884659,130.65448270453,121.859495522858,0.37934446323015,0.186500199304481,0.282922331267315,121.951842703759,96.3999679952807,130,237,5,42,0
3809346388.61149,98.048974275589,1.63414957125982,0.0272358261876636,0.000215000779410566,100.801868872634,153.141654907137,164.165428721432,152.955235650892,0.429511834349163,0.490979083917436,0.4602454591333,153.048445279014,120.981076624353,133,240,5,43,0
