real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num
3809518154.56552,5.21931910514832,0.0869886517524719,0.0014498108625412,0.00025433598763509,604.029652551289,74.3245818839466,84.3209642635681,73.8346242840214,-3.01938383830009,-2.40443362053887,-2.71190872941948,74.079603083984,58.43942505114,145,256,4,1,0
3809518154.58223,5.23603248596191,0.0872672080993652,0.00145445346832275,-0.00103879337072185,605.134585880333,176.633838289153,190.572536230872,173.163805432554,-13.9451349489516,-5.47553688114099,-9.71033591504628,174.898821860853,137.973020455881,137,250,4,2,0
3809518154.67698,5.3307785987854,0.0888463099797567,0.00148077183299594,0.000836205590788415,604.191968799802,66.4977878493614,77.8858232675645,66.9607471591238,-1.31296231354217,-1.79465775495837,-1.55381003425027,66.7292675042426,52.6409411590754,143,250,4,3,0
3809518154.76501,5.41881203651428,0.0903135339419047,0.00150522556569841,-3.01465896981403e-05,604.067453684939,67.8710261217187,181.631481560837,72.9487810145142,-2.3850235594313,-11.1448916467755,-6.7649576031034,70.4099035681164,55.5444968807688,235,342,4,4,0
3809518154.86706,5.52086043357849,0.0920143405596415,0.00153357234266069,0.00106681192077775,604.311628056005,72.5075188080165,76.2422472663429,72.0736458387482,-2.44513247713209,-2.31479376236978,-2.37996311975093,72.2905823233824,57.0281142408542,122,226,4,6,0
3809518154.98101,5.63480520248413,0.0939134200414022,0.0015652236673567,-0.000279868385187393,604.653539006311,92.2349067191387,103.57624979073,92.6320044659695,-1.877429897058,-3.0577725642113,-2.46760123063465,92.4334555925541,72.9182902639877,129,235,4,7,0
3809518155.08977,5.74357390403748,0.0957262317339579,0.00159543719556597,-0.00506362986072133,605.037512822291,84.8190640806381,94.991539763062,84.2879259468434,-1.32410221335755,-1.10949619666164,-1.2167992050096,84.5534950137407,66.7019993218045,141,249,4,8,0
3809518155.19347,5.84726762771606,0.0974544604619344,0.00162424100769891,-0.00149852354650317,604.397483022747,78.8925472006713,89.2464146606681,79.1876508509436,-1.79668794894662,-1.35702467130731,-1.57685631012697,79.0400990258075,62.3526281291861,139,244,4,9,0
3809518155.35980,6.01360082626343,0.100226680437724,0.00167044467396206,0.00380234993898009,604.732560173879,56.9774462381824,64.6050138347115,56.8924514850402,-0.620649852018439,-0.574238767133923,-0.597444309576181,56.9349488616113,44.9144641476619,141,253,4,11,0
3809518155.47740,6.13120198249817,0.102186699708303,0.00170311166180505,-0.00143978642533299,604.408032397922,59.9928499815241,129.376276500299,62.7849068162647,-32.2141069524903,-16.0171288948822,-24.1156179236863,61.3888783988944,48.4280504864282,177,285,4,14,0
3809518155.60019,6.2539918422699,0.104233197371165,0.00173721995618608,0.000696735067006862,604.230733722564,140.87904753655,204.476684301569,85.8142498414833,-20.6587565616863,-47.4424282505241,-34.0505924061052,113.346648689017,89.4161510740029,180,300,4,17,0
3809518155.71516,6.3689558506012,0.106149264176687,0.00176915440294478,-0.00243713949366477,604.610042681152,62.3725724985486,69.7740991354787,62.2652919935517,-4.19154003080223,-5.06590645969264,-4.62872324524744,62.3189322460501,49.1617451855313,130,238,4,18,0
3809518155.75236,6.40615653991699,0.106769275665283,0.00177948792775472,-0.000100351646991438,604.198438021771,61.8608864334982,70.2996878185623,63.0553216564248,-1.29359462455248,-2.00317688403345,-1.64838575429296,62.4581040449615,49.2715341095148,125,233,4,19,0
3809518156.06083,6.71463346481323,0.111910557746887,0.00186517596244812,1.00305393370556e-05,604.154299221158,132.369885925675,95.0621069753247,138.624993886452,-25.8192158682463,-55.1721488752654,-40.4956823717558,135.497439906063,106.890320066033,304,435,4,24,0
3809518156.18386,6.83765578269958,0.11396092971166,0.00189934882852766,0.000676259486954672,604.307552742055,172.417753997882,180.971960338077,154.674294817525,-6.62314709109952,-17.3912184648197,-12.0071827779596,163.546024407704,129.017101035902,143,256,4,25,0
3809518156.33949,6.99329233169556,0.116554872194926,0.00194258120324877,0.00263957361853573,604.625955892171,66.0152284625974,71.8082563791128,66.3099816877317,-2.38940662505794,-2.38906260873897,-2.38923461689846,66.1626050751645,52.1939162672727,124,229,4,28,0
3809518156.64969,7.30348634719849,0.121724772453308,0.00202874620755514,-0.000185936101288317,604.224229950781,79.4547377503414,92.5801906955761,79.3904777022788,-1.90890318438706,-2.0926436428427,-2.00077341361488,79.4226077263101,62.6543790512191,192,316,4,32,0
3809518156.96840,7.62220239639282,0.127036706606547,0.00211727844344245,-0.000172869922638534,604.26589344419,78.9488450334796,89.5462964130949,78.5551856875703,-1.79301712892716,-2.37930519573242,-2.08616116232979,78.7520153605249,62.1253666015204,140,247,4,36,0
3809518157.19456,7.84836173057556,0.130806028842926,0.00218010048071543,5.84829923497478e-06,604.227870189035,99.257290540053,111.899868409164,98.7811240805296,-4.11999939634732,-3.7998745376372,-3.95993696699226,99.0192073102913,78.1136143193528,145,254,4,37,0
3809518157.42982,8.08361721038818,0.13472695350647,0.00224544922510783,0.000417783798806087,604.447149367133,78.0861113582876,87.7486847268464,76.9905367625641,-1.31019353482712,-2.40574686676973,-1.85797020079843,77.5383240604258,61.1679178731983,140,248,4,39,0
3809518157.66570,8.31950306892395,0.138658384482066,0.0023109730747011,0.000528528827338229,604.441383579077,100.747634086319,114.369272405965,100.715011759992,-3.3140525187794,-3.55236735017028,-3.43320993447484,100.731322923155,79.464256707696,149,258,4,42,0
3809518157.71583,8.3696300983429,0.139493834972382,0.00232489724953969,-0.0003310700665507,604.289056909397,3.8440335096192,4.33836650971721,3.84868536146603,-0.252065037036113,-0.00024044758307285,-0.126152742309593,3.84635943554261,3.03429047396901,113,201,4,43,0
3809518157.98170,8.63550329208374,0.143925054868062,0.00239875091446771,-5.62439812795266e-05,604.577063007408,83.9550847541525,175.470786415493,94.8477756287656,-5.9825818654112,-37.2978984542316,-21.6402401598214,89.401430191459,70.5264062121852,293,420,4,46,0
3809518158.23618,8.8899781703949,0.148166302839915,0.00246943838066525,0.000706380103225994,604.374013746557,86.4354032754047,89.3616746904796,86.2465724866254,-2.56587888784177,-2.59179394442114,-2.57883641613146,86.3409878810151,68.1121048177545,120,225,5,51,0
3809518158.65654,9.31033563613892,0.155172260602315,0.00258620434337192,-0.000298990489982649,604.406630738297,59.585745385146,69.3499527511891,59.7817597360598,-1.66846656938503,-1.50505284452204,-1.58675970695354,59.6837525606029,47.0829221450057,150,263,5,52,0
3809518158.79599,9.44978880882263,0.157496480147044,0.00262494133578406,-0.00156365663350661,604.662736201423,74.9046890103701,84.5062899372118,75.2610130365593,-1.88915813968727,-2.52013303426093,-2.2046455869741,75.0828510234647,59.2308606194506,145,258,5,54,0
3809518159.26812,9.92192316055298,0.165365386009216,0.00275608976682027,0.000111494786923886,604.371412981229,90.6606296014425,104.377408284857,90.1685705411622,-2.29721565888594,-1.56345546879659,-1.93033556384127,90.4146000713023,71.3256689348816,139,245,5,55,0
3809518159.32557,9.97936844825745,0.166322807470957,0.00277204679118262,-0.000712398852098733,604.523149630661,101.750622478987,114.016225618513,99.2477592999527,-4.06779259285818,-4.69034403835967,-4.37906831560892,100.49919088947,79.2811339313877,138,247,5,56,0
3809518160.92999,11.5837867259979,0.193063112099965,0.00321771853499942,0.00103660364491655,604.561790469199,88.0887980130767,98.7552626915989,86.7572882131923,-1.46141920750001,-1.91881300249138,-1.69011610499569,87.4230431131345,68.9657093594386,171,292,5,58,0
3809518161.20310,11.856903553009,0.197615059216817,0.00329358432028029,-8.45307437920539e-05,604.443913437121,59.9706628506503,67.7018176459723,59.9259830712696,-3.59315452581535,-2.98291132486486,-3.2880329253401,59.94832296096,47.2916346844734,138,246,5,59,0
3809518161.49164,12.1454358100891,0.202423930168152,0.0033737321694692,-4.55976841048077e-05,604.410985089385,68.0524946911422,70.4322793412255,68.0894080607395,-1.70984687046267,-1.0999672062654,-1.40490703836403,68.0709513759409,53.6993598168204,139,250,5,60,0
