real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num
3809514302.2215,11.6248927116394,0.193748211860657,0.00322913686434428,0.0016854664610734,428.193320288211,75.1638374838648,79.0733763524878,74.2207028202924,-2.65126120703606,-3.25483238226979,-2.95304679465292,74.6922701520786,58.9227417768874,100,197,5,1,0
3809514302.60186,12.0052556991577,0.200087594985962,0.00333479324976603,0.000110857434259939,428.014243544065,74.7972840503039,75.4301260271183,74.5004147870036,-2.50806731163835,-1.79219944395751,-2.15013337779793,74.6488494186538,58.8884883172169,109,211,5,2,0
3809514303.81465,13.2180426120758,0.220300710201263,0.00367167850335439,0.000148517272121996,428.0232648112,74.8382864485942,80.9252964987982,75.5437137070883,-2.403398568271,-3.0561556405294,-2.7297771044002,75.1910000778412,59.3161765268593,109,208,5,5,0
3809514306.25691,15.6603031158447,0.261005051930745,0.00435008419884576,0.00200394082062081,428.415127192421,86.9604936015155,96.5321320562893,86.308523310086,-2.98430695621529,-2.14741460691942,-2.56586078156735,86.6345084558008,68.343655378463,123,226,5,6,0
3809514306.37526,15.7786591053009,0.262977651755015,0.00438296086258358,-2.17519465629659e-05,428.018453218352,48.115036194481,53.4666038556946,48.4953972004076,-1.4009757539083,-1.68477693277161,-1.54287634333996,48.3052166974443,38.1066983791614,110,205,5,7,0
3809514307.63011,17.0335049629211,0.283891749382019,0.00473152915636698,0.00152825778451136,428.228561289443,59.2811610901535,65.9143316443857,61.1896999254574,-1.95268106562954,-1.66232780804416,-1.80750443683685,60.2354305078055,47.5181261783124,110,209,5,11,0
3809514308.00666,17.4100606441498,0.290167677402496,0.00483612795670827,-0.000273289507017654,428.069941550904,93.822302280695,105.230245316338,93.4246666456521,-5.2819439596494,-3.77004465447787,-4.52599430706364,93.6234844631736,73.8570723321694,133,241,5,12,0
3809514311.16979,20.5731854438782,0.342886424064636,0.0057147737344106,9.69307455127365e-05,427.95901979841,44.5425652605699,45.5638892961652,44.1969945624434,-1.530024046809,-1.53253418417639,-1.5312791154927,44.3697799115067,35.0021371568967,105,206,5,14,0
3809514311.83869,21.2420814037323,0.354034690062205,0.00590057816770342,-0.00024335048690612,427.938461005923,51.6541883337171,54.7899428475328,51.102786162051,-1.40156074277212,-1.44942236482833,-1.42549155380023,51.3784872478841,40.5311196303213,110,209,5,15,0
3809514313.37207,22.7754662036896,0.379591103394826,0.00632651838991377,7.3955645762812e-05,427.880544720634,94.3330722888785,98.1545057337575,94.0086238956023,-2.73083050784315,-2.7750234163846,-2.75292696211388,94.1708480922404,74.2888729148522,106,206,5,17,0
3809514327.08528,36.4886758327484,0.608144597212474,0.0101357432868746,0.00435716350315656,368.751932372689,72.1590484416555,78.8740557945338,72.6059561937765,-2.62693347929557,-4.0634693971978,-3.34520143824668,72.382502317716,57.100627475212,106,206,5,19,0
3809514327.30151,36.7049045562744,0.61174840927124,0.0101958068211873,0.000389213937768443,368.588434284706,60.5750868454144,67.4920351746707,59.264223372408,-1.54367192520931,-1.33501903950572,-1.43934548235752,59.9196551089112,47.2690193798357,122,226,5,21,0
3809514327.61464,37.0180375576019,0.616967292626699,0.010282788210445,4.35091142199927e-05,367.86585114501,45.5920037656736,51.4238783202158,45.347738091294,-1.39726654564482,-0.903020506805143,-1.15014352622498,45.4698709284838,35.8699696486985,129,234,5,22,0
3809514328.00077,37.4041709899902,0.623402849833171,0.0103900474972195,-0.00132564951062823,367.952489601742,50.867714208495,55.9526267991903,50.4615276150188,-1.17574133306765,-1.62754744494501,-1.40164438900633,50.6646209117569,39.9679694984377,110,207,5,23,0
3809514330.56471,39.9681088924408,0.666135148207347,0.0111022524701224,-9.89641778180455e-05,367.394548668105,79.6143681917039,85.2631323348743,78.3871237177488,-1.75664163443407,-2.36995179645033,-2.0632967154422,79.0007459547264,62.3215835399573,132,238,5,25,0
3809514333.96189,43.3652853965759,0.722754756609599,0.01204591261016,-0.00209086747337169,367.498577964584,71.7944361863542,75.8066893018335,71.7417716088833,-1.35497056015863,-1.82575246542674,-1.59036151279268,71.7681038976187,56.6159449320009,110,210,5,28,0
3809514334.88523,44.2886271476746,0.738143785794576,0.0123023964299096,0.000136124395305393,367.119128142596,94.3422795435598,105.510319879724,93.9329109969395,-3.94975234040459,-3.64872462916965,-3.79923848478712,94.1375952702496,74.262640649592,125,229,5,31,0
3809514337.54782,46.9512202739716,0.782520337899526,0.0130420056316588,-0.00016791482494398,366.915541531173,56.7588488086648,65.3828768583915,56.8283546052075,-1.32160407652661,-2.06534962983234,-1.69347685317948,56.7936017069361,44.8029591434779,159,274,5,35,0
3809514339.83876,49.2421517372131,0.820702528953552,0.0136783754825592,-0.00655992256443315,370.22309947068,54.8432930919525,54.8540941112968,55.0987996457443,-2.16823040844487,-1.64456046538359,-1.90639543691423,54.9710463688484,43.3651937985288,58,139,4,37,0
3809514341.27537,50.6787645816803,0.844646076361338,0.0140774346060223,-0.000232817343066048,366.072391459807,94.0037654496693,94.607039983681,93.5470364865726,-4.53946180988584,-3.52547658730909,-4.03246919859746,93.7754009681209,73.976915215167,120,224,4,38,0
3809514345.25753,54.6609318256378,0.911015530427297,0.0151835921737883,-0.00353985736193473,366.094857005221,44.3544080219547,44.6066022550656,44.2866748455877,-0.411213764060949,-0.192162218487339,-0.301687991274144,44.3205414337712,34.963294233751,121,227,4,40,0
3809514346.08215,55.4855418205261,0.924759030342102,0.0154126505057017,1.02928548622216e-05,365.465238465808,65.7463763964403,65.5440010515537,64.0761051477294,-2.26706876982831,-1.21855872607528,-1.7428137479518,64.9112407720848,51.2067483106815,107,208,4,41,0
3809514347.04073,56.4441266059875,0.940735443433126,0.0156789240572188,-0.00240751425701572,365.750888930315,53.9487301217835,55.8013568036845,54.7854595680184,-0.762499450343101,-1.10764881001711,-0.935074130180108,54.3670948449009,42.8887525333369,104,201,4,42,0
3809514353.30315,62.7065505981445,1.04510917663574,0.0174184862772624,1.0476011496489e-05,365.044008509447,60.4743001271887,59.6972785172752,60.3349062419086,-0.945271472556546,-2.38631778372942,-1.66579462814298,60.4046031845486,47.6515819954558,105,206,4,44,0
