fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl
3803912809.78998,64.1743607521057,1.06957267920176,0.0178262113200294,94.1937153180526,-2.96953481008009e-06,201,454,7,9,0,102.284709295896,120.801120202757,102.2252742941,-23.4531646380675,-23.6568489306116,-23.5550067843396,102.254991794998,80.3817937705236,1,94.1937153180526,3803912814.18742,68.571799993515,1.14286333322525,0.0190477222204208,-435.855373370751,7.3262594391666e-05,219,337,11,8,0,-112.040512809138,-117.447855500403,-110.891925581985,-25.3720119648549,-25.9537071619523,-25.6628595634036,-111.466219195561,-87.6226625857093,1,-435.855373370751,1.00772737423145,1.09343215581606,1.04873285841857,1960.26934845389
3803912837.61002,91.9943969249725,1.53323994874954,0.0255539991458257,93.6864665503458,-7.17713981641716e-06,163,393,7,17,0,4.36396074650123,4.91760035658827,4.42469760004318,-0.494841138686616,-0.422805832387325,-0.45882348553697,4.39432917327221,3.45434540813332,2,93.6864665503458,3803912842.26169,96.6460645198822,1.61076774199804,0.0268461290333006,-441.154186502654,-1.31738332513656e-06,288,389,11,14,0,-4.07285326625806,-4.62089506865768,-4.29312162990066,-0.0968480391784098,0.0566901017993842,-0.0200789686895128,-4.18298744807936,-3.28821144566021,2,-441.154186502654,1.00772445064111,1.0934016154582,1.0516185589572,78.6972452716921
3803912872.25604,126.640420913696,2.11067368189494,0.035177894698249,93.7491282320791,4.69983813920735e-06,203,474,7,24,0,101.70525019134,119.433163569935,101.744183871487,-22.7826052322337,-22.7205502746084,-22.751577753421,101.724717031413,79.9649492141851,3,93.7491282320791,3803912876.30389,130.688268661499,2.17813781102498,0.0363022968504164,-409.192036149651,7.51316565797471e-05,220,338,11,20,0,-111.980072580871,-117.005136258084,-110.636977660344,-25.7768964948458,-26.2339482284491,-26.0054223616474,-111.308525120608,-87.4987005923705,3,-409.192036149651,1.00772481179938,1.09358583322269,1.04872399117666,1950.40365267646
3803912887.77194,142.156312942505,2.36927188237508,0.0394878647062514,93.5120175621044,-2.74787707166462e-06,224,549,7,28,0,30.4768523106097,35.9980350847987,30.6222869633067,-3.33207693636562,-3.40938598187571,-3.37073145912067,30.5495696369582,24.0147611694038,4,93.5120175621044,3803912891.6448,146.029175758362,2.4338195959727,0.0405636599328783,-402.060290083767,1.70665160693925e-05,233,500,11,23,0,-32.604212163937,-36.2698564912007,-32.8313458487815,-4.57662667104407,-4.50882964657431,-4.54272815880919,-32.7177790063593,-25.7191724193887,4,-402.060290083767,1.00772344518302,1.09362693791379,1.04920320985645,578.951239441028
3803912901.51766,155.902037143707,2.59836728572845,0.0433061214288076,93.1083288163726,-8.01078923206352e-07,199,447,7,32,0,102.274054207756,120.474423302792,102.402751349361,-22.9469375536861,-23.1683849260454,-23.0576612398657,102.338402778558,80.4473624470354,5,93.1083288163726,3803912905.46545,159.849821805954,2.6641636967659,0.0444027282794317,-399.566154391891,7.37162853933537e-05,219,338,11,26,0,-111.174797555488,-116.32914172464,-109.794689693886,-25.5777275563201,-26.1246962502157,-25.8512119032679,-110.484743624687,-86.8511328486868,5,-399.566154391891,1.00772111847354,1.09364131317004,1.04903681011829,1947.13822386793
3803912914.90434,169.288714885712,2.82147858142853,0.0470246430238088,92.7899464530709,-4.48485926863182e-06,202,477,7,36,0,86.5087395773662,100.808807434693,86.5739901152076,-17.6841062638809,-17.6795296407739,-17.6818179523274,86.5413648462869,68.0294430578024,6,92.7899464530709,3803912918.72153,173.10591006279,2.8850985010465,0.0480849750174416,-393.51156595785,3.76270274088662e-05,221,444,11,29,0,-93.1333023189125,-97.8401907208578,-91.6645226912613,-20.2468485992927,-20.7944179485942,-20.5206332739434,-92.3989125050869,-72.634012278781,6,-393.51156595785,1.00771928343783,1.09367620953133,1.04929086146504,1636.44120060307
3803912942.47087,196.855250120163,3.28092083533605,0.0546820139222675,92.1563405569101,2.50819931891188e-08,159,395,7,45,0,30.007742542963,32.5345760663542,29.9856407303233,-2.83963799642662,-3.0216782388171,-2.93065811762186,29.9966916366432,23.5801483977292,7,92.1563405569101,3803912946.92283,201.307204961777,3.35512008269628,0.055918668044938,-439.952967714858,1.46279283035942e-05,215,326,11,35,0,-33.3047328697083,-37.3575728277312,-33.0005631204413,-3.21175379937724,-3.31308354903791,-3.26241867420758,-33.1526479950748,-26.0610192940939,7,-439.952967714858,1.00771563157272,1.09340853882967,1.04842078746865,579.291440573683
3803912956.58918,210.973561048508,3.51622601747513,0.0586037669579188,92.0983907527372,3.13958177823285e-07,205,505,7,49,0,29.4157521651665,32.5258126881706,29.3905237633044,-3.00362890242286,-3.19309908402794,-3.0983639932254,29.4031379642354,23.1135608204414,8,92.0983907527372,3803912960.16182,214.546191215515,3.57576985359192,0.059596164226532,-371.527442763611,4.7684787719384e-06,235,564,11,38,0,-32.1069028432097,-35.771652869038,-32.1944445688381,-3.79757537679403,-4.02529945310081,-3.91143741494742,-32.1506737060239,-25.2733756861679,8,-371.527442763611,1.00771529757193,1.09380291771536,1.04883779028855,562.066141751772
3803912970.89464,225.279013395309,3.75465022325516,0.0625775037209193,92.0890400732479,-8.5535951672051e-07,204,444,7,53,0,100.868106473123,118.056081372258,100.750078941327,-22.8648090853232,-22.6076600415169,-22.7362345634201,100.809092707225,79.2451845913904,9,92.0890400732479,3803912974.65183,229.036206483841,3.81727010806402,0.0636211684677336,-385.522539186726,7.81344361215367e-05,219,336,11,41,0,-110.478828541595,-116.013854019303,-109.122130690204,-25.2157287579355,-25.7200745981232,-25.4679016780294,-109.800479615899,-86.3132386346885,9,-385.522539186726,1.00771524367815,1.09372225526467,1.04888283501248,1924.94100390331
3803912998.78214,253.166512489319,4.21944187482198,0.070324031247033,92.1425464617133,3.0258186861083e-06,190,463,7,60,0,29.6738376796418,32.9889673412196,29.7297700077807,-2.8565277894209,-3.14179603893266,-2.99916191417678,29.7018038437113,23.3483395702011,10,92.1425464617133,3803913002.40484,256.789211988449,4.27982019980749,0.0713303366634581,-366.070979105784,9.55744534584277e-06,233,478,11,47,0,-33.0623804619503,-36.8061844129935,-33.0189067566756,-3.72997588961372,-3.76284458385103,-3.74641023673238,-33.0406436093129,-25.9729735832718,10,-366.070979105784,1.00771555206877,1.09383436671132,1.04848355273819,572.71240156044
3803913012.55232,266.936699867249,4.44894499778748,0.0741490832964579,91.9996281079069,-2.8629539365432e-07,212,507,7,64,0,3.95482406518671,4.24639513109438,3.90984962540246,-0.170437269365471,-0.0494977707687346,-0.109967520067103,3.93233684529459,3.09117710329876,11,91.9996281079069,3803913016.61252,270.996896505356,4.51661494175593,0.0752769156959322,-389.458261349346,-1.00432524259283e-06,325,524,11,50,0,-4.10329407806583,-4.54045554375443,-3.8134463872491,-0.236279470420363,-0.154027539050525,-0.195153504735444,-3.95837023265747,-3.11164173135669,11,-389.458261349346,1.00771472834135,1.09369957124841,1.05056530720076,72.1385144746972
3803913096.18804,350.572415590286,5.84287359317144,0.0973812265528573,91.5079593239263,2.62198880803743e-06,214,547,7,89,0,3.62769033161541,4.26505795874189,3.59039523009053,0.093876874128136,-0.0156105548795435,0.0391331596242963,3.60904278085297,2.83703834333211,12,91.5079593239263,3803913100.27376,354.658137321472,5.91096895535787,0.0985161492559645,-396.662223740928,-7.35590604878288e-07,326,567,11,68,0,-4.1185721527069,-4.66791863494017,-4.15838497631198,0.0707379983746496,0.0542037463530967,0.0624708723638731,-4.13847856450944,-3.25322338456637,12,-396.662223740928,1.00771189454815,1.09365805032967,1.04774835772628,70.8613628209254
3803913109.9782,364.36257314682,6.072709552447,0.101211825874117,91.311177327065,2.11746449232155e-06,190,460,7,92,0,30.1245817581962,33.3392489552393,30.1255201924872,-3.03336364914598,-3.15523359400342,-3.0942986215747,30.1250509753417,23.6810506002591,13,91.311177327065,3803913113.67773,368.062101602554,6.13436836004257,0.102239472667376,-376.291679070475,1.33764114024388e-05,235,393,11,71,0,-33.4331766523797,-37.3025929021177,-33.5396371341907,-3.47447113138715,-3.45267746409864,-3.46357429774289,-33.4864068932852,-26.3233843723565,13,-376.291679070475,1.00771076037103,1.09377545845645,1.04846919452538,581.009822668367
3803913138.28394,392.668311834335,6.54447186390559,0.109074531065093,91.0548163251785,1.61467715863678e-06,204,422,7,6,1,100.500090832634,117.506244867756,100.508284456133,-22.4135153413122,-22.3589731435119,-22.386244242412,100.504187644383,79.0055012717728,14,91.0548163251785,3803913142.31347,396.697847127914,6.61163078546524,0.110193846424421,-396.02515879906,7.84730093756755e-05,217,335,11,5,1,-110.224849255131,-115.441709492371,-108.731352970057,-24.8958989158601,-25.5882140395034,-25.2420564776817,-109.478101112594,-86.0598195896733,14,-396.02515879906,1.00770928280303,1.09366172213142,1.04884884815347,1920.42625143883
3803913166.93108,421.315457582474,7.02192429304123,0.117032071550687,90.9182856976181,6.82141230119929e-06,148,394,7,14,1,3.44845743627177,3.85755136697984,3.58548583392044,0.23831122446835,0.377112336001119,0.307711780234734,3.51697163509611,2.76466198575261,15,90.9182856976181,3803913199.28479,453.669170856476,7.56115284760793,0.126019214126799,-401.929792066909,-1.2964160800721e-06,316,612,11,15,1,-4.21877672552997,-4.94506625224424,-4.33402421401846,-0.0683022886073977,0.0496984910761322,-0.00930189876563278,-4.27640046977422,-3.36164264069087,15,-401.929792066909,1.00770849589205,1.09362769005508,1.04648187469593,71.3030968937959
3803913209.27496,463.659333944321,7.72765556573868,0.128794259428978,90.9036641308692,-5.94960518330057e-07,198,433,7,23,1,99.7050847811091,116.928982843541,99.5888894779385,-21.8530949265855,-21.9134920721982,-21.8832934993918,99.6469871295238,78.331663116824,16,90.9036641308692,3803913213.10136,467.485736131668,7.7914289355278,0.129857148925463,-393.473962501253,7.43784271985425e-05,216,333,11,18,1,-108.823120545281,-114.22621251082,-107.606948572638,-24.3617335239918,-25.1196710559919,-24.7407022899918,-108.215034558959,-85.0669335363816,16,-393.473962501253,1.00770841161886,1.09367642626345,1.04892062335073,1900.69059206186
