fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl
3803898425.6823,442.283500432968,7.3713916738828,0.122856527898047,83.5962225806722,-7.33622443449284e-07,214,498,7,3,0,99.2768034824896,117.932161763882,99.1336517534179,-22.0956913480468,-22.6805475770205,-22.3881194625336,99.2052276179538,77.9843996597365,1,83.5962225806722,3803898430.51273,447.113928794861,7.45189881324768,0.124198313554128,-47.0495973720562,7.12749046640212e-05,234,358,11,2,0,-103.370514753335,-108.882549599042,-101.896270177454,-24.3228359303251,-24.985134622775,-24.6539852765501,-102.633392465394,-80.6792513725093,1,-47.0495973720562,1.00766629428534,1.09567308548082,1.05092230618667,1802.85690316571
3803898440.51341,457.114611625671,7.61857686042786,0.126976281007131,83.4838993900162,2.57006771276966e-06,194,459,7,8,0,29.5044337394334,33.3546128328663,29.5877244454909,-3.00682654719948,-2.96975826882277,-2.98829240801112,29.5460790924622,23.2259256457546,2,83.4838993900162,3803898445.10629,461.707485437393,7.69512475728989,0.128252079288165,-39.3183952210815,8.49801862393785e-06,247,547,11,5,0,-31.2675629028547,-34.6549203056881,-31.2107096001984,-3.73423629384713,-3.78932859032749,-3.76178244208731,-31.2391362515266,-24.5568237174542,2,-39.3183952210815,1.00766564689688,1.09571764521042,1.05046538515064,542.665132857787
3803898455.51269,472.113886833191,7.86856478055318,0.131142746342553,83.2791287822755,-4.7945753030882e-06,190,453,7,12,0,4.17668312691444,4.12732089918894,4.01047867932366,-0.379538129605902,-0.469116100147837,-0.424327114876869,4.09358090311905,3.21792970847967,3,83.2791287822755,3803898463.11064,479.711832761765,7.99519721269608,0.133253286878268,-419.211384535336,-1.31991314665163e-06,274,336,11,8,0,-3.82675807951617,-4.12558782061187,-3.80996635097737,-0.43306950471271,-0.494996734742986,-0.464033119727848,-3.81836221524677,-3.0015825999229,3,-419.211384535336,1.00766446667643,1.09352808548229,1.0520896685463,72.4347796528942
3803898470.26555,486.866747140884,8.11444578568141,0.13524076309469,83.060704840151,4.72596928078016e-06,192,468,7,15,0,29.664239942867,33.2633458506072,29.7312411306357,-2.83597090491868,-2.83378594555771,-2.8348784252382,29.6977405367513,23.3451454385861,4,83.060704840151,3803898475.11964,491.7208340168,8.19534723361333,0.136589120560222,-47.4788583152595,7.15052781639538e-05,234,357,11,11,0,-109.175457664823,-114.735702959825,-107.996134117173,-26.7183667172213,-27.3756012358854,-27.0469839765534,-108.585795890998,-85.3583859183816,4,-47.4788583152595,1.00766320776331,1.09567061138285,1.02656365756033,1235.16348495971
3803898485.75524,502.356441020966,8.37260735034943,0.139543455839157,82.9605516728235,1.6192492278359e-06,153,386,7,20,0,3.91398089250702,4.16893678171637,4.01275536408085,-0.150726171463027,-0.0295201854672748,-0.090123178465151,3.96336812829393,3.1155705353132,5,82.9605516728235,3803898491.03185,507.633043527603,8.46055072546005,0.141009178757668,-55.6908385268734,-6.35479168559805e-07,298,657,11,14,0,-3.63423080161507,-4.38533196074775,-3.96670214352032,-0.242939827901389,-0.156310729159918,-0.199625278530653,-3.8004664725677,-2.98751490628616,5,-55.6908385268734,1.00766263051828,1.09562328063007,1.05256575572891,69.3842693732088
3803898499.78283,516.384027719498,8.60640046199163,0.14344000769986,82.8569569939364,1.39234057943966e-06,206,501,7,23,0,29.8645389910429,33.3004277358632,29.9726412338337,-3.04431968918633,-3.05953782664161,-3.05192875791397,29.9185901124383,23.5187534428073,6,82.8569569939364,3803898504.37141,520.97261095047,8.6828768491745,0.144714614152908,-32.069870295727,4.47701917476608e-06,248,589,11,17,0,-31.0519892169994,-34.4875763579027,-31.0522938576775,-4.23874371051796,-4.26253124813219,-4.25063747932507,-31.0521415373384,-24.409828736689,6,-32.069870295727,1.00766203343767,1.09575942297077,1.05089178673236,544.040889673467
3803898513.90885,530.510050773621,8.84183417956034,0.147363902992672,82.7756349803669,-2.48174374731795e-06,203,488,7,27,0,29.9689031894147,33.4209218191443,29.9644301502552,-3.25449447547014,-3.47996231454855,-3.36722839500935,29.9666666698349,23.5565460224556,7,82.7756349803669,3803898518.34187,534.943068981171,8.91571781635284,0.148595296939214,-34.5864025377416,4.66469248204182e-06,247,595,11,20,0,-31.0282230111092,-34.4633060413053,-31.0771961954202,-4.04328269585459,-3.99733296860915,-4.02030783223187,-31.0527096032647,-24.4102752885622,7,-34.5864025377416,1.00766156472829,1.09574491862927,1.05091937342332,544.561704189258
3803898569.37676,585.977958679199,9.76629931131999,0.162771655188666,82.5993549302805,2.38282721619434e-07,219,507,7,41,0,3.76496835544915,4.21234632645873,3.74515743310759,-0.159775392989663,-0.0864579856647497,-0.123116689327206,3.75506289427837,2.95182353315678,8,82.5993549302805,3803898574.83205,591.433243989944,9.85722073316574,0.164287012219429,-52.321127648783,-9.7366618371842e-07,309,670,11,32,0,-3.96335526653798,-4.49312512010002,-3.89293218304881,0.0170555155008132,0.0842623350655841,0.0506589252831987,-3.9281437247934,-3.0878809263448,8,-52.321127648783,1.00766054871666,1.09564270237104,1.05066063148499,68.6469267759331
3803898612.20675,628.807948827744,10.4801324804624,0.174668874674373,82.4700133161671,8.50415548540449e-07,214,507,7,52,0,3.88120409457264,4.4609707232142,3.84727251745805,0.0177624097634697,-0.127117552265951,-0.0546775712512408,3.86423830601534,3.03764541116003,9,82.4700133161671,3803898617.37206,633.973259925842,10.566220998764,0.176103683312734,-49.6643363098514,-9.60131748447922e-07,322,729,11,42,0,-3.8803085911056,-4.46943192133057,-3.91743547476304,-0.230287982646465,-0.125257470152583,-0.177772726399524,-3.89887203293432,-3.06487069420819,9,-49.6643363098514,1.00765980324044,1.09565801511301,1.05146261504291,69.3481830540473
3803898629.37621,645.977411985397,10.7662901997566,0.179438169995944,82.7704108203675,1.51765950238597e-06,199,479,7,55,0,29.8836390794473,33.5879829549688,29.9464209592099,-3.05486188994809,-3.08453610825134,-3.06969899909972,29.9150300193286,23.515954883391,10,82.7704108203675,3803898633.83133,650.432529449463,10.840542157491,0.180675702624851,-27.9684214716025,5.87609102166096e-06,247,569,11,45,0,-31.5581584798852,-35.0767833599016,-31.5478714768353,-3.92780857551783,-4.06660952044345,-3.99720904798064,-31.5530149783602,-24.8035611592789,10,-27.9684214716025,1.00766153461821,1.09578306217293,1.05054817827586,548.328171146011
3803898643.29526,659.896456003189,10.9982742667198,0.183304571111997,82.3056062498374,-3.14370716770088e-06,201,489,7,59,0,30.1056226521632,33.6630778476544,30.0833440797056,-3.41468039756362,-3.44394104400713,-3.42931072078537,30.0944833659344,23.6570216581771,11,82.3056062498374,3803898647.67865,664.279848337173,11.0713308056196,0.184522180093659,-31.6165780556884,4.78654483674976e-06,247,570,11,48,0,-31.1659360089898,-34.7329811057732,-31.2999364277611,-3.95011993264661,-4.09839706784224,-4.02425850024442,-31.2329362183754,-24.5519499232523,11,-31.6165780556884,1.00765885566019,1.09576203557606,1.05089269299488,547.187645525023
3803898671.93454,688.535740852356,11.4755956808726,0.191259928014543,82.4552293464444,1.15675173229007e-06,202,493,7,67,0,29.7186660199109,33.3023985888579,29.8163638149704,-3.01487564681201,-3.07469263688079,-3.0447841418464,29.7675149174407,23.3999944956403,12,82.4552293464444,3803898676.53926,693.140461206436,11.5523410201073,0.192539017001788,-38.3818772489697,4.48541994923773e-06,248,571,11,55,0,-31.0553331273845,-34.4558003131533,-30.9695815461534,-4.1545925436058,-4.09075877205105,-4.12267565782843,-31.012457336769,-24.3786333185473,12,-38.3818772489697,1.00765971803122,1.09572304294635,1.05078948990947,542.548533799218
3803898685.82919,702.430384397507,11.7071730732918,0.19511955122153,82.2665131322955,1.40638731630857e-07,203,490,7,72,0,30.521058364515,34.1164492090159,30.4747811322207,-3.18245673905063,-3.43148732362837,-3.3069720313395,30.4979197483678,23.974159623992,13,82.2665131322955,3803898690.40238,707.003577947617,11.7833929657936,0.196389882763227,-35.2765488894588,6.1163832152707e-06,249,564,11,58,0,-32.1381422542111,-35.7678638903051,-32.2516492480227,-3.8297715089261,-3.89792797111663,-3.86384974002137,-32.1948957511169,-25.3081382659343,13,-35.2765488894588,1.00765863034223,1.09574094088632,1.05050767479528,559.502783084421
3803898700.71145,717.312645435333,11.9552107572556,0.199253512620926,82.3301579244909,2.2052510976258e-06,216,476,7,76,0,103.138640176743,122.515543903675,103.067044080114,-23.5726196084796,-24.0935500209507,-23.8330848147152,103.102842128428,81.0482818260573,14,82.3301579244909,3803898705.70323,722.304427862167,12.0384071310361,0.200640118850602,-55.1524607616304,6.61032578224247e-05,234,357,11,61,0,-108.004535091687,-113.391188398964,-106.623103982271,-26.3905398362079,-27.0122009021571,-26.7013703691825,-107.313819536979,-84.358495945531,14,-55.1524607616304,1.00765899716677,1.0956263836362,1.05076246382109,1880.31933663365
3803898715.19197,731.793164253235,12.1965527375539,0.203275878959232,78.085810521149,1.18134293788749e-06,217,460,7,81,0,100.171453378181,119.387463782998,100.380002399506,-22.9007953431875,-23.4991730627902,-23.1999842029889,100.275727888843,78.8259109688221,15,78.085810521149,3803898719.88348,736.484675168991,12.2747445861499,0.204579076435831,-58.4987686689398,7.15975337406255e-05,235,358,11,65,0,-104.924919443601,-110.674933521331,-103.389091236444,-24.8780179002978,-25.5046766263299,-25.1913472633139,-104.157005340022,-81.8769507094767,15,-58.4987686689398,1.00763453435117,1.09560709678112,1.05078570976511,1826.73844252594
3803898728.7417,745.342895269394,12.4223815878232,0.207039693130387,78.3459257058928,3.67601683490945e-07,215,506,7,86,0,100.821313230572,120.208564152691,100.828791615538,-22.7563182609556,-23.4261238668795,-23.0912210639176,100.825052423055,79.2577303905145,16,78.3459257058928,3803898733.523,750.124200820923,12.502070013682,0.208367833561367,-51.8975166782368,6.56210696677716e-05,235,357,11,68,0,-105.40495298735,-110.960367630716,-104.127781322503,-25.2354059670981,-25.9043669211486,-25.5698864441234,-104.766367154927,-82.3559649353587,16,-51.8975166782368,1.00763603355687,1.0956451439047,1.05079699417838,1836.32915600588
3803898745.26499,761.866191148758,12.6977698524793,0.211629497541322,77.2812392559217,-1.75550392437797e-06,155,395,7,91,0,3.7941108056334,4.25895775001445,3.91213418249654,-0.228543181714714,-0.170774681224652,-0.199658931469683,3.85312249406497,3.02890736436054,17,77.2812392559217,3803898750.73419,767.335386753082,12.7889231125514,0.213148718542523,-88.0206955885863,1.48594197730222e-07,289,618,11,71,0,-3.4483520663897,-4.17248707975544,-3.88474168882457,-0.258078194061989,-0.230912304000963,-0.244495249031476,-3.66654687760713,-2.88224183281574,17,-88.0206955885863,1.00762989710624,1.09543694354297,1.0526227404136,67.3197589151919
3803898759.50292,776.104120492935,12.9350686748823,0.215584477914704,77.6146745653087,-5.53227048642412e-07,218,504,7,95,0,101.42372093016,120.698105060287,101.574496557504,-23.2045732950663,-23.8654923643796,-23.5350328297229,101.499108743832,79.7876004263465,18,77.6146745653087,3803898764.16611,780.767307519913,13.0127884586652,0.21687980764442,-48.5027956352425,6.23190286253335e-05,236,362,11,1,1,-104.092854297168,-107.164533301939,-102.704818307047,-27.3282470653806,-26.8951143917818,-27.1116807285812,-103.398836302108,-81.2809603702368,18,-48.5027956352425,1.00763181890144,1.09566470979482,1.05124016238101,1829.64070771757
3803898773.26908,789.870277166367,13.1645046194394,0.219408410323991,77.4346611545026,1.28250665982847e-06,216,500,7,3,1,101.290109398395,120.50776655824,101.200292983537,-22.8844280622926,-23.3637672751581,-23.1240976687253,101.245201190966,79.5880058227682,19,77.4346611545026,3803898778.2873,794.888496398926,13.2481416066488,0.220802360110813,-63.2774062942322,6.32925440487202e-05,233,414,11,4,1,-105.263299956066,-109.405827006093,-103.630407518546,-26.8657863207908,-27.2697578281677,-27.0677720744793,-104.446853737306,-82.1047981102358,19,-63.2774062942322,1.00763078137212,1.09557955451845,1.05092069470788,1838.48845354543
3803898786.99294,803.594133138657,13.3932355523109,0.223220592538516,77.1689684296306,5.20056908101572e-07,192,488,7,7,1,3.98342644292417,3.9560892017984,3.86511730785147,-0.029905733021677,-0.173680855074359,-0.101793294048018,3.92427187538782,3.08483729791194,20,77.1689684296306,3803898792.17557,808.776765108109,13.4796127518018,0.22466021253003,-58.3646447542211,4.0856278616391e-07,286,680,11,7,1,-3.68453965289075,-4.38879225823458,-3.81928609562063,-0.197227697250763,-0.118147386971226,-0.157687542110995,-3.75191287425569,-2.9493473287643,20,-58.3646447542211,1.00762925001959,1.09560786982071,1.0526062841298,68.5869435132837
3803898800.87553,817.476727724075,13.6246121287346,0.227076868812243,77.1414216803856,-5.590877869672e-07,218,478,7,10,1,103.955119414031,123.650830577419,104.008901341445,-24.1575746830426,-24.7512176676086,-24.4543961753256,103.982010377738,81.7393886333146,21,77.1414216803856,3803898805.81287,822.414069652557,13.706901160876,0.228448352681266,-57.3686848494963,8.09734495010979e-05,234,357,11,10,1,-108.956962191456,-113.993725124663,-107.568916596515,-27.2363670059379,-27.6484287864112,-27.4423978961745,-108.262939393986,-85.1045911265109,21,-57.3686848494963,1.00762909125053,1.09561361015749,1.05073403753031,1896.28791328911
3803898815.86516,832.466354846954,13.8744392474492,0.231240654124154,77.1299480868738,7.72501635386711e-07,218,416,7,14,1,104.205667191584,123.449296706403,104.257174435155,-23.7853394587702,-24.4534218008069,-24.1193806297885,104.23142081337,81.9354480906503,22,77.1299480868738,3803898820.87499,837.476182937622,13.9579363822937,0.232632273038228,-61.4212358131217,8.22867410397106e-05,236,358,11,13,1,-108.071663274124,-113.200812323873,-106.873676669908,-27.2680534522028,-27.4361727792032,-27.352113115703,-107.472669972016,-84.4833669438594,22,-61.4212358131217,1.00762902512107,1.09559025278414,1.05093628338801,1891.95648419067
3803898857.08157,873.682763338089,14.5613793889682,0.242689656482802,76.0420499267782,-1.31847358654405e-06,194,476,7,25,1,29.3106210319229,32.9238792641711,29.2806691987484,-3.10604758651903,-3.26116506757319,-3.18360632704611,29.2956451153356,23.0290615910112,23,76.0420499267782,3803898861.62887,878.23006606102,14.6371677676837,0.243952796128061,-37.7805490587812,3.17287164625192e-06,248,613,11,21,1,-30.5785109370299,-33.8008636609942,-30.3270868049626,-3.54355734706224,-3.66284893271222,-3.60320313988723,-30.4527988709963,-23.9386904796895,23,-37.7805490587812,1.00762275488691,1.09572650877495,1.05082147497112,533.095923817095
3803898901.71131,918.312503576279,15.305208392938,0.255086806548966,81.6116648092938,2.59200302960018e-07,215,503,7,36,1,100.002490656147,119.064678019218,99.9402081830109,-22.5299150147294,-22.9688459821527,-22.749380498441,99.9713494195792,78.5866416000108,24,81.6116648092938,3803898906.36564,922.966835737228,15.3827805956205,0.256379676593675,-33.1713206668159,4.94232630539997e-05,236,422,11,30,1,-104.361718488114,-109.304669342366,-102.736134324321,-25.4967584239894,-26.1558375134757,-25.8262979687325,-103.548926406218,-81.3989449456967,24,-33.1713206668159,1.00765485604379,1.09575307462678,1.05092964897273,1815.99116439565
3803898942.27175,958.872945308685,15.9812157551448,0.266353595919079,81.5403323219566,3.36024048908928e-07,242,578,7,47,1,3.75155566798244,3.7647492019518,3.78241735961306,-0.113307662492219,-0.0565562932564399,-0.0849319778743295,3.76698651379775,2.96119659072963,25,81.5403323219566,3803898947.24332,963.844521284103,16.0640753547351,0.267734589245584,-39.4972678828294,-1.05837475972196e-06,318,745,11,39,1,-3.56940544149271,-3.58289352294125,-3.58289352294125,-0.364323208964385,-0,-0.182161604482192,-3.57614948221698,-2.81118119639995,25,-39.4972678828294,1.00765444491027,1.09571661425595,1.05282983107784,65.5488938101304
3803898969.28066,985.881860017776,16.4313643336296,0.27385607222716,81.4439255576834,-7.31829808440962e-07,218,511,7,55,1,3.91926622628696,4.26462576560001,3.99352971120578,-0.195551924483557,-0.184715131969075,-0.190133528226316,3.95639796874637,3.11009135119255,26,81.4439255576834,3803898974.18375,990.784950017929,16.5130825002988,0.275218041671647,-34.8066375494788,-1.10515005617338e-07,325,809,11,45,1,-3.92969960544053,-4.35821035255641,-3.65749073633822,-0.0458057279486308,-0.172993939072755,-0.109399833510693,-3.79359517088938,-2.98211343350966,26,-34.8066375494788,1.00765388925809,1.09574364927783,1.05262401262852,69.1590575719255
3803898982.81771,999.418902873993,16.6569817145665,0.277616361909442,81.3681443762553,7.14643592807951e-07,215,498,7,58,1,3.92961764179946,4.29220358862902,3.88435704178644,0.00257107964381684,0.025129337160344,0.0138502084020804,3.90698734179295,3.07125007062403,27,81.3681443762553,3803898988.11961,1004.72080731392,16.7453467885653,0.279089113142755,-53.9108663607763,2.56266789856883e-07,322,712,11,48,1,-4.20561016301167,-4.7411116926005,-4.12649371288123,0.155858420323808,0.192315973507075,0.174087196915442,-4.16605193794645,-3.27489858279644,27,-53.9108663607763,1.00765345248398,1.09563353971745,1.05023185142893,72.1316476599912
