real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num
3809690714.03990,0.0952842235565186,0.00158807039260864,2.64678398768107e-05,-0.000501424454331865,194.741439560365,137.52276079391,147.634544996095,137.624348395306,0.22236243307236,-0.045491747672181,0.0884353427000895,137.573554594608,109.639284549915,121,223,5,1,0
3809690714.22777,0.283154964447021,0.00471924940745036,7.86541567908393e-05,-8.11937247450576e-05,194.712511154003,120.908941901079,128.631077273226,120.907977326223,0.184348653358786,0.298753692851667,0.241551173105227,120.908459613651,96.3580322332717,115,216,5,2,0
3809690714.28255,0.337927579879761,0.00563212633132935,9.38687721888224e-05,-0.000140839590324247,194.741497249539,101.665932610083,107.696376906966,101.803795790218,1.07048931012429,0.31500849190859,0.69274890101644,101.73486420015,81.0776297636234,107,203,5,3,0
3809690714.34010,0.395480632781982,0.00659134387969971,0.000109855731328328,2.16050116863889e-05,194.719687864004,167.519113786617,179.86704235281,167.7948467157,0.52366704862637,0.502411365772525,0.513039207199448,167.656980251159,133.614279420943,128,233,5,4,0
3809690714.53461,0.589987993240356,0.00983313322067261,0.000163885553677877,9.47002749020355e-05,194.763953248863,139.259014357868,148.998773523808,138.984810539377,0.540058811811502,0.465986977089014,0.503022894450258,139.121912448622,110.873248794291,120,223,5,5,0
3809690714.84963,0.905011415481567,0.0150835235913595,0.000251392059855991,5.50992704459435e-05,194.790129501579,193.412033334699,207.624846741339,193.309380839848,0.343654375435941,0.379401225083056,0.361527800259499,193.360707087274,154.098872036743,131,237,5,6,0
3809690715.38728,1.4426634311676,0.02404439051946,0.000400739841991001,0.000143821239951342,194.864622693312,158.062341524789,168.722500001794,158.360417007942,0.480205864318572,0.331082538133083,0.405644201225828,158.211379266366,126.086604954957,123,226,5,9,0
3809690715.47170,1.52708721160889,0.0254514535268148,0.00042419089211358,-0.000100252712761862,194.871076284478,114.164255358549,120.941965520292,113.905681830013,0.772543799079834,0.70661209657572,0.739577947827777,114.034968594281,90.8802015561138,111,210,5,10,0
3809690715.56843,1.62380909919739,0.0270634849866231,0.000451058083110385,-8.39187018372472e-05,194.875071156693,133.163702742025,141.026518074667,132.94553705146,0.0884407447493619,0.276182404975646,0.182311574862504,133.054619896743,106.037918221468,115,214,5,11,0
3809690715.84789,1.9032735824585,0.0317212263743083,0.000528687106238471,9.67434716809604e-05,194.932746760276,160.100184093114,170.979053351402,160.243565573693,0.328727241735256,0.386636550094717,0.357681895914986,160.171874833404,127.649022470204,122,225,5,12,0
3809690715.95327,2.00865030288696,0.0334775050481161,0.000557958417468601,9.47443041660402e-05,194.957661863428,134.109832048363,142.950345423352,134.06214314226,0.22622115877837,0.2871953768463,0.256708267812335,134.085987595312,106.859867010334,119,220,5,13,0
3809690715.99804,2.05341982841492,0.0342236638069153,0.000570394396781921,5.37819914714198e-05,194.951845966132,251.818001634908,268.342303598159,251.684798198062,-1.23981250126145,-1.41930899059764,-1.32956074592954,251.751399916485,200.633351755852,127,232,5,14,0
3809690716.07137,2.12674880027771,0.0354458133379618,0.000590763555632697,-1.12531475566336e-05,194.982754728417,155.923908293457,166.342097654169,155.793948345734,0.426530026826447,0.342685014179286,0.384607520502867,155.858928319596,124.211818485257,124,227,5,15,0
3809690716.10603,2.16141581535339,0.0360235969225566,0.000600393282042609,-0.000359574178516232,195.018306266593,121.768221846611,129.554933235773,121.831043905945,0.355488011650464,0.287271412816892,0.321379712233678,121.799632876278,97.0682530254316,119,220,5,16,0
3809690716.20570,2.26107931137085,0.0376846551895142,0.000628077586491903,4.58730459103222e-05,195.016715306825,105.599678478591,113.638012437603,105.62347811584,0.286123605181844,0.433328761180389,0.359726183181117,105.611578297216,84.1671781965274,113,212,5,17,0
3809690716.70151,2.75689148902893,0.0459481914838155,0.000765803191396925,1.7084043646678e-05,195.165903222058,171.44637089169,181.042414617396,173.93348576953,0.390072401165591,-16.5715674182498,-8.0907475085421,172.68992833061,137.625288864102,219,325,5,18,0
3809690716.87723,2.93261194229126,0.0488768657048543,0.000814614428414239,6.47154277074379e-05,195.15941044416,163.517246282742,175.719689502063,163.476968921643,0.179313411166169,0.218633659717375,0.198973535441772,163.497107602192,130.299067697328,127,232,5,20,0
3809690717.23083,3.28621315956116,0.0547702193260193,0.000912836988766988,0.000161971953917756,195.303154304969,185.921603904909,200.336278762613,185.785045406977,0.136704244129275,0.229037719394381,0.182870981761828,185.853324655943,148.115861413523,130,235,5,27,0
3809690717.30633,3.36171627044678,0.0560286045074463,0.000933810075124105,-0.000231295761583738,195.384063096688,99.6958317458309,105.386511901146,99.4613490539761,0.0618818342862219,0.285868191833408,0.173875013059815,99.5785903999035,79.359186728191,115,215,5,28,0
3809690717.36042,3.41580486297607,0.0569300810496012,0.000948834684160021,0.000103420210725447,195.378089169014,113.846599330093,121.630610798453,113.641774335605,0.166326179245182,0.303622045686619,0.2349741124659,113.744186832849,90.6484629463388,116,218,5,29,0
3809690717.53908,3.59446239471436,0.0599077065785726,0.000998461776309543,8.13678884400654e-05,195.459239110348,239.235687774154,255.482969943918,239.381123493216,-0.634882236867314,-0.223955809536717,-0.429419023202015,239.308405633685,190.716903824817,138,247,5,30,0
3809690717.60961,3.66499257087708,0.0610832095146179,0.0010180534919103,-0.000120737459400503,195.484703249491,128.625452461518,137.493196365915,128.367242434492,0.12288230956561,0.0025585541839123,0.062720431874761,128.496347448005,102.405201660965,126,229,5,31,0
3809690717.93370,3.98907923698425,0.0664846539497375,0.00110807756582896,-9.38061342580882e-05,195.660479392998,388.379658769132,331.381936459596,404.876923320228,-34.8215024445704,-31.0621314551621,-32.9418169498663,396.62829104468,316.093032491134,126,234,5,34,0
3809690718.26257,4.31795573234558,0.0719659288724264,0.00119943214787377,0.000134092158605136,195.830691892649,128.857310936653,135.368778522255,169.911954579828,0.355870011466782,-3.26520580526426,-1.45466789689874,149.384632758241,119.052126745057,220,323,5,35,0
3809690718.31658,4.37195825576782,0.0728659709294637,0.00121443284882439,-0.000188914565517171,195.836321984284,192.152538747488,205.575747486972,191.885122059314,0.0802210541879452,0.22297425154365,0.151597652865797,192.018830403401,153.029463021271,133,240,5,36,0
3809690718.64168,4.69706583023071,0.0782844305038452,0.00130474050839742,0.000336093363421336,196.052895164677,42.9804848318818,45.1406462253458,42.8078679096634,0.071153624485019,-0.0318924250534828,0.0196305997157681,42.8941763707726,34.184526397588,118,218,5,39,0
