real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num
3809685940.95691,34.2817809581757,0.571363015969594,0.00952271693282657,0.000101918144503487,123.371602204125,117.860813456058,127.298717017984,118.234821809325,1.38110178535563,1.19338206239828,1.28724192387695,118.047817632692,94.0782427703184,139,247,5,1,0
3809685941.89154,35.2164013385773,0.586940022309621,0.00978233370516035,4.74857611133872e-05,123.416059829668,107.188678988707,113.515455081359,107.336369935519,0.967364509567925,0.778715759739097,0.873040134653511,107.262524462113,85.4829002252501,124,228,5,3,0
3809685941.96536,35.2902233600616,0.588170389334361,0.00980283982223935,8.42623852476227e-05,123.401830967465,237.217786839534,253.746963808381,237.266197860094,1.46434997392576,1.38895826876421,1.42665412134498,237.241992349814,189.070075154179,153,265,5,4,0
3809685942.0672,35.3920686244965,0.589867810408274,0.00983113017347124,0.000197475476949968,123.386173122776,136.676870490043,144.948061706752,136.458045608076,1.31885285398843,1.28098851247219,1.29992068323031,136.567458049059,108.837475613836,131,237,5,5,0
3809685942.39459,35.7194583415985,0.595324305693309,0.00992207176155514,0.000123676822535295,123.372583902101,144.077978900816,153.486121381104,144.181046707647,1.6503563364849,1.25681474577942,1.45358554113216,144.129512804232,114.864057361524,130,237,5,7,0
3809685942.56229,35.8871529102325,0.598119215170542,0.00996865358617571,6.67623601065248e-05,123.414763821579,164.485375034651,176.4992562936,164.411020706959,2.14713055496828,1.90932853425999,2.02822954461413,164.448197870805,131.057039364923,136,245,5,8,0
3809685944.34948,37.6743485927582,0.627905809879303,0.0104650968313217,-0.000107691586077958,123.350252751437,102.337616652815,108.029429564229,102.23875445564,1.54319399318159,1.51243990520568,1.52781694919364,102.288185554228,81.5185993785032,131,237,5,9,0
3809685944.66583,37.9906930923462,0.63317821820577,0.0105529703034295,-0.164521253669815,150.270445281194,72.505210246503,86.5033589290934,88.7015655644754,30.6130895715549,24.6606611447091,27.636875358132,80.6033879054892,64.236893553403,279,236,5,11,0
3809685945.01438,38.339243888855,0.638987398147583,0.0106497899691264,-6.39824297031778e-05,123.348585541947,97.5815723681291,103.92080183714,97.7300982676345,0.560840673906598,0.69103601854664,0.625938346226619,97.6558353178818,77.8268465035106,122,227,5,12,0
3809685945.13361,38.458473443985,0.64097455739975,0.0106829092899958,-6.5885494899346e-05,123.394881777672,126.206073090517,134.088609358994,125.818487933093,1.11467039761106,0.946294568571976,1.03048248309152,126.012280511805,100.425523790014,130,235,5,13,0
3809685945.77596,39.1008207798004,0.651680346330007,0.0108613391055001,9.86829950172111e-05,123.386294827567,143.874766430679,154.569400555049,144.071380686545,0.975027267258937,1.1328760213581,1.05395164430852,143.973073558612,114.739383058996,139,247,5,14,0
3809685946.04049,39.3653554916382,0.65608925819397,0.0109348209698995,-6.87594673682891e-06,123.418154286355,97.7290817809926,105.004853920097,97.8916261736474,0.853309563346923,0.61921689979951,0.736263231573216,97.81035397732,77.9499901943191,120,222,5,16,0
3809685946.1449,39.4697675704956,0.65782945950826,0.0109638243251377,0.000152903764131525,123.431033367394,171.755672543912,184.658644508308,171.372954165723,1.09429685340319,1.24299194159226,1.16864439749773,171.564313354818,136.728229680102,145,254,5,17,0
3809685946.25272,39.5775849819183,0.659626416365306,0.0109937736060884,0.000216190289394074,123.463345852239,130.485761713102,139.097992640026,130.443626115592,0.645200330190701,0.549137958737158,0.597169144463929,130.464693914347,103.973875952706,137,244,5,18,0
3809685946.60491,39.9297783374786,0.665496305624644,0.0110916050937441,7.09949225476547e-05,123.435277081421,101.879731577434,107.487879799135,101.757061826183,0.902738626578776,0.781015156984363,0.84187689178157,101.818396701808,81.1442010152381,129,234,5,19,0
3809685946.77707,40.1019389629364,0.668365649382273,0.0111394274897046,0.000135434090019625,123.446497809816,153.569540533407,164.329678495877,153.704666985083,1.68908377058617,1.60258786838358,1.64583581948487,153.637103759245,122.441134752397,136,243,5,21,0
3809685947.21975,40.5446186065674,0.67574364344279,0.0112623940573798,-2.67941859466052e-06,123.39002992545,168.293302454554,180.44272027062,168.224192230163,1.11061968397368,1.17045331437694,1.14053649917531,168.258747342359,134.093857880184,139,246,5,25,0
3809685947.23125,40.5561146736145,0.675935244560242,0.0112655874093374,0.000344555926351795,123.395820993379,189.772467143231,203.56950656397,189.832052314905,2.05903624401677,1.9770791074868,2.01805767575178,189.802259729068,151.26296637441,141,251,5,26,0
3809685947.25154,40.5764031410217,0.676273385683695,0.0112712230947283,7.17306321844835e-05,123.433343794688,172.163378398677,185.094539617521,172.2850838836,1.24215879589136,1.39634352274542,1.31925115931839,172.224231141138,137.254151352819,144,256,5,27,0
3809685947.32455,40.6494174003601,0.677490290006002,0.0112915048334334,3.49373891617721e-05,123.396819466132,139.90803918708,149.87657901151,140.014007908822,1.07758647841136,1.55063220894593,1.31410934367865,139.961023547951,111.541978630191,130,237,5,28,0
3809685947.46991,40.7947738170624,0.67991289695104,0.0113318816158507,-3.30123768375973e-05,123.423798468938,204.133712283627,218.016236137531,203.877491741365,1.81713733234923,1.8818875261544,1.84951242925182,204.005602012496,162.582324159134,148,259,5,30,0
3809685947.56779,40.8926589488983,0.681544315814972,0.0113590719302495,1.4337377449766e-05,123.458247709915,112.079144207625,119.584545929563,112.215043728616,1.29588792985333,1.10772650685427,1.2018072183538,112.147093968121,89.3756593209285,132,237,5,32,0
3809685947.74389,41.0687527656555,0.684479212760925,0.0114079868793488,0.000126895096665478,123.455088021532,118.456422669887,126.049800229545,118.180691503215,0.803880756416881,0.755507153579593,0.779693954998237,118.318557086551,94.2940086572147,128,232,5,33,0
3809685947.87535,41.2002148628235,0.686670247713725,0.0114445041285621,9.03136936501488e-05,123.453727775779,143.949699083198,153.775814514335,143.855841004851,1.42370982944835,1.6357031596597,1.52970649455402,143.902770044024,114.683354652495,133,238,5,34,0
3809685947.97809,41.3029522895813,0.688382538159688,0.0114730423026615,-2.06157842624612e-06,123.445885441123,155.84016531879,166.865108084457,155.643163867328,0.865827446302245,1.07970612723307,0.972766786767659,155.741664593059,124.118365124114,139,247,5,35,0
3809685948.28539,41.6102590560913,0.693504317601522,0.0115584052933587,0.000164445243304918,123.414334578667,143.997530476467,153.333478790792,144.096300273984,0.913974083197765,1.05182687430056,0.982900478749162,144.046915375225,114.798231316332,132,237,5,36,0
3809685948.39792,41.7227826118469,0.695379710197449,0.0115896618366241,0.000160015439929229,123.410333291185,121.147867114187,128.291837008484,120.907332520789,0.880532375817578,0.7054668090013,0.792999592409439,121.027599817488,96.4529810535472,129,234,5,37,0
3809685948.58911,41.9139804840088,0.698566341400147,0.0116427723566691,0.00017934463627452,123.398930935807,181.727795823604,193.770624859388,181.762581292632,2.53279166990311,2.08780062025972,2.31029614508142,181.745188558118,144.841881149464,140,249,5,38,0
3809685948.7049,42.0297658443451,0.700496097405752,0.0116749349567625,0.000113706085204969,123.430079049183,150.445280385564,160.651336453635,150.418864929444,0.868209862706784,1.16200050106736,1.01510518188707,150.432072657504,119.886884278965,137,245,5,39,0
3809685948.95636,42.2812247276306,0.704687078793844,0.0117447846465641,0.000153014361651521,123.421344234952,69.3756176678031,73.4943002911481,69.0760146850423,-0.0441487029171802,-0.181850867014857,-0.112999784966018,69.2258161764227,55.1695344380118,128,234,5,40,0
3809685949.93435,43.2592165470123,0.720986942450205,0.0120164490408368,2.79999798251731e-05,123.422911246047,119.582575109908,127.799993296122,119.397369986564,0.651646950127431,0.61072465388967,0.631185802008551,119.489972548236,95.2275685518346,137,243,5,41,0
3809685950.56074,43.885605096817,0.731426751613617,0.0121904458602269,0.00038076720584839,123.419793836425,257.249250295067,274.44179760707,257.096673955926,1.18490023148519,1.23087824041942,1.20788923595231,257.172962125496,204.954067343165,155,269,5,42,0
3809685952.34598,45.6708419322968,0.761180698871613,0.0126863449811935,0.000222518741825968,123.448385364608,125.41149879953,132.544635112284,125.303762874606,1.0508773387297,0.949385803566612,1.00013157114815,125.357630837068,99.9038005403634,132,238,5,43,0
3809685952.48657,45.8114404678345,0.763524007797241,0.012725400129954,9.09771186959277e-05,123.421255897778,154.905833940546,164.108215380012,154.606035107569,1.89620902020221,1.31391153564363,1.60506027792292,154.755934524057,123.332787257473,132,239,5,44,0
3809685953.44346,46.7683246135712,0.779472076892853,0.0129912012815475,0.000155067614906822,123.434412142059,110.993305019831,118.701301767703,110.969447662696,0.69060710822592,0.75332004467952,0.72196357645272,110.981376341263,88.4466403174399,123,226,5,47,0
3809685953.60074,46.9256019592285,0.782093365987142,0.013034889433119,3.6235946073623e-05,123.45950360419,115.24480974953,122.482724241203,115.096723360941,0.987591107280383,1.03875775964769,1.01317443346403,115.170766555235,91.785376073115,130,236,5,48,0
