labels,avg_buoyant_mass_h2o,avg_density_h2o_gcm3,total_volume_fl,total_density_gcm3
data\day0\2024-09-30_mouse_naive_t_h2o1.csv,9.7535999216865,1.00537848828944,101.397,1.10157068255245
data\day0\2024-09-30_mouse_naive_t_h2o2.csv,9.72622035557229,1.00561620517915,101.397,1.10153837600839
data\day0\2024-09-30_mouse_naive_t_h2o3.csv,9.68819926761222,1.00587110590855,96.0166,1.10677240076395
data\day1\2024-10-01_naive_mouseTcellActivated+dmso_24h_h2o_rep1.csv,11.3140347838746,1.00819553930013,238.68,1.0555980647898
data\day1\2024-10-01_naive_mouseTcellActivated+dmso_24h_h2o_rep2.csv,11.7834208070237,1.00796978436994,269.265,1.05173121198595
data\day1\2024-10-01_naive_mouseTcellActivated+wnk-in-11-10uM_24h_h2o_rep1.csv,9.20131805425509,1.00818565534632,119.3,1.08531321657227
data\day1\2024-10-01_naive_mouseTcellActivated+wnk-in-11-10uM_24h_h2o_rep2.csv,8.47488385378343,1.00810754503639,113.079,1.08305412091505
data\day1\2024-10-01_naive_mouseTcellActivated+wnk46310uM_24h_h2o_rep1.csv,7.16970289825906,1.00779800677015,85.4521,1.09170118642587
data\day1\2024-10-01_naive_mouseTcellActivated+wnk46310uM_24h_h2o_rep2.csv,6.46356389817527,1.00739883419541,85.6945,1.08282449042977
data\day2\2024-10-02_activated_tcell_48h_10uMwnk463_h2o_rep1.csv,6.70089344463124,1.00979146317894,87.8559,1.08606287403048
data\day2\2024-10-02_activated_tcell_48h_10uMwnk463_h2o_rep2.csv,6.08724342221422,1.00885950800863,92.1447,1.07492129368067
data\day2\2024-10-02_activated_tcell_48h_10uMwnk463_h2o_rep3.csv,6.85413963085629,1.00884890632387,100.497,1.07705133655419
data\day2\2024-10-02_activated_tcell_48h_10uMwnkin11_h2o_rep1.csv,10.2361890956446,1.01057971712813,175.052,1.06905485077782
data\day2\2024-10-02_activated_tcell_48h_10uMwnkin11_h2o_rep2.csv,10.6480223577267,1.00952269121474,203.727,1.06178882362589
data\day2\2024-10-02_activated_tcell_48h_10uMwnkin11_h2o_rep3.csv,7.41083705745598,1.01072332415222,122.926,1.07101030215082
data\day2\2024-10-02_activated_tcell_48h_dmso_h2o_rep1.csv,22.4600721916048,1.01062477876799,442.753,1.06135300012754
data\day2\2024-10-02_activated_tcell_48h_dmso_h2o_rep2.csv,24.5398446431007,1.01042436494093,424.695,1.06820664314788
data\day2\2024-10-02_activated_tcell_48h_dmso_h2o_rep3.csv,23.226097850218,1.00949714739465,464.131,1.05953926449137
