real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num
3810909052.73087,140.788966178894,2.34648276964823,0.0391080461608039,-3.60300457169269e-05,649.51078592304,60.9985504050572,65.2106279778382,61.0380791067711,-2.97875322576238,-2.52193268411201,-2.7503429549372,61.0183147559141,44.6161866747863,144,258,5,2,0
3810909052.8088,140.866891145706,2.3477815190951,0.0391296919849184,-0.000139906544661951,649.543949478323,17.3661327696497,19.4740816566297,17.1390687835953,-0.476220875527148,-0.394091972891842,-0.435156424209495,17.2526007766225,12.6149871551598,169,277,5,3,0
3810909052.8882,140.946291685104,2.34910486141841,0.0391517476903068,-1.98534215071397e-06,649.537899167255,41.7544876381759,43.3363150505788,41.829864145053,-1.28697843961115,-1.45459675600202,-1.37078759780659,41.7921758916144,30.5581615714001,155,265,5,4,0
3810909053.22824,141.286333322525,2.35477222204208,0.0392462037007014,1.3197690185268e-06,649.458781206753,62.4518634775296,131.627796286855,69.6646678018392,-14.8188833597871,-31.4819301727568,-23.150406766272,66.0582656396844,48.3013653029006,222,337,5,7,0
3810909053.48865,141.546746730804,2.35911244551341,0.0393185407585568,2.33569971152362e-05,649.408278610055,38.0832402074222,59.979513507931,52.1717755910093,-16.0037512951556,-6.17230409639389,-11.0880276957748,45.1275078992157,32.9969341935022,175,294,5,8,0
3810909053.51659,141.574688196182,2.35957813660304,0.0393263022767173,-0.00011887274746427,649.346848301711,43.6456686657632,45.2356860055417,43.4633366326715,-1.33217426447259,-1.60244365941456,-1.46730896194358,43.5545026492174,31.8467631972188,154,268,5,10,0
3810909053.82251,141.880608320236,2.36467680533727,0.0394112800889545,9.70893454829764e-05,649.341058826497,37.0407691305449,38.1014034555124,36.8307152092214,-1.35678880052623,-1.1575563390782,-1.25717256980221,36.9357421698832,27.007169473876,156,268,5,13,0
3810909053.89058,141.948670864105,2.36581118106842,0.0394301863511403,3.59631094696114e-05,649.284742505334,63.4953393078579,85.8089799440497,85.8089799440497,-11.3537225166514,0,-5.67686125832572,74.6521596259538,54.5851635344399,153,268,5,14,0
3810909053.94183,141.999927759171,2.36666546265284,0.0394444243775474,0.000177131517995196,649.317579056234,28.1772458691369,28.5650419243303,28.2992055918417,-0.73670256232427,-0.828558653882609,-0.78263060810344,28.2382257304893,20.6476031925177,158,270,5,15,0
3810909054.16935,142.227442502975,2.37045737504959,0.0395076229174932,-3.32122488425113e-05,649.24924626925,23.7487963359945,25.5618361111921,23.7284882379062,-0.292163705007853,-0.673741679296009,-0.482952692151931,23.7386422869504,17.3575376494301,110,208,5,17,0
