real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num
3812558938.26879,206.571774244308,3.44286290407181,0.0573810484011968,7.94894197546614e-07,151.733939644142,48.9804964948842,51.4737623109561,48.9285599805059,0.501004565718608,0.545583016577287,0.523293791147947,48.9545282376951,38.2566211080054,157,270,5,2,0
3812558938.42441,206.72739481926,3.44545658032099,0.0574242763386832,-6.69634951355967e-05,151.724143979302,35.6756307569197,38.4613782489327,35.425759806611,0.318227327694617,0.383210118938061,0.350718723316339,35.5506952817653,27.7818932891567,146,255,5,3,0
3812558939.59374,207.896724939346,3.46494541565577,0.0577490902609295,-1.36415007157213e-05,151.718522148264,45.303009331916,47.893050362873,45.060004022057,0.452899879719411,0.365180353050534,0.409040116384972,45.1815066769865,35.3081082435873,150,262,5,4,0
3812558940.02845,208.331434726715,3.47219057877858,0.0578698429796431,3.91284832469169e-05,151.623755990522,35.6599259501757,37.733690166321,35.7447673489186,0.194274331585251,0.385955146750515,0.290114739167883,35.7023466495472,27.9004046736311,143,251,5,5,0
3812558940.52911,208.832096099854,3.48053493499756,0.0580089155832926,-0.000141323585968087,151.633665695186,40.1359844007742,42.3019323524258,39.9249629984829,0.372272329629476,0.2754014099077,0.323836869768588,40.0304736996286,31.2827172527313,143,250,5,6,0
3812558940.73276,209.035741090775,3.48392901817958,0.0580654836363263,-4.41866979227268e-05,151.615816638794,41.536879139887,43.1743462140315,41.287955136521,0.314349746503549,0.205632730217115,0.259991238360332,41.412417138204,32.3626681464581,152,264,5,7,0
3812558940.90797,209.210950136185,3.48684916893641,0.0581141528156069,-3.64439620419549e-05,151.614362205711,46.6784606864242,49.2736320392105,46.5703851721782,0.572130911932954,0.237357680589516,0.404744296261235,46.6244229293012,36.4357077189078,147,256,5,8,0
3812558941.08080,209.38377904892,3.48972965081533,0.0581621608469221,-2.32115963886458e-05,151.626677586073,36.4699664894499,38.802482024255,36.4458293827245,0.23674734497105,0.142266935318992,0.189507140145021,36.4578979360872,28.4908472810336,142,254,5,10,0
3812558941.15374,209.456722021103,3.49094536701838,0.0581824227836397,-8.16567556659052e-05,151.631437819868,66.9127437568051,71.0285345389976,66.5983617545516,0.608621788590734,0.575165768769413,0.591893778680074,66.7555527556784,52.1676335277804,154,268,5,11,0
3812558941.33015,209.633136987686,3.49388561646144,0.0582314269410239,3.82541551279741e-05,151.649622723608,66.0706887181086,69.6973621061908,65.9458542660316,0.751249479317126,0.642247472647476,0.696748475982301,66.0082714920701,51.5836537164713,152,267,5,12,0
3812558941.92013,210.223115205765,3.50371858676275,0.0583953097793791,-0.000145365522804803,151.735204484741,65.5009985802944,69.224010078724,65.4151274593488,0.680580317711097,0.818996028664511,0.749788173187804,65.4580630198216,51.153680886358,153,266,5,14,0
3812558943.36572,211.668700695038,3.52781167825063,0.0587968613041772,-0.000117663516243415,151.837895442567,58.9737739737989,62.0004704509298,59.2623185121263,0.855829209716562,0.683638816943036,0.769734013329799,59.1180462429626,46.1991316672741,154,271,5,16,0
3812558943.86955,212.17253112793,3.53620885213216,0.0589368142022027,5.41377459796717e-05,151.82493407102,55.4342490274074,58.1201893590752,55.2126788440959,0.51510108797283,0.663555412584505,0.589328250278668,55.3234639357516,43.2337696708259,155,273,5,17,0
3812558943.97117,212.274151086807,3.53790251811345,0.0589650419685576,-6.33997274095274e-06,151.813830162251,44.4033768242736,46.3528704470897,44.366637119766,0.303780182052008,0.423003379973137,0.363391781012573,44.3850069720198,34.6856655703049,145,258,5,18,0
3812558944.01409,212.31707406044,3.53861790100733,0.0589769650167889,-0.000325881187297953,151.785056486138,47.5001516910148,49.7948440071266,47.2367415772852,0.776266157061508,0.437449583577562,0.606857870319535,47.36844663415,37.0171418373937,145,254,5,19,0
3812558944.09031,212.393290281296,3.53988817135493,0.0589981361892488,1.23750979425121e-06,151.796814103314,68.1941480195189,72.4823246399525,68.2627394876659,1.00838349683535,0.870783676942288,0.93958358688882,68.2284437535924,53.3186574446486,157,270,5,20,0
3812558944.36499,212.66796875,3.54446614583333,0.0590744357638889,-0.00093031499496776,152.093027196272,39.3621124174387,43.3340154740984,39.3936341655794,0.453637986682148,0.414783849540187,0.434210918111167,39.377873291509,30.7727279331093,187,301,5,23,0
3812558944.84527,213.14824795723,3.55247079928716,0.059207846654786,-3.39794016386081e-06,151.879211150682,61.3876390403696,67.0119125627954,61.1579464545978,0.248911736390163,0.149917856055247,0.199414796222705,61.2727927474837,47.8830069608325,164,282,5,25,0
3812558945.55652,213.85949921608,3.56432498693466,0.059405416448911,-1.18816220370605e-05,151.754577157702,61.0505041890118,66.5551619176985,47.211229087321,0.317363632586628,0.529722397980474,0.423543015283551,54.1308666381664,42.3017875929552,354,478,5,26,0
3812558946.89856,215.201541900635,3.58669236501058,0.0597782060835097,-0.000356090842426791,151.720587647058,83.9287413534314,56.4635391041064,71.9814845209582,-7.15331744185018,-15.5095074365263,-11.3314124391882,77.9551129371948,60.9197826315412,171,293,5,27,0
3812558947.45454,215.757517576218,3.59595862627029,0.0599326437711716,-3.39650397122696e-05,151.434406384975,43.3052921341224,48.338617705123,43.0221524160113,0.246939069536951,0.261885162596742,0.254412116066847,43.1637222750668,33.7312650766575,174,290,5,28,0
3812558948.49212,216.795103788376,3.61325172980626,0.0602208621634377,7.78947639617885e-05,151.224807358826,66.2507524720743,73.0566010949952,66.1414164222348,0.582125494267622,0.518066759694624,0.550096126981123,66.1960844471546,51.7304243895938,173,295,5,29,0
3812558948.65919,216.962168216705,3.61603613694509,0.0602672689490848,0.000590759984107418,151.301770420443,21.0187989669349,21.0791735262403,19.0367086457135,-2.33090862896878,-2.90206712691845,-2.61648787794362,20.0277538063242,15.6511402845669,174,288,5,30,0
3812558948.88411,217.187088727951,3.61978481213252,0.0603297468688753,-0.00021752122097776,151.219135783922,37.2386686314857,41.8252100265518,37.2736565974636,0.225611183343495,0.184989934528459,0.205300558935977,37.2561626144747,29.1146692326353,181,305,5,31,0
