real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,,,
3813162534,321.7403316,5.362338861,0.089372314,-0.000107029,-1199.933224,113.6115894,121.7040887,113.5086639,2.269655066,2.350101141,2.309878104,113.5601266,88.20804406,122,223,5,3,0,,,
3813162534,321.85567,5.364261166,0.089404353,0.00023203,-1199.884608,106.1762633,113.4923716,105.9371576,2.034672113,2.081334725,2.058003419,106.0567104,82.37975126,118,218,5,4,0,,,
3813162534,321.898159,5.364969317,0.089416155,-9.61E-05,-1199.939678,234.2518323,249.5634475,234.2149512,1.333651008,1.558299504,1.445975256,234.2333917,181.9412319,135,242,5,5,0,,,
3813162535,322.5825422,5.376375703,0.089606262,-2.14E-05,-1199.92384,172.2443937,184.7861709,172.0469425,3.370404973,3.180186159,3.275295566,172.1456681,133.7144747,134,240,5,6,0,,,
3813162535,322.6564369,5.377607282,0.089626788,0.000195426,-1199.887695,92.84910268,99.5181653,92.76334118,1.423662892,1.413011537,1.418337214,92.80622193,72.08740915,120,222,5,7,0,,,
3813162535,322.8855257,5.381425428,0.089690424,-5.61E-05,-1199.923723,89.22138712,95.10760424,89.02496399,1.97081258,1.723456354,1.847134467,89.12317556,69.22659588,115,216,5,8,0,,,
3813162536,323.4142954,5.390238257,0.089837304,0.000263258,-1199.989066,385.8181498,301.5752112,386.1851871,-31.43195072,-36.17844386,-33.80519729,386.0016684,299.8275291,136,247,5,10,0,,,
3813162536,323.6795294,5.394658824,0.08991098,-0.00029259,-1199.997786,102.998254,110.4569284,102.9589355,1.852998886,1.769969702,1.811484294,102.9785947,79.98881903,120,221,5,11,0,,,
3813162536,323.9580538,5.399300897,0.089988348,-7.74E-05,-1200.052747,126.6332254,136.4651804,126.4875817,1.755888809,1.966651679,1.861270244,126.5604036,98.30603385,124,227,5,12,0,,,
3813162536,324.0385275,5.400642125,0.090010702,-0.000268723,-1200.031479,179.8667705,179.7958983,182.3669059,0.168878052,0.940152669,0.554515361,181.1168382,140.6828481,116,219,5,13,0,,,
3813162536,324.0966067,5.401610112,0.090026835,-0.000182455,-1200.043445,99.19942329,105.940442,99.15368851,1.852271643,1.859484109,1.855877876,99.1765559,77.03557816,117,219,5,14,0,,,
3813162537,324.3964155,5.406606925,0.090110115,-5.48E-06,-1200.024059,132.0941649,142.6141709,131.9017557,2.017804988,2.288551201,2.153178094,131.9979603,102.5296663,124,227,5,15,0,,,
3813162537,325.1198094,5.41866349,0.090311058,0.00078143,-1199.625608,127.7719286,137.2659945,127.6358737,2.374147812,2.411458378,2.392803095,127.7039012,99.19424777,123,227,5,16,0,,,
3813162538,325.1583662,5.419306103,0.090321768,-0.000176656,-1199.716647,197.9642329,203.0696157,197.9074855,1.398803874,1.826864235,1.612834054,197.9358592,153.7470546,129,235,5,17,0,,,
3813162538,325.3427417,5.422379029,0.090372984,-8.70E-06,-1199.577554,114.554399,122.9592315,114.5273755,1.958385541,2.137406655,2.047896098,114.5408873,88.96985175,121,222,5,18,0,,,
3813162538,325.6637142,5.42772857,0.090462143,2.42E-05,-1199.265196,126.3553569,135.8671185,126.0619592,2.817598645,2.856237436,2.836918041,126.208658,98.03281484,122,225,5,19,0,,,
3813162538,325.8880541,5.431467569,0.090524459,7.50E-05,-1199.08238,174.9928103,190.2215164,153.9331938,1.564484363,-29.09230838,-13.76391201,164.463002,127.7469492,224,329,5,20,0,,,
3813162538,325.945169,5.432419483,0.090540325,0.000168687,-1198.99486,81.46022901,86.41714949,81.4581045,1.328089139,1.299416803,1.313752971,81.45916676,63.27356249,110,211,5,21,0,,,
3813162539,326.1660056,5.436100094,0.090601668,0.000118827,-1198.774014,97.63948459,103.6159071,97.41967475,2.353365239,2.353715745,2.353540492,97.52957967,75.75628624,115,216,5,23,0,,,
