labels,avg_buoyant_mass_h2o,avg_density_h2o_gcm3,total_volume_fl,total_density_gcm3
data_11_11_2024\00h\2024-11-11_naive_human_tcell_0h_rep1.csv,10.7786528164615,1.00520320295194,130.945,1.08751755490476
data_11_11_2024\00h\2024-11-11_naive_human_tcell_0h_rep2.csv,11.0011880194559,1.00520792882856,128.473,1.09083827932599
data_11_11_2024\00h\2024-11-11_naive_human_tcell_0h_rep3.csv,10.9097296238326,1.00518628208946,129.068,1.08971327269777
data_11_11_2024\24h_dmso_300\2024-11-12_activ_human_tcell_24h_dmso_300mOsmL_rep1.csv,10.2423512915871,1.00919175568574,174.888,1.06775695908212
data_11_11_2024\24h_dmso_300\2024-11-12_activ_human_tcell_24h_dmso_300mOsmL_rep2.csv,11.7086183200896,1.00890725844195,187.49,1.07135655344483
data_11_11_2024\24h_wnk463_250\2024-11-12_activ_human_tcell_24h_10uMwnk463_250mOsmL_rep1.csv,9.73283399197942,1.00699917699518,117.584,1.08977263249916
data_11_11_2024\24h_wnk463_250\2024-11-12_activ_human_tcell_24h_10uMwnk463_250mOsmL_rep2.csv,9.73617738361623,1.00668824931095,116.191,1.09048284083367
data_11_11_2024\24h_wnk463_300\2024-11-12_activ_human_tcell_24h_10uMwnk463_300mOsmL_rep1.csv,9.2414604714945,1.00870354513918,136.685,1.07631491779525
data_11_11_2024\24h_wnk463_300\2024-11-12_activ_human_tcell_24h_10uMwnk463_300mOsmL_rep2.csv,9.80366773173743,1.00845013381477,133.706,1.08177270521573
data_11_11_2024\24h_wnkin11_250\2024-11-12_activ_human_tcell_24h_10uMwnkin11_250mOsmL_rep1.csv,9.54821315964689,1.00712075757489,131.919,1.07950012036302
data_11_11_2024\24h_wnkin11_250\2024-11-12_activ_human_tcell_24h_10uMwnkin11_250mOsmL_rep2.csv,9.94148803421432,1.00694771865919,124.16,1.08701769316156
data_11_11_2024\48h_dmso_300\2024-11-13_activ_human_tcell_48h_dmso_300mOsmL_rep1.csv,17.4035098841272,1.00932776773026,355.191,1.05832537714076
data_11_11_2024\48h_dmso_300\2024-11-13_activ_human_tcell_48h_dmso_300mOsmL_rep2.csv,16.8832133295346,1.00959962740573,295.757,1.06668437376688
data_11_11_2024\48h_wnk463_250\2024-11-13_activ_human_tcell_48h_10uMwnk463_250mOsmL_rep1.csv,9.34448041258484,1.00694809441305,124.453,1.08203250710366
data_11_11_2024\48h_wnk463_250\2024-11-13_activ_human_tcell_48h_10uMwnk463_250mOsmL_rep2.csv,9.28545560168187,1.00717919770955,125.709,1.08104388203352
data_11_11_2024\48h_wnk463_300\2024-11-13_activ_human_tcell_48h_10uMwnk463_300mOsmL_rep1.csv,9.36550665999246,1.00878835339678,133.108,1.07914856209944
data_11_11_2024\48h_wnk463_300\2024-11-13_activ_human_tcell_48h_10uMwnk463_300mOsmL_rep2.csv,9.56676553781426,1.00893549869014,135.947,1.0793067870438
data_11_11_2024\48h_wnkin11_250\2024-11-13_activ_human_tcell_48h_10uMwnkin11_250mOsmL_rep1.csv,9.41792621049642,1.00772577718998,134.486,1.07775482267052
data_11_11_2024\48h_wnkin11_250\2024-11-13_activ_human_tcell_48h_10uMwnkin11_250mOsmL_rep2.csv,9.62600292548918,1.0080543107151,139.346,1.07713417612559
