real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3
3822221869.71279,270.931399822235,4.51552333037059,0.0752587221728431,0.000122917486706525,-443.95733055568,133.220748259681,140.043239801068,133.755800345576,-0.169398840725551,-0.152356378495539,-0.160877609610545,133.488274302628,102.683982300461,151,265,0,2,0,330.989285628514,0,Inf
3822221871.92884,273.147444248199,4.55245740413666,0.0758742900689443,-0.00036293816036148,-444.042602448003,146.132249100239,155.062793888291,146.258818279765,-0.571930330953205,-0.406648224875521,-0.489289277914363,146.195533690002,112.458863314073,158,275,0,3,0,381.040365284144,0,Inf
3822221872.27366,273.492268562317,4.55820447603861,0.0759700746006436,-0.00013728502971126,-443.706360517548,55.1195984556384,54.5127195372164,54.7633747828506,-0.728124651722923,-0.814745751475775,-0.771435201599349,54.9414866192445,42.2629678078059,156,269,0,4,0,157.104993476247,0,Inf
3822221875.66164,276.8802485466,4.61467080911001,0.0769111801518334,-0.00123027984748755,-444.000963097532,173.294559584041,182.969739566234,172.797469603673,0.432443934658685,0.237641390981245,0.335042662819965,173.046014593857,133.113219063999,143,254,0,9,0,258.181125960075,0,Inf
3822221876.41274,277.631352186203,4.62718920310338,0.0771198200517231,0.000198506407467697,-444.025695425367,97.2161438154669,103.809575378367,96.8314871808191,0.19630991217453,0.157299309367798,0.176804610771164,97.023815498143,74.6342089249588,130,238,0,11,0,176.046376368683,0,Inf
3822221876.66868,277.887289762497,4.63145482937495,0.0771909138229158,-0.000585338788534304,-444.127157838736,150.185781754424,160.469836558977,149.611131726711,1.06594886636113,1.19419463372377,1.13007175004245,149.898456740568,115.307284922417,140,248,0,12,0,209.622319343413,0,Inf
3822221879.83831,281.056916475296,4.68428194125493,0.0780713656875822,0.00561337986663278,-442.854917841392,343.093870805626,348.847351699804,342.021764567175,-4.88940344273938,-4.98783284216052,-4.93861814244995,342.557817686401,263.507795512063,166,284,0,15,0,603.953525589147,0,Inf
3822221881.80986,283.028469800949,4.71714116334915,0.0786190193891525,-0.000942025656093126,-443.950701777911,142.357078654352,151.480344906731,141.714212589998,0.00909979600041133,0.141595109265632,0.0753474526330219,142.035645622175,109.258927776961,149,262,0,20,0,287.337822139079,0,Inf
3822221883.5446,284.763206720352,4.7460534453392,0.0791008907556534,-0.000815286664691258,-443.644536169318,139.266083664548,148.296392479461,138.956936938658,0.240104544118772,0.368450925819429,0.304277734969101,139.111510301603,107.009577704302,141,253,0,25,0,223.197414492223,0,Inf
3822221884.08214,285.30074930191,4.75501248836517,0.0792502081394196,-0.000707450188981937,-443.81889897873,130.510309560996,138.801748781782,129.906551865878,0.500815904792347,0.424512570861539,0.462664237826943,130.208430713437,100.161008632398,138,245,0,27,0,206.567006669787,0,Inf
3822221885.35882,286.577425479889,4.77629042466482,0.0796048404110802,-0.00115404550153121,-443.726934008493,175.420657779916,187.948318317776,174.865105184301,0.11886210635613,0.625208208919716,0.372035157637923,175.142881482109,134.726204500844,152,265,0,29,0,309.601524170334,0,Inf
3822221885.84631,287.064913749695,4.78441522916158,0.0797402538193597,-0.00110601573035571,-443.707459333311,164.572822891763,174.878031041304,163.88747078445,0.14922278111719,0.279825744869214,0.214524262993202,164.230146838106,126.331736470686,147,258,0,31,0,273.405642489578,0,Inf
3822221887.52262,288.741230487823,4.81235384146372,0.0802058973577287,-0.000459379278082521,-443.21580514146,244.216074435619,258.97317789047,243.138227808013,-0.606864541720531,-0.678109512947022,-0.642487027333776,243.677151121816,187.445229954005,152,265,0,35,0,339.622786195211,0,Inf
3822221888.79159,290.010197162628,4.8335032860438,0.08055838810073,-0.00236227503101435,-443.214920175985,287.437399171014,300.37441264,286.135698297482,-2.02911157243565,-2.08648249310704,-2.05779703277134,286.786548734248,220.606529285682,157,271,0,38,0,473.188122505409,0,Inf
3822221889.35895,290.577555894852,4.8429592649142,0.0807159877485699,-0.00133250318181101,-443.177934567218,111.65596743351,118.885698677937,110.80136808136,-0.385330158494868,-0.366170086669489,-0.375750122582178,111.228667757435,85.5610922455642,145,258,0,39,0,259.464424617391,0,Inf
3822221891.15952,292.378123044968,4.87296871741613,0.0812161452902688,-0.00195514598117138,-443.26281434887,193.239449707693,204.859618606484,192.468747415526,-0.400248157200262,0.0272946082200776,-0.186476774490092,192.85409856161,148.350309768608,150,262,0,41,0,354.085303558708,0,Inf
3822221891.5377,292.756304502487,4.87927174170812,0.0813211956951353,-0.00158028292670635,-443.151720125341,176.71470973509,187.493823696275,175.689895653498,-0.31781190950523,-0.118827833442836,-0.218319871474033,176.202302694294,135.541149405699,149,262,0,43,0,326.627807630026,0,Inf
3822221894.85219,296.07079577446,4.93451326290766,0.0822418877151277,-0.00157705529066254,-443.126780971485,163.43868281515,172.396186460311,162.543836264974,0.179756726214881,0.682907083899372,0.431331905057126,162.991259540062,125.378739797014,142,250,0,47,0,262.042561818985,0,Inf
3822221895.41627,296.634879827499,4.94391466379166,0.0823985777298609,-0.00238970033374817,-443.051783781237,122.923308714999,130.665565374701,121.907722194409,-0.905784566229854,-0.452458944671509,-0.679121755450681,122.415515454704,94.1664178964156,152,266,0,48,0,356.768503946725,0,Inf
3822221895.45822,296.676825046539,4.94461375077566,0.0824102291795943,-0.00148458844790866,-443.217780316601,136.129314528658,143.763645006508,135.427107802616,-0.0102131922999843,0.361391889346378,0.175589348523197,135.778211165637,104.44548410681,133,239,0,49,0,206.105730049666,0,Inf
3822221896.40505,297.623659133911,4.96039431889852,0.0826732386483087,-0.0017369931900947,-443.0699424495,128.382560720813,134.261651654181,127.423678129309,-0.806379474390425,-0.254684855295998,-0.530532164843212,127.903119425061,98.3876802650238,145,256,0,50,0,375.075812273717,0,Inf
3822221896.84378,298.062385082245,4.96770641803741,0.0827951069672902,0.00466254552758092,-441.807400172906,116.941288319848,123.438310178345,118.900519297162,1.12831641537521,1.19036309203768,1.15933975370645,117.920903808505,90.7090009424784,136,245,0,51,0,214.622943351359,0,Inf
3822221896.93801,298.156616926193,4.96927694876989,0.0828212824794981,-0.000861234710728578,-442.504578100202,90.9031632752849,94.540071835382,88.7258212999124,-1.14596462027278,0.203950904009693,-0.471006858131542,89.8144922875987,69.0885381848339,165,283,0,52,0,326.920978004758,0,Inf
3822221897.64979,298.868400812149,4.98114001353582,0.083019000225597,-0.00148801927706967,-442.645036601957,103.859876943602,109.705421693258,103.1698044837,-0.533521589508046,-0.0968876337766242,-0.315204611642335,103.514840713651,79.6273390094037,137,245,0,53,0,266.052406501231,0,Inf
