real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num
3836557998,137.3823578,2.289705964,0.038161766,-0.000688963,33.18999658,431.8303449,443.4112745,435.6455083,-4.559914012,-1.448419436,-3.004166724,433.7379266,333.6468151,196,331,7,2,0
3836557999,137.9658911,2.299431519,0.038323859,-0.003910688,32.45195555,83.98431122,80.32911289,83.00060724,-0.833363657,3.670683121,1.418659732,83.49245923,64.22540295,176,291,7,3,0
3836557999,138.030395,2.300506584,0.038341776,-0.002392913,33.316264,493.5838685,509.3816769,496.648416,-6.527194633,-4.850456451,-5.688825542,495.1161422,380.8611464,203,332,7,4,0
3836558001,139.6999903,2.328333171,0.038805553,0.004230076,34.27088115,464.3933422,462.9251757,473.5014577,-2.270678156,-2.591238295,-2.430958225,468.9473999,360.7312085,203,328,7,6,0
3836558003,141.6596022,2.360993369,0.039349889,0.001242907,30.21641744,150.1756644,144.7536979,150.6378972,-3.333536171,-0.277142346,-1.805339258,150.4067808,115.6983061,168,283,7,8,0
3836558003,142.0966275,2.368277125,0.039471285,0.003570649,29.83427052,484.1320909,510.1733097,489.31078,-10.85432349,-10.26282917,-10.55857633,486.7214354,374.403636,247,390,7,9,0
3836558004,143.1031852,2.385053086,0.039750885,-0.000419479,31.48943118,498.8430961,487.500814,501.6593639,-7.255393775,-4.429604581,-5.842499178,500.25123,384.8112407,194,327,7,11,0
3836558005,143.8822296,2.398037159,0.039967286,0.007556422,31.32348973,357.4590858,376.8563965,364.0196873,-5.379117061,-5.389875016,-5.384496038,360.7393866,277.4937123,252,396,7,15,0
3836558005,144.3692575,2.406154291,0.040102572,0.000351885,31.15180489,147.5411122,151.3241666,148.9345257,0.19771358,-1.791750953,-0.797018686,148.237819,114.0298626,209,340,7,16,0
3836558006,145.3408129,2.422346882,0.040372448,0.031541707,38.96703076,201.8421435,204.6163337,199.8790969,9.277724505,9.701303426,9.489513965,200.8606202,154.5092142,469,362,7,17,0
3836558007,145.9528477,2.432547462,0.040542458,0.004615363,32.55664578,55.26381558,56.14080606,57.8516996,3.326435968,1.764924288,2.545680128,56.55775759,43.50626158,180,284,7,20,0
3836558007,146.0458534,2.434097556,0.040568293,2.75E-05,32.73639964,682.3473641,713.043011,686.8960529,-21.22093336,-27.04946335,-24.13519835,684.6217085,526.6356447,237,384,7,21,0
3836558008,147.2139199,2.453565331,0.040892756,-0.002238949,33.57690992,23.38102339,23.42002034,23.07629206,1.843175339,2.209195046,2.026185193,23.22865773,17.86831908,143,237,7,23,0
3836558009,147.4834359,2.458057264,0.040967621,-0.000441324,33.63717872,35.60004506,37.14811868,36.11206416,-0.714721677,1.169041123,0.227159723,35.85605461,27.58176698,145,234,7,24,0
3836558010,149.3000395,2.488333992,0.041472233,-0.00191211,34.55137603,246.8699881,258.5019305,249.5110261,-0.928368331,1.222092779,0.146862224,248.1905071,190.9170657,207,339,7,25,0
3836558011,149.5495534,2.492492557,0.041541543,0.000704848,33.85677498,597.6978075,599.9019102,596.7087327,-14.5133436,-19.04362061,-16.77848211,597.2032701,459.3902374,223,357,7,27,0
3836558012,150.554611,2.509243516,0.041820725,0.004643859,35.2752997,129.1904985,117.3182989,129.9615792,0.093285835,-1.70262875,-0.804671457,129.5760389,99.67455007,170,285,7,28,0
3836558012,150.8741295,2.514568826,0.04190948,-0.001838017,35.84707262,565.3300808,578.467367,570.6774146,-8.689493902,-8.39361542,-8.541554661,568.0037477,436.9289144,228,367,7,30,0
3836558012,151.1976478,2.519960797,0.041999347,0.001036624,36.60036491,191.8499754,199.0730515,193.2829368,0.066607993,0.825942199,0.446275096,192.5664561,148.1290448,206,334,7,31,0
3836558013,151.7451789,2.529086316,0.042151439,0.004926364,36.39497116,317.8452596,335.7854888,322.8871141,-1.249097403,-1.988979114,-1.619038259,320.3661869,246.4371948,221,353,7,33,0
3836558013,152.1357014,2.535595024,0.042259917,0.005280328,37.41349987,160.7350136,157.6160152,161.0686163,0.036480826,0.720735063,0.378607944,160.9018149,123.7714638,206,331,7,35,0
3836558014,152.7337358,2.545562263,0.042426038,-0.000557518,38.04178,419.1634556,419.3941828,423.3740104,-4.731413494,-1.915140183,-3.323276839,421.268733,324.0550629,211,350,7,36,0
3836558014,153.175261,2.552921017,0.042548684,0.007014178,37.95939983,494.0387805,521.94334,498.7764234,-9.859559575,-11.10955179,-10.48455568,496.407602,381.8545837,260,413,7,37,0
3836558014,153.3962734,2.556604556,0.042610076,0.001322073,37.72835689,63.36563123,67.89653504,64.72683704,-1.923466925,-0.114450929,-1.018958927,64.04623414,49.2666671,157,261,7,38,0
3836558016,154.4808359,2.574680599,0.042911343,-0.001893586,37.6604073,398.578343,413.0738369,401.8451906,-3.363596209,-3.249521384,-3.306558796,400.2117668,307.8572871,232,367,7,39,0
3836558016,155.0468678,2.584114464,0.043068574,-0.000321387,37.81600884,558.0514887,524.1699428,562.5297002,-17.30181549,-16.09051866,-16.69616708,560.2905944,430.9956794,208,341,7,40,0
3836558017,155.5438967,2.592398278,0.043206638,-0.002006134,37.42712665,296.2137386,311.4472336,299.4634416,0.424824474,-1.559759121,-0.567467323,297.8385901,229.1081571,222,359,7,41,0
3836558017,156.0624261,2.601040435,0.043350674,0.003720959,40.93133903,10.03448677,9.427168459,10.09453499,0.425499142,-0.098830412,0.163334365,10.06451088,7.7419838,131,194,7,42,0
3836558020,158.503566,2.6417261,0.044028768,-0.003191239,35.61646198,273.6124866,260.9922973,273.217154,-1.38591876,-2.426929452,-1.906424106,273.4148203,210.3205148,166,280,7,43,0
