bm_path,coulter_id,time_min,label
FL5 +-quiescence timepoints_fl5_proliferating_0h,fl5_proliferating_timepoint1,0,Proliferating
FL5 +-quiescence timepoints_fl5_proliferating_2h40min_rep2,fl5_proliferating_timepoint3,160,Proliferating
FL5 +-quiescence timepoints_fl5_starvedFor71h_0hPostActivation_rep1,fl5_no IL3_71h_rep1_timepoint1,0,Starved
FL5 +-quiescence timepoints_fl5_starvedFor71h_0hPostActivation_rep2,fl5_no IL3_71h_rep2_timepoint1,0,Starved
FL5 +-quiescence timepoints_fl5_starvedFor71h_1h30minPostActivation_1uMwnk463_rep2,fl5_no IL3_71h_'activated'_1h30min_1uM_WNK463_rep2,90,WNK463_1uM
FL5 +-quiescence timepoints_fl5_starvedFor71h_1hPostActivation_rep1,fl5_no IL3_71h_'activated'_1h_rep1,60,Activated
FL5 +-quiescence timepoints_fl5_starvedFor71h_2h40minPostActivation_rep1,fl5_no IL3_71h_'activated'_3h_rep1,160,Activated
FL5 +-quiescence timepoints_fl5_starvedFor71h_35minPostActivation_rep1,fl5_no IL3_71h_'activated'_35min_rep1,35,Activated
FL5 +-quiescence timepoints_fl5_starvedFor71h_4h20minPostActivation_1uMwnk463_rep1,fl5_no IL3_71h_'activated'_4h20min_1uM_WNK463_rep1,260,WNK463_1uM
FL5 +-quiescence timepoints_fl5_starvedFor71h_4h20minPostActivation_1uMwnk463_rep2,fl5_no IL3_71h_'activated'_4h20min_1uM_WNK463_rep2,260,WNK463_1uM
FL5 +-quiescence timepoints_fl5_starved_2h40min_rep1,fl5_no IL3_75h_rep1_timepoint3,160,Starved
