times_h,volumes_fl,counts,counts_normalized,labels
0.25,298.122,10456,0.944833506528713,with_il3
0.25,298.674,9715,0.87787466678715,with_il3
3,360.51,10025,0.905887136854471,with_il3
3,367.436,9890,0.893688157954186,with_il3
1.25,334.242,10206,0.922242804861519,with_il3
1.25,337.876,9829,0.888176026747391,with_il3
7,417.486,10481,0.947092576695432,with_il3
7,416.946,10112,0.913748701034654,with_il3
29,774.776,16156,1.45990150454073,with_il3
29,752.501,14132,1.27700718384313,with_il3
0.25,299.629,11361,1.02661184656395,without_il3
0.25,294.485,10772,0.973388153436046,without_il3
3,313.001,10046,0.907784755794515,without_il3
3,314.74,10252,0.926399493968283,without_il3
1.25,307.046,8598,0.776939411738129,without_il3
1.25,312.916,9909,0.895405051280893,without_il3
7,306.234,10824,0.978087019382822,without_il3
7,308.194,9971,0.901007545294357,without_il3
29,306.991,8912,0.805313333032124,without_il3
29,306.614,8923,0.806307323905481,without_il3
77,193.956,8708,0.786879320471694,without_il3
77,195.52,9700,0.876519224687119,without_il3
120,230.254,5466,0.493923101251525,without_il3
120,235.959,5676,0.512899290651968,without_il3
