times_h,volumes_fl,counts,counts_normalized,labels
0.5,763.155,7098,1.34270761082035,VERTEPORFIN\_10UM\_prolif
0.5,756.265,6588,1.24623242322971,VERTEPORFIN\_10UM\_prolif
3.75,702.405,7206,1.36313765054543,VERTEPORFIN\_10UM\_prolif
3.75,699.469,6883,1.30203669840469,VERTEPORFIN\_10UM\_prolif
1.33,802.211,7186,1.3593543098556,VERTEPORFIN\_10UM\_prolif
1.33,812.612,6933,1.31149505012926,VERTEPORFIN\_10UM\_prolif
0.5,290.678,6045,1.14351472350085,VERTEPORFIN\_10UM\_prolif
0.5,314.074,5595,1.0583895579797,DMSO\_quiesc
0.5,313.696,5109,0.966454379216849,DMSO\_quiesc
0.5,320.795,5155,0.975156062803455,DMSO\_quiesc
4,317.158,5403,1.02206948735734,DMSO\_quiesc
4,315.245,5298,1.00220694873573,DMSO\_quiesc
4,312.866,5471,1.03493284570276,DMSO\_quiesc
1.33,327.713,5721,1.08222460432562,DMSO\_quiesc
1.33,320.564,5437,1.02850116653005,DMSO\_quiesc
1.33,323.663,5198,0.983290245286588,DMSO\_quiesc
26,400.702,4536,0.858061668453244,DMSO\_quiesc
26,399.758,5203,0.984236080459045,DMSO\_quiesc
26,304.765,4792,0.906488429283057,DMSO\_quiesc
0.5,769.638,6552,1.23942240998802,DMSO\_prolif
0.5,807.882,6958,1.31622422599155,DMSO\_prolif
0.5,775.726,7227,1.36711015826975,DMSO\_prolif
3.75,773.129,8959,1.69474746200895,DMSO\_prolif
3.75,794.384,8667,1.63951068793745,DMSO\_prolif
3.75,763.141,9133,1.72766252601047,DMSO\_prolif
1.33,790.924,7396,1.39907938709881,DMSO\_prolif
1.33,800.91,7261,1.37354183744246,DMSO\_prolif
1.33,786.082,7433,1.40607856737499,DMSO\_prolif
26,902.611,15881,3.00416167475881,DMSO\_prolif
26,920.565,17676,3.34371650167098,DMSO\_prolif
26,954.622,18263,3.45475755091746,DMSO\_prolif
