times_h,volumes_fl,counts,counts_normalized,labels
1.42,222.874,15964,0.858718162502353,WNK463\_1uM
1.5,224.972,14572,0.783841209219763,WNK463\_1uM
24,568.928,14667,0.788951346117641,WNK463\_1uM
24,566.568,14232,0.765552298216831,WNK463\_1uM
25,592.894,15769,0.848228934133025,WNK463\_1uM
25,580.013,12790,0.687985799198515,WNK463\_1uM
32,586.7,23482,1.263118259326,WNK463\_1uM
32,599.159,18115,0.974422420053253,WNK463\_1uM
4.33,232.557,13822,0.743498023183884,WNK463\_1uM
4.33,230.113,15510,0.834297087221968,WNK463\_1uM
56,665.535,35419,1.90522040827304,WNK463\_1uM
56,655.789,34372,1.84890132056696,WNK463\_1uM
1.42,227.044,15772,0.848390306877168,WNK463\_0.5uM
1.5,224.488,14270,0.767596352975982,WNK463\_0.5uM
24,586.254,15223,0.818859094698905,WNK463\_0.5uM
24,578.51,14308,0.769640407735134,WNK463\_0.5uM
32,582.849,22479,1.20916597186735,WNK463\_0.5uM
32,572.2,23119,1.24359215728463,WNK463\_0.5uM
4.33,242.746,13124,0.70595196471316,WNK463\_0.5uM
4.33,236.411,13361,0.718700411500498,WNK463\_0.5uM
56,649.767,34753,1.86939565907318,WNK463\_0.5uM
56,656.058,32489,1.74761302815954,WNK463\_0.5uM
1.42,238.644,14958,0.804604502299562,WNK463\_0.25uM
1.5,229.385,15099,0.812189021274307,WNK463\_0.25uM
24,612.704,15778,0.848713052365455,WNK463\_0.25uM
24,609.206,15383,0.827465641053226,WNK463\_0.25uM
32,593.83,26412,1.4207256394395,WNK463\_0.25uM
32,583.23,24690,1.32809768430112,WNK463\_0.25uM
4.33,247.896,14490,0.779430354213173,WNK463\_0.25uM
4.33,241.284,14042,0.755332024421075,WNK463\_0.25uM
56,691.245,35829,1.92727468330599,WNK463\_0.25uM
56,667.243,35195,1.89317124337699,WNK463\_0.25uM
0,763.991,2385,0.128291331594094,Proliferating
3.33,801.984,4491,0.241574997982841,Proliferating
0,266.729,24366,1.31066942793362,Quiescent
0,253.705,12815,0.689330572066378,Quiescent
1,248.132,14525,0.781313036228181,Quiescent
1,249.156,14556,0.782980554584331,Quiescent
4.33,251.549,14575,0.784002581963906,Quiescent
4.33,258.141,12396,0.666792178801001,Quiescent
3.33,273.007,14836,0.798042010704392,Quiescent
20.33,261.45,15891,0.854791425728195,Quiescent
20.33,257.493,15542,0.836018396492832,Quiescent
1.42,269.233,17052,0.917242677711735,DMSO
1.5,273.71,16588,0.892283693284204,DMSO
1,264.445,16178,0.870229418251257,DMSO
1,272.22,15115,0.813049675909739,DMSO
24,733.851,17580,0.945644280680993,DMSO
24,711.218,17889,0.962265673327775,DMSO
25,733.277,12658,0.680885398456201,DMSO
25,710.733,17803,0.957639654662327,DMSO
32,680.954,29532,1.58855329334875,DMSO
32,664.067,27856,1.49839972028724,DMSO
0.58,267.887,16785,0.902880503482962,DMSO
3,261.802,15429,0.829940023130093,DMSO
4.33,269.205,17347,0.933110997552513,DMSO
4.33,272.919,18044,0.970603265108523,DMSO
56,785.887,43117,2.3193028697453,DMSO
56,766.793,36987,1.98956456254539,DMSO
25,254.123,16955,0.912024958984427,NoIL371h
25,252.762,15318,0.823969231596783,NoIL371h
