times_h,volumes_fl,counts,counts_normalized,labels
0.5,646.036,6611,1.25058326502302,WNK463\_3UM\_prolif
0.5,651.913,6570,1.24282741660887,WNK463\_3UM\_prolif
3.75,685.86,7903,1.49498707358598,WNK463\_3UM\_prolif
3.75,696.572,8313,1.57254555772747,WNK463\_3UM\_prolif
1.33,663.489,7008,1.32568257771612,WNK463\_3UM\_prolif
1.33,643.309,6463,1.22258654391828,WNK463\_3UM\_prolif
26,764.804,13715,2.59442587805032,WNK463\_3UM\_prolif
26,779.838,14043,2.65647266536352,WNK463\_3UM\_prolif
0.5,655.856,6884,1.30222586543918,WNK463\_10UM\_prolif
0.5,654.584,6393,1.20934485150388,WNK463\_10UM\_prolif
3.75,657.162,7078,1.33892427013053,WNK463\_10UM\_prolif
3.75,672.067,7344,1.38924270130525,WNK463\_10UM\_prolif
1.33,620.062,6999,1.3239800744057,WNK463\_10UM\_prolif
1.33,623.892,6476,1.22504571536667,WNK463\_10UM\_prolif
26,737.649,10748,2.03316728671417,WNK463\_10UM\_prolif
26,735.541,10400,1.96733715871114,WNK463\_10UM\_prolif
0.5,314.074,5595,1.0583895579797,DMSO\_quiesc
0.5,313.696,5109,0.966454379216849,DMSO\_quiesc
0.5,320.795,5155,0.975156062803455,DMSO\_quiesc
4,317.158,5403,1.02206948735734,DMSO\_quiesc
4,315.245,5298,1.00220694873573,DMSO\_quiesc
4,312.866,5471,1.03493284570276,DMSO\_quiesc
1.33,327.713,5721,1.08222460432562,DMSO\_quiesc
1.33,320.564,5437,1.02850116653005,DMSO\_quiesc
1.33,323.663,5198,0.983290245286588,DMSO\_quiesc
26,400.702,4536,0.858061668453244,DMSO\_quiesc
26,399.758,5203,0.984236080459045,DMSO\_quiesc
26,304.765,4792,0.906488429283057,DMSO\_quiesc
0.5,769.638,6552,1.23942240998802,DMSO\_prolif
0.5,807.882,6958,1.31622422599155,DMSO\_prolif
0.5,775.726,7227,1.36711015826975,DMSO\_prolif
3.75,773.129,8959,1.69474746200895,DMSO\_prolif
3.75,794.384,8667,1.63951068793745,DMSO\_prolif
3.75,763.141,9133,1.72766252601047,DMSO\_prolif
1.33,790.924,7396,1.39907938709881,DMSO\_prolif
1.33,800.91,7261,1.37354183744246,DMSO\_prolif
1.33,786.082,7433,1.40607856737499,DMSO\_prolif
26,902.611,15881,3.00416167475881,DMSO\_prolif
26,920.565,17676,3.34371650167098,DMSO\_prolif
26,954.622,18263,3.45475755091746,DMSO\_prolif
