times_h,volumes_fl,counts,counts_normalized,labels
0.5,260.503,6181,1.16924144019169,WNK463\_3UM\_quiesc
0.5,263.43,5939,1.12346301784476,WNK463\_3UM\_quiesc
4,288.163,6855,1.29674002143893,WNK463\_3UM\_quiesc
4,331.478,7607,1.43899363137651,WNK463\_3UM\_quiesc
1.33,246.121,6378,1.20650734598651,WNK463\_3UM\_quiesc
1.33,251.232,6177,1.16848477205372,WNK463\_3UM\_quiesc
26,211.993,6649,1.25777161233369,WNK463\_3UM\_quiesc
26,214.901,6145,1.16243142695,WNK463\_3UM\_quiesc
0.5,267.534,6504,1.23034239233243,WNK463\_10UM\_quiesc
0.5,267.356,6469,1.22372154612523,WNK463\_10UM\_quiesc
4,238.962,6311,1.19383315467558,WNK463\_10UM\_quiesc
4,232.721,6078,1.14975723563907,WNK463\_10UM\_quiesc
1.33,248.859,6399,1.21047985371083,WNK463\_10UM\_quiesc
1.33,250.091,6732,1.27347247619648,WNK463\_10UM\_quiesc
26,203.742,6024,1.13954221577653,WNK463\_10UM\_quiesc
26,205.445,5601,1.05952456018664,WNK463\_10UM\_quiesc
0.5,314.074,5595,1.0583895579797,DMSO\_quiesc
0.5,313.696,5109,0.966454379216849,DMSO\_quiesc
0.5,320.795,5155,0.975156062803455,DMSO\_quiesc
4,317.158,5403,1.02206948735734,DMSO\_quiesc
4,315.245,5298,1.00220694873573,DMSO\_quiesc
4,312.866,5471,1.03493284570276,DMSO\_quiesc
1.33,327.713,5721,1.08222460432562,DMSO\_quiesc
1.33,320.564,5437,1.02850116653005,DMSO\_quiesc
1.33,323.663,5198,0.983290245286588,DMSO\_quiesc
26,400.702,4536,0.858061668453244,DMSO\_quiesc
26,399.758,5203,0.984236080459045,DMSO\_quiesc
26,304.765,4792,0.906488429283057,DMSO\_quiesc
0.5,769.638,6552,1.23942240998802,DMSO\_prolif
0.5,807.882,6958,1.31622422599155,DMSO\_prolif
0.5,775.726,7227,1.36711015826975,DMSO\_prolif
3.75,773.129,8959,1.69474746200895,DMSO\_prolif
3.75,794.384,8667,1.63951068793745,DMSO\_prolif
3.75,763.141,9133,1.72766252601047,DMSO\_prolif
1.33,790.924,7396,1.39907938709881,DMSO\_prolif
1.33,800.91,7261,1.37354183744246,DMSO\_prolif
1.33,786.082,7433,1.40607856737499,DMSO\_prolif
26,902.611,15881,3.00416167475881,DMSO\_prolif
26,920.565,17676,3.34371650167098,DMSO\_prolif
26,954.622,18263,3.45475755091746,DMSO\_prolif
