times_h,volumes_fl,counts,counts_normalized,labels
0.5,309.263,5439,1.02887950059903,ZT-1A\_2UM\_quiesc
0.5,310.77,5510,1.04231036004792,ZT-1A\_2UM\_quiesc
4,305.563,5812,1.09943880446434,ZT-1A\_2UM\_quiesc
4,313.139,5662,1.07106374929062,ZT-1A\_2UM\_quiesc
1.33,296.738,5374,1.01658364335708,ZT-1A\_2UM\_quiesc
1.33,301.049,4994,0.944700170250331,ZT-1A\_2UM\_quiesc
26,306.936,4972,0.940538495491519,ZT-1A\_2UM\_quiesc
26,306.204,4588,0.8678983542468,ZT-1A\_2UM\_quiesc
0.5,271.737,6331,1.19761649536541,ZT-1A\_20UM\_quiesc
0.5,272.267,6224,1.17737562267482,ZT-1A\_20UM\_quiesc
4,257.148,6329,1.19723816129642,ZT-1A\_20UM\_quiesc
4,257.544,5833,1.10341131218866,ZT-1A\_20UM\_quiesc
1.33,270.712,6207,1.17415978308847,ZT-1A\_20UM\_quiesc
1.33,266.564,6667,1.26117661895454,ZT-1A\_20UM\_quiesc
26,227.883,6526,1.23450406709124,ZT-1A\_20UM\_quiesc
26,215.177,6907,1.30657670723249,ZT-1A\_20UM\_quiesc
0.5,275.941,6190,1.17094394350211,ZT-1A\_10UM\_quiesc
0.5,278.316,6198,1.17245727977804,ZT-1A\_10UM\_quiesc
4,262.485,6886,1.30260419950817,ZT-1A\_10UM\_quiesc
4,264.386,6351,1.20139983605524,ZT-1A\_10UM\_quiesc
1.33,281.36,5644,1.06765874266978,ZT-1A\_10UM\_quiesc
1.33,269.364,6097,1.15335140929441,ZT-1A\_10UM\_quiesc
26,213.291,6573,1.24339491771234,ZT-1A\_10UM\_quiesc
26,215.353,5947,1.12497635412069,ZT-1A\_10UM\_quiesc
0.5,314.074,5595,1.0583895579797,DMSO\_quiesc
0.5,313.696,5109,0.966454379216849,DMSO\_quiesc
0.5,320.795,5155,0.975156062803455,DMSO\_quiesc
4,317.158,5403,1.02206948735734,DMSO\_quiesc
4,315.245,5298,1.00220694873573,DMSO\_quiesc
4,312.866,5471,1.03493284570276,DMSO\_quiesc
1.33,327.713,5721,1.08222460432562,DMSO\_quiesc
1.33,320.564,5437,1.02850116653005,DMSO\_quiesc
1.33,323.663,5198,0.983290245286588,DMSO\_quiesc
26,400.702,4536,0.858061668453244,DMSO\_quiesc
26,399.758,5203,0.984236080459045,DMSO\_quiesc
26,304.765,4792,0.906488429283057,DMSO\_quiesc
0.5,769.638,6552,1.23942240998802,DMSO\_prolif
0.5,807.882,6958,1.31622422599155,DMSO\_prolif
0.5,775.726,7227,1.36711015826975,DMSO\_prolif
3.75,773.129,8959,1.69474746200895,DMSO\_prolif
3.75,794.384,8667,1.63951068793745,DMSO\_prolif
3.75,763.141,9133,1.72766252601047,DMSO\_prolif
1.33,790.924,7396,1.39907938709881,DMSO\_prolif
1.33,800.91,7261,1.37354183744246,DMSO\_prolif
1.33,786.082,7433,1.40607856737499,DMSO\_prolif
26,902.611,15881,3.00416167475881,DMSO\_prolif
26,920.565,17676,3.34371650167098,DMSO\_prolif
26,954.622,18263,3.45475755091746,DMSO\_prolif
